task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Put the eggplant into the pan.,6.2706,-0.4357,True,64.0
move the cloth from left to right,natural,Take the piece of fabric on the left and put it on the right.,6.1998,Grab the green cloth on the left side and move it to the right side.,5.7733,-0.4265,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Put the broccoli in the pot.,7.2077,-0.3787,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Fold the top-left corner of the orange cloth to the bottom-right corner.,6.4718,-0.3042,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Move the spatula from the plate to the sink basin.,7.3052,-0.2759,True,64.0
pick up bowl and put in small4fbox,natural,Take the ceramic bowl and set it down in the small box.,7.1973,Put the ceramic bowl in the small box.,6.9399,-0.2574,True,64.0
turn faucet left,natural,Shift the faucet over to the left.,6.7591,Move the silver faucet to the left.,6.5017,-0.2574,True,64.0
put knife in pot cardboard fence,natural,Put the knife inside the cardboard fence next to the pot.,8.2144,Put the toy knife inside the cardboard fence next to the pot.,7.9623,-0.2522,True,64.0
take carrot out of pot cardboard fence,natural,Pull the carrot out of the pot in the cardboard fence.,8.3491,Extract the toy carrot from the orange pot in the cardboard enclosure.,8.1005,-0.2485,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Put the yellow toy potato on the pink plate.,7.0774,-0.234,True,64.0
pick up bowl and put in small4fbox,natural,Take the ceramic bowl and set it down in the small box.,7.1973,Grab the light blue bowl and place it inside the cardboard box.,6.9699,-0.2274,True,64.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Grab the sweet potato and drop it in the pot in the sink.,6.5116,-0.2243,True,64.0
take carrot out of pot cardboard fence,natural,Pull the carrot out of the pot in the cardboard fence.,8.3491,Remove the carrot from the pot in the cardboard fence.,8.2505,-0.0986,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Put the silver pot in the sink basin.,7.3099,-0.0921,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Take the little spoon out of the basket and put it on the tray.,7.066,-0.0905,True,64.0
close the drawer,natural,Shut the drawer.,8.6503,Close the drawer.,8.5851,-0.0651,True,64.0
open fridge,natural,Get the refrigerator open for me.,7.5521,Pull the handle of the white fridge open.,7.4896,-0.0624,True,64.0
fold the cloth from bottom left to top right,natural,Fold the towel diagonally by moving the bottom left edge to the top right.,6.7555,Fold the bottom left edge of the towel to the top right.,6.6949,-0.0606,True,64.0
fold the cloth from bottom left to top right,natural,Fold the towel diagonally by moving the bottom left edge to the top right.,6.7555,Fold the towel corner-to-corner by moving the bottom-left edge to the top right.,6.7094,-0.0461,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Fold the upper left part of the cloth down to the lower right.,6.7299,-0.046,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the cup so it stands on its base,6.9809,-0.0385,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the drinking cup so it stands on its base.,6.9851,-0.0343,True,64.0
take clothes out of laundry machine,natural,Take the clean laundry out of the washing machine.,7.0022,Take the laundry out of the washing machine.,6.97,-0.0322,True,64.0
put carrot on cutting board,natural,Shift the carrot to the cutting board.,7.8535,Move the carrot onto the cutting board.,7.8232,-0.0303,True,64.0
put carrot on cutting board,natural,Shift the carrot to the cutting board.,7.8535,Move the carrot to the cutting board.,7.8419,-0.0117,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Move the sushi over to the pot or the pan.,7.8342,-0.0108,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Move the little spoon from the basket to the tray.,7.1457,-0.0107,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Shut the gray microwave door.,8.4702,-0.0014,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Take the spatula off the plate and put it in the sink basin.,7.5836,0.0026,True,64.0
turn faucet left,natural,Shift the faucet over to the left.,6.7591,Move the faucet to the left.,6.7628,0.0037,True,64.0
close oven,natural,Shut the oven door.,8.3105,Close the oven door.,8.3212,0.0107,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Fold the upper left part of the textile to the lower right.,6.7952,0.0193,True,64.0
move the cloth from left to right,natural,Take the piece of fabric on the left and put it on the right.,6.1998,Move the fabric on the left to the right.,6.2238,0.024,True,64.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Drop the sweet potato in the pot in the sink.,6.7612,0.0253,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the cup so it stands on its base.,7.0451,0.0258,True,64.0
flip orange pot upright in sink,natural,Set the orange pot upright inside the sink.,6.7191,Set the orange pot upright in the sink.,6.7461,0.027,True,64.0
open oven,natural,Swing the door to the oven open.,8.4962,Open the oven door.,8.5244,0.0282,True,64.0
flip orange pot upright in sink,natural,Set the orange pot upright inside the sink.,6.7191,Place the orange pot upright in the sink.,6.7682,0.0491,True,64.0
put corn on plate,natural,Place the corn onto the plate.,7.9313,Put the corn on the plate.,7.9814,0.0501,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave door.,8.5348,0.0632,True,64.0
put green squash in pot or pan,natural,Move the green vegetable into a pot or a pan.,6.0898,Put the green vegetable in a pot or pan.,6.1553,0.0654,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave completely.,8.5437,0.072,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Put the banana into the colander.,8.4173,0.0727,True,64.0
close fridge,natural,Swing the fridge door shut.,8.3683,Close the fridge door.,8.4497,0.0813,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Spread out the fabric by pulling it downwards.,5.9177,0.0854,True,64.0
put green squash in pot or pan,natural,Move the green vegetable into a pot or a pan.,6.0898,Place the green vegetable into a pot or a pan.,6.1831,0.0932,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Put the banana in the colander.,8.4403,0.0958,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,Put the eggplant into the frying pan.,6.5877,0.0997,True,64.0
take clothes out of laundry machine,natural,Take the clean laundry out of the washing machine.,7.0022,Extract the white fabric from the gray machine.,7.1093,0.1071,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave.,8.5805,0.1089,True,64.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Put the sweet potato in the pot in the sink.,6.853,0.1171,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Put the broccoli in the pot or pan.,7.7385,0.1521,True,64.0
put sweet potato in pot,natural,Transfer the sweet potato over to the pot.,6.958,Put the sweet potato in the pot.,7.1263,0.1683,True,64.0
pick up violet Allen key,natural,Grab the violet hex key.,7.1451,Pick up the violet hex key.,7.3206,0.1754,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Spread out the cloth by pulling it downwards,6.021,0.1887,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Put the pot in the sink.,7.6336,0.2316,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Toss the eggplant into the pan or the pot.,6.9663,0.2601,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Put the eggplant into the pan or the pot.,7.0365,0.3303,True,64.0
put corn in pan which is on stove,natural,"In the pan on the stove, please put the corn.",6.2146,Put the corn in the pan on the stove.,6.5487,0.3341,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the brush into the skillet or the saucepan.,6.7613,0.367,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Put the potato on the pink plate.,7.6805,0.3691,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Place the pot in the sink.,7.7714,0.3694,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the brush into the pan or the pot.,6.8328,0.4385,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Close the top of the small cardboard carton.,4.3982,0.5386,True,64.0
take clothes out of laundry machine,natural,Take the clean laundry out of the washing machine.,7.0022,Remove the clean laundry from the washing machine.,7.5454,0.5432,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Put the potato on the plate.,7.8878,0.5764,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Place the potato on the plate.,7.9652,0.6538,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Thinking Process:,4.5583,0.6987,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Shut the lid of the little brown box.,5.0181,1.1585,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Thinking Process:,2.6264,1.4272,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the gripper from the orange cup to the silver colander.,2.6769,1.4777,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the robot gripper from the orange cup to the silver colander.,2.7051,1.5059,True,64.0
put the blue figure on the top edge of the cloth,natural,Place the blue figure on the upper edge of the cloth.,5.7931,Put the blue figure on the top edge of the cloth.,7.8628,2.0697,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Close the top flap of the small cardboard box.,6.9056,3.046,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Lift the pot up out of the sink.,5.3398,3.5663,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Pick up the silver pot from the sink.,5.6307,3.8572,True,64.0
upright basil bottle cardboard fence,original,upright basil bottle cardboard fence,7.8635,Thinking Process:,2.2712,-5.5923,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,Thinking Process:,3.2749,-4.8154,True,64.0
wipe pot with sponge,original,wipe pot with sponge,7.7661,Thinking Process:,3.008,-4.7581,True,64.0
put knife on cutting board,original,put knife on cutting board,7.6714,Thinking Process:,3.7272,-3.9442,True,64.0
put pepper in pot or pan,original,put pepper in pot or pan,6.3223,Thinking Process:,3.2249,-3.0974,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,Thinking Process:,3.5768,-2.7433,True,64.0
upright basil bottle cardboard fence,original,upright basil bottle cardboard fence,7.8635,Stand up the red spice container in the cardboard border.,5.8764,-1.9871,True,64.0
put knife on cutting board,original,put knife on cutting board,7.6714,Place the toy knife with the white blade and yellow handle onto the green cutting board.,6.4727,-1.1987,True,64.0
put pepper in pot or pan,original,put pepper in pot or pan,6.3223,Put the red pepper in the pot.,5.292,-1.0303,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,place silver fork from gray plastic cutlery basket to black and white utensil tray,5.3533,-0.9668,True,64.0
wipe pot with sponge,original,wipe pot with sponge,7.7661,clean the silver metal cooking pot with the yellow sponge,7.0675,-0.6986,True,64.0
put pepper in pot or pan,original,put pepper in pot or pan,6.3223,Place the red pepper in the silver pot or pan.,5.6999,-0.6223,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,extract laundry from washing machine,7.5263,-0.564,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,pick up fork from basket and put it in tray,5.9364,-0.3837,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,Put the fork from the basket into the tray.,5.9457,-0.3744,True,64.0
upright basil bottle cardboard fence,original,upright basil bottle cardboard fence,7.8635,Set the basil bottle upright in the cardboard fence,7.4908,-0.3727,True,64.0
upright basil bottle cardboard fence,original,upright basil bottle cardboard fence,7.8635,Stand the basil bottle upright in the cardboard fence.,7.5332,-0.3302,True,64.0
put eggplant on plate,original,put eggplant on plate,6.8396,place the purple toy eggplant on the light-green toy plate,6.5529,-0.2867,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,Move the fork from the basket to the tray.,6.0932,-0.2268,True,64.0
wipe pot with sponge,original,wipe pot with sponge,7.7661,Wipe the pot with the sponge.,7.5514,-0.2146,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,Take the clothes out of the washing machine.,7.9069,-0.1834,True,64.0
put eggplant on plate,original,put eggplant on plate,6.8396,Put the eggplant on the plate.,6.7329,-0.1066,True,64.0
put knife on cutting board,original,put knife on cutting board,7.6714,Put the knife on the cutting board.,7.5736,-0.0978,True,64.0
put pepper in pot or pan,original,put pepper in pot or pan,6.3223,Put the pepper in the pot or pan.,6.3088,-0.0135,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,Take clothes out of the laundry machine.,8.0983,0.008,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,Thinking Process:,1.6213,-6.1538,True,64.0
take bowl off plate cardboard fence,search,lift the blue bowl off the green saucer,6.7214,Thinking Process:,0.9105,-5.8109,True,64.0
put beet in pot sink,search,put the purple beet in the red pot,6.8784,Thinking Process:,1.454,-5.4244,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,Thinking Process:,0.6858,-5.0892,True,64.0
put cup from sink to drying rack,search,move pink cup to drying rack,6.4224,Thinking Process:,1.6027,-4.8197,True,64.0
unfold the cloth from bottom to top,search,unfold orange cloth from bottom to top,6.6858,Thinking Process:,1.9369,-4.7489,True,64.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,Thinking Process:,0.9286,-4.6316,True,64.0
put pan from sink into drying rack,search,put pan in orange drying rack,7.4032,Thinking Process:,3.1511,-4.2521,True,64.0
put lid on pot or pan,search,put the silver lid on the silver pot,6.3922,Thinking Process:,2.2032,-4.189,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,Thinking Process:,2.993,-3.8381,True,64.0
turn faucet front to left,search,push the faucet lever to the left,7.8702,Thinking Process:,4.0819,-3.7883,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,Thinking Process:,2.3935,-3.6527,True,64.0
put broccoli in pot,search,put the green broccoli piece inside the metal pot,6.6132,Thinking Process:,2.9814,-3.6318,True,64.0
unfold the cloth from top left to bottom right,search,unfold the cloth from top left to bottom right corner,7.1448,Thinking Process:,3.5591,-3.5857,True,64.0
put pan in sink,search,put pan into the sink,7.4665,Thinking Process:,4.3126,-3.1539,True,64.0
unfold the cloth from bottom to top,search,unfold orange cloth from bottom to top,6.6858,Pull the yellow cloth from the bottom fold to the top.,3.614,-3.0718,True,64.0
close white1fbox flap,search,fold down the white box flap,8.0803,push down the white cardboard tab,5.0556,-3.0247,True,64.0
open large4fbox flaps,search,lift the cardboard box flaps open,7.8871,Thinking Process:,4.9035,-2.9835,True,64.0
take bowl off plate cardboard fence,search,lift the blue bowl off the green saucer,6.7214,Pick up the blue bowl from the green saucer.,3.791,-2.9304,True,64.0
put sushi on plate,search,move the sushi onto the blue plate,7.2454,Thinking Process:,4.3961,-2.8493,True,64.0
close white1fbox flap,search,fold down the white box flap,8.0803,Thinking Process:,5.4779,-2.6024,True,64.0
flip cup upright,search,put cup upright,6.9479,Thinking Process:,4.4473,-2.5006,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,Thinking Process:,3.0137,-2.4758,True,64.0
unfold the cloth from top left to bottom right,search,unfold the cloth from top left to bottom right corner,7.1448,Spread the cloth open from its top-left corner toward the bottom-right corner.,4.6929,-2.4519,True,64.0
put pan in sink,search,put pan into the sink,7.4665,place the pot in the basin,5.0734,-2.3931,True,64.0
put eggplant on plate,search,place eggplant on the green plate,6.6255,Thinking Process:,4.3714,-2.254,True,64.0
put banana in pot or pan,search,place banana in the silver pot,6.297,Thinking Process:,4.1069,-2.1901,True,64.0
unfold the cloth from top left to bottom right,search,unfold the cloth from top left to bottom right corner,7.1448,Spread the blue cloth from the upper left to the lower right.,5.0174,-2.1274,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,Thinking Process:,3.1436,-2.0403,True,64.0
turn faucet front to left,search,push the faucet lever to the left,7.8702,nudge the silver lever leftward,5.84,-2.0302,True,64.0
flip cup upright,search,put cup upright,6.9479,Set the pink cup upright in the sink.,5.0744,-1.8734,True,64.0
take bowl off plate cardboard fence,search,lift the blue bowl off the green saucer,6.7214,Pick up the blue dish from the yellow-green plate.,4.8729,-1.8485,True,64.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,Fold the white cloth in half upward.,4.0567,-1.5035,True,64.0
unfold the cloth from top to bottom,search,flatten the blue cloth from top down,5.9076,smooth the light-blue microfiber cloth starting at the top and moving to the bottom,4.5237,-1.3839,True,64.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,fold the green microfiber cloth in half upward,4.293,-1.2672,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,Spread the yellow cloth to the upper left.,5.6378,-1.1933,True,64.0
put pan from sink into drying rack,search,put pan in orange drying rack,7.4032,place the silver saucepan in the bright orange dish rack,6.2423,-1.1609,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,put the fabric inside the unclosed washing machine,6.6848,-1.0902,True,64.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,Fold the white cloth up in half.,4.5366,-1.0236,True,64.0
put sushi on plate,search,move the sushi onto the blue plate,7.2454,move the red and white toy sushi piece onto the blue dish,6.2845,-0.961,True,64.0
unfold the cloth from top to bottom,search,flatten the blue cloth from top down,5.9076,"Smooth out the blue cloth on the stove, starting at the top and moving to the bottom.",5.0746,-0.8331,True,64.0
close brown1fbox flap,search,close the brown box lid,6.3575,Thinking Process:,5.6029,-0.7546,True,64.0
put lid on pot or pan,search,put the silver lid on the silver pot,6.3922,place the metallic cover on the metallic vessel,5.7025,-0.6896,True,64.0
flip cup upright,search,put cup upright,6.9479,place pink cup upright,6.3368,-0.6111,True,64.0
put banana in pot or pan,search,place banana in the silver pot,6.297,Put the yellow toy banana in the silver metal pot.,5.7036,-0.5934,True,64.0
lever vertical to front,search,push the silver handle to the front,6.0367,Push the silver handle forward.,5.5139,-0.5228,True,64.0
lever vertical to front,search,push the silver handle to the front,6.0367,Thinking Process:,5.5721,-0.4646,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,Spread the orange cloth leftward.,5.6294,-0.4168,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,Move the metal pot from the blue burner to the sink.,5.1454,-0.3441,True,64.0
put broccoli in pot,search,put the green broccoli piece inside the metal pot,6.6132,place the light-green broccoli toy into the silver pot,6.2783,-0.3348,True,64.0
put carrot on cutting board,search,set the carrot on the cutting board,7.8363,move the orange toy carrot onto the green cutting board,7.507,-0.3293,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,Put the orange carrot in the empty pot.,4.8756,-0.3083,True,64.0
fold the cloth from bottom left to top right,search,grab the bottom left corner of the orange towel and fold it top right,6.568,grasp the lower left corner of the blue microfiber cloth and fold it upper right,6.27,-0.2981,True,64.0
put cup from sink to drying rack,search,move pink cup to drying rack,6.4224,place pink plastic cup in yellow drying rack,6.1245,-0.2979,True,64.0
put eggplant on plate,search,place eggplant on the green plate,6.6255,Place the purple toy eggplant on the light-green plate.,6.3285,-0.297,True,64.0
unfold the cloth from bottom to top,search,unfold orange cloth from bottom to top,6.6858,Unfold the orange cloth from bottom to top.,6.4202,-0.2656,True,64.0
put eggplant on plate,search,put the eggplant on the green plate,6.7743,Place the purple toy eggplant on the light-green toy plate.,6.5144,-0.2599,True,64.0
put broccoli in pot,search,put the green broccoli piece inside the metal pot,6.6132,Put the green broccoli piece in the metal pot.,6.3838,-0.2294,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,Unfold the yellow cloth to the upper left.,6.6041,-0.2269,True,64.0
put pan from sink into drying rack,search,put pan in orange drying rack,7.4032,Put the pan in the orange drying rack.,7.178,-0.2252,True,64.0
put beet in pot sink,search,put the purple beet in the red pot,6.8784,place the purple beet in the red pot,6.6777,-0.2007,True,64.0
put eggplant on plate,search,put the eggplant on the green plate,6.7743,Put the eggplant on the green plate.,6.612,-0.1623,True,64.0
put lid on pot or pan,search,put the silver lid on the silver pot,6.3922,Put the lid on the pot.,6.237,-0.1551,True,64.0
put broccoli in pot,search,put the green broccoli piece inside the metal pot,6.6132,Put the green broccoli piece inside the metal pot.,6.461,-0.1522,True,64.0
put sushi on plate,search,move the sushi onto the blue plate,7.2454,Move the sushi onto the blue plate.,7.1014,-0.144,True,64.0
put lid on pot or pan,search,put the silver lid on the silver pot,6.3922,Put the silver lid on the silver pot.,6.2566,-0.1356,True,64.0
open large4fbox flaps,search,lift the cardboard box flaps open,7.8871,lift the cardboard box flaps,7.7596,-0.1275,True,64.0
close brown1fbox flap,search,close the brown box lid,6.3575,Close the brown box lid.,6.2314,-0.1261,True,64.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,take the blue cloth out of the wooden box,2.2245,-0.0967,True,64.0
fold the cloth from bottom left to top right,search,grab the bottom left corner of the orange towel and fold it top right,6.568,Grab the bottom left corner of the orange towel and fold it to the top right.,6.4877,-0.0804,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,put the metal pot from the blue burner in the sink,5.4098,-0.0797,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,Spread the yellow cloth to the left.,5.9775,-0.0687,True,64.0
put banana in pot or pan,search,place banana in the silver pot,6.297,Place the banana in the silver pot.,6.235,-0.0621,True,64.0
put carrot on cutting board,search,set the carrot on the cutting board,7.8363,Put the carrot on the cutting board.,7.7886,-0.0477,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,move the orange cup onto the yellow plate,5.7325,-0.0424,True,64.0
put cup from sink to drying rack,search,move pink cup to drying rack,6.4224,Move the pink cup to the drying rack.,6.3872,-0.0352,True,64.0
close white1fbox flap,search,fold down the white box flap,8.0803,Fold down the white box flap.,8.053,-0.0273,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,Put the orange cup on the yellow plate.,5.7545,-0.0204,True,64.0
put beet in pot sink,search,put the purple beet in the red pot,6.8784,Put the purple beet in the red pot.,6.8649,-0.0134,True,64.0
turn faucet front to left,search,push the faucet lever to the left,7.8702,Push the faucet lever to the left.,7.8569,-0.0133,True,64.0
put eggplant on plate,search,place eggplant on the green plate,6.6255,Place the eggplant on the green plate.,6.6163,-0.0092,True,64.0
fold the cloth from bottom left to top right,search,grab the bottom left corner of the orange towel and fold it top right,6.568,Fold the bottom left corner of the orange towel to the top right.,6.5597,-0.0083,True,64.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,Take the yellow rag out of the dryer.,2.3147,-0.0065,True,64.0
put strawberry in pot,search,move the strawberry into the metal pot,5.8064,Put the strawberry in the metal pot.,5.8003,-0.0061,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,Unfold the yellow cloth towards the top left.,6.8305,-0.0005,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,Place the clothes into the open laundry machine.,7.783,0.008,True,64.0
take bowl off plate cardboard fence,search,lift the blue bowl off the green saucer,6.7214,Lift the blue bowl off the green saucer.,6.7315,0.0101,True,64.0
put pan in sink,search,put pan into the sink,7.4665,Put the pan into the sink.,7.4833,0.0168,True,64.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,Take the rag out of the dryer.,2.3427,0.0214,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,place the clothes into the open washing machine,7.8125,0.0375,True,64.0
open large4fbox flaps,search,lift the cardboard box flaps open,7.8871,Lift the box flaps to open the box.,7.9303,0.0432,True,64.0
open large4fbox flaps,search,lift the cardboard box flaps open,7.8871,Open the cardboard box flaps.,7.9638,0.0767,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,spread the yellow cloth to the left,6.1309,0.0847,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,move the silver pot from the blue stove to the white sink,5.5953,0.1058,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,Put the clothes into the washing machine.,7.8869,0.1119,True,64.0
close fridge,search,shut the fridge door,8.2999,close the grey fridge door,8.4197,0.1198,True,64.0
close fridge,search,shut the fridge door,8.2999,Shut the fridge door.,8.4247,0.1248,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,pick up the metal pot from the blue burner and put it in the sink,5.6357,0.1461,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,put the bright orange plastic carrot into the unoccupied silver container,5.3868,0.203,True,64.0
flip cup upright,search,put cup upright,6.9479,Stand the cup upright,7.1609,0.213,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,Put the carrot in the pot.,5.4311,0.2472,True,64.0
unfold the cloth from top to bottom,search,flatten the blue cloth from top down,5.9076,Flatten the blue cloth from top to bottom.,6.3285,0.4209,True,64.0
unfold the cloth from top left to bottom right,search,unfold the cloth from top left to bottom right corner,7.1448,Unfold the cloth from top left to bottom right.,7.5786,0.4338,True,64.0
put strawberry in pot,search,move the strawberry into the metal pot,5.8064,place the toy strawberry inside the silver pot,6.331,0.5246,True,64.0
put beet in pot sink,search,put the purple beet in the red pot,6.8784,Put the beet in the pot.,7.591,0.7126,True,64.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,Thinking Process:,3.2434,0.9222,True,64.0
lever vertical to front,search,push the silver handle to the front,6.0367,nudge the grey lever forward,7.0235,0.9868,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,Put the orange cup on the plate.,7.0308,1.2559,True,64.0
close brown1fbox flap,search,close the brown box lid,6.3575,Shut the cardboard flap.,7.9913,1.6338,True,64.0
