task,color,bare,succ_bare,n_bare,colored,succ_col,n_col,delta_pp,z
widowx_coke_can_on_keyboard_clean,black,put the coke can on the keyboard,11.5,96,put the coke can on the black keyboard,27.8,72,16.3,2.7
widowx_coke_can_on_keyboard_clean,black,set the coke can on top of the keyboard,0.0,48,set the coke can on top of the black keyboard,16.7,24,16.7,2.91
widowx_pepsi_on_plate_clean,blue,Put the Pepsi can on the yellow plate.,25.0,48,Put the blue Pepsi can on the yellow plate.,41.7,120,16.7,2.02
widowx_eggplant_on_keyboard_clean,black,set the purple eggplant on the keyboard,16.7,120,Set the purple eggplant on the black keyboard.,33.3,72,16.7,2.66
widowx_eggplant_on_keyboard_clean,black,set the purple eggplant on the keyboard,16.7,120,set the purple eggplant on the black keyboard.,33.3,48,16.7,2.38
widowx_nut_on_wheel_clean,black,Grab the nut and place it on the tire.,4.2,144,Grab the nut and place it on the black tire.,20.8,24,16.7,3.06
widowx_coke_can_on_wheel_clean,red,Put the can onto the black tire.,4.2,48,put the red can onto the black tire,20.8,24,16.7,2.25
widowx_nut_on_wheel_clean,black,set the grey nut on the tire,0.0,24,set the grey nut on the black tire,16.7,72,16.7,2.14
widowx_nut_on_wheel_clean,black,set the grey nut onto the wheel,0.0,24,set the grey nut onto the black wheel,16.7,24,16.7,2.09
widowx_eggplant_on_keyboard_clean,black,lay the eggplant across the keyboard,4.2,48,Lay the eggplant across the black keyboard,20.8,48,16.7,2.47
widowx_eggplant_on_keyboard_clean,black,Lay the eggplant across the keyboard,4.2,192,Lay the eggplant across the black keyboard,20.8,48,16.7,3.92
widowx_coke_can_on_wheel_clean,red,Transfer the soda can to the black wheel.,18.6,264,Transfer the red soda can to the black wheel.,35.4,48,16.9,2.63
widowx_eggplant_on_sponge_clean,purple,put the eggplant on the green sponge,70.8,48,Put the purple eggplant on the green sponge.,88.0,216,17.1,2.99
widowx_pepsi_on_plate_clean,blue,Put the Pepsi can on the yellow plate.,25.0,48,put the blue pepsi can on the yellow plate,42.5,120,17.5,2.12
widowx_carrot_on_ramekin_clean,white,Put the carrot inside the bowl.,22.9,48,Put the carrot inside the white bowl.,40.4,240,17.5,2.29
widowx_eggplant_on_keyboard_clean,black,put the eggplant onto the keyboard,20.8,120,Put the eggplant onto the black keyboard.,38.3,120,17.5,2.97
widowx_coke_can_on_wheel_clean,red,Pick up the Coke can and place it on the wheel.,7.1,168,Pick up the red Coke can and place it on the wheel.,25.0,24,17.9,2.81
widowx_eggplant_on_keyboard_clean,black,Put the purple eggplant onto the keyboard.,16.7,48,Put the purple eggplant onto the black keyboard.,34.6,312,17.9,2.48
widowx_coke_can_on_wheel_clean,red,Place the Coke can on the black wheel.,11.1,72,Place the red Coke can on the black wheel.,29.2,24,18.1,2.11
widowx_eggplant_on_keyboard_clean,black,place the eggplant on the keyboard,33.3,96,Place the eggplant on the black keyboard.,51.4,72,18.1,2.35
widowx_eggplant_on_keyboard_clean,black,put the purple eggplant on the keyboard,16.7,48,Put the purple eggplant on the black keyboard.,34.7,144,18.1,2.36
widowx_coke_can_on_wheel_clean,red,Put the can on the wheel.,0.0,48,Put the red can on the wheel.,18.5,168,18.5,3.22
widowx_coke_can_on_wheel_clean,red,put the can on the wheel,0.0,48,Put the red can on the wheel.,18.5,168,18.5,3.22
widowx_eggplant_on_keyboard_clean,black,Place the purple eggplant on top of the keyboard.,10.4,48,place the purple eggplant on top of the black keyboard,29.2,24,18.8,2.01
widowx_pepsi_on_plate_clean,blue,set the coke can on the yellow plate,18.8,48,set the blue coke can on the yellow plate,37.5,168,18.8,2.43
widowx_cube_on_plate_clean,teal,set the cube on the yellow plate,50.0,48,set the teal cube on the yellow plate,68.8,96,18.8,2.19
widowx_coke_can_on_wheel_clean,black,put the Coke can on the wheel,4.2,24,put the coke can on the black wheel,23.3,120,19.2,2.14
widowx_carrot_on_ramekin_clean,white,put the carrot in the bowl.,11.1,72,put the carrot in the white bowl,30.4,240,19.3,3.28
widowx_eggplant_on_keyboard_clean,black,put the eggplant on the keyboard,12.0,192,Put the eggplant on the black keyboard.,31.2,144,19.3,4.35
widowx_eggplant_on_keyboard_clean,black,set the purple eggplant onto the keyboard,9.7,216,Set the purple eggplant onto the black keyboard?,29.2,24,19.4,2.82
widowx_carrot_on_sponge_clean,green,put the carrot on the sponge.,25.0,48,put the carrot on the green sponge,44.4,144,19.4,2.39
widowx_carrot_on_ramekin_clean,white,Put the carrot in the bowl.,10.8,120,put the carrot in the white bowl,30.4,240,19.6,4.11
widowx_nut_on_wheel_clean,black,Put the grey nut down onto the wheel.,3.3,240,Put the grey nut down onto the black wheel.,22.9,96,19.6,5.69
widowx_eggplant_on_keyboard_clean,black,Move the eggplant to the keyboard.,5.4,168,Move the eggplant to the black keyboard.,25.0,24,19.6,3.35
widowx_eggplant_on_sponge_clean,purple,place the eggplant on the sponge.,66.7,24,Place the purple eggplant on the sponge.,86.6,648,19.9,2.75
widowx_eggplant_on_keyboard_clean,black,Set the purple eggplant down on top of the keyboard.,0.4,240,set the purple eggplant down on top of the black keyboard,20.8,48,20.4,6.74
widowx_coke_can_on_wheel_clean,black,put coke can on wheel,10.9,624,put coke can on black wheel,31.2,144,20.4,6.21
widowx_nut_on_wheel_clean,black,grab the nut and place it on the tire,0.0,72,Grab the nut and place it on the black tire.,20.8,24,20.8,3.98
widowx_coke_can_on_wheel_clean,black,set the coke can onto the wheel,12.5,48,set the coke can onto the black wheel,33.3,24,20.8,2.11
widowx_eggplant_on_keyboard_clean,black,place the eggplant onto the keyboard,25.0,48,Place the eggplant onto the black keyboard,45.8,48,20.8,2.13
widowx_eggplant_on_keyboard_clean,black,Set the eggplant down on top of the keyboard.,12.5,96,Set the eggplant down on top of the black keyboard.,33.3,24,20.8,2.45
widowx_carrot_on_ramekin_clean,white,Take the carrot over to the bowl and place it inside.,16.7,48,take the carrot over to the white bowl and place it inside,37.5,48,20.8,2.3
widowx_carrot_on_ramekin_clean,white,Set the carrot down inside the bowl.,12.5,48,Set the carrot down inside the white bowl.,33.3,48,20.8,2.43
widowx_coke_can_on_wheel_clean,black,set the coke can on the wheel,8.3,168,set the coke can on the black wheel,29.2,120,20.8,4.64
widowx_coke_can_on_wheel_clean,red,put the coke can on the tire,4.2,24,Put the red coke can on the tire.,25.0,24,20.8,2.04
widowx_eggplant_on_keyboard_clean,black,take the eggplant and set it on the keyboard,8.3,48,Take the eggplant and set it on the black keyboard.,29.2,24,20.8,2.32
widowx_coke_can_on_wheel_clean,black,set the red coke can on the wheel,16.7,120,Set the red coke can on the black wheel.,37.5,24,20.8,2.32
widowx_eggplant_on_sponge_clean,purple,hold the eggplant and set it on the sponge,66.7,24,Hold the purple eggplant and set it on the sponge.,87.5,48,20.8,2.11
widowx_eggplant_on_sponge_clean,purple,put the eggplant on the sponge.,66.7,48,Put the purple eggplant on the sponge.,87.5,72,20.8,2.75
widowx_cube_on_plate_clean,green,put the cube on the plate,62.5,48,put the green cube on the plate.,83.3,72,20.8,2.58
widowx_cube_on_plate_clean,green,put the cube on the plate,62.5,48,Put the green cube on the plate.,83.3,216,20.8,3.24
widowx_eggplant_on_keyboard_clean,black,Place the eggplant on the keyboard.,30.5,600,Place the eggplant on the black keyboard.,51.4,72,20.9,3.57
widowx_carrot_on_sponge_clean,green,Place the carrot onto the sponge.,32.5,480,place the carrot onto the green sponge,54.2,24,21.7,2.19
widowx_eggplant_on_keyboard_clean,black,Put the purple eggplant on the keyboard.,23.6,72,put the purple eggplant on the black keyboard,45.3,408,21.7,3.44
widowx_coke_can_on_wheel_clean,red,pick up the coke can and place it on the wheel,3.1,96,Pick up the red Coke can and place it on the wheel.,25.0,24,21.9,3.64
widowx_carrot_on_ramekin_clean,white,put the carrot in the bowl.,11.1,72,Put the carrot in the white bowl.,33.3,360,22.2,3.77
widowx_carrot_on_ramekin_clean,white,Put the carrot in the bowl.,10.8,120,Put the carrot in the white bowl.,33.3,360,22.5,4.77
widowx_eggplant_on_keyboard_clean,black,set the purple eggplant onto the keyboard,9.7,216,Set the purple eggplant onto the black keyboard.,32.3,192,22.6,5.65
widowx_carrot_on_ramekin_clean,white,Drop the carrot inside the bowl.,12.5,48,drop the carrot inside the white bowl,35.4,48,22.9,2.63
widowx_cube_on_plate_clean,green,set the cube onto the yellow plate,54.2,48,set the green cube onto the yellow plate,77.1,96,22.9,2.81
widowx_coke_can_on_wheel_clean,red,rest the soda can on the black wheel,6.2,48,rest the red soda can on the black wheel,29.2,24,22.9,2.65
widowx_nut_on_wheel_clean,black,put the grey nut down onto the wheel,0.0,48,Put the grey nut down onto the black wheel.,22.9,96,22.9,3.6
widowx_eggplant_on_keyboard_clean,black,Put the purple eggplant onto the keyboard.,16.7,48,put the purple eggplant onto the black keyboard,40.6,192,24.0,3.1
widowx_pepsi_on_plate_clean,blue,set the pepsi can on the plate,44.8,192,set the blue pepsi can on the plate,68.8,48,24.0,2.97
widowx_eggplant_on_keyboard_clean,black,Drop the eggplant onto the keyboard.,20.8,288,Drop the eggplant onto the black keyboard.,45.4,216,24.5,5.88
widowx_eggplant_on_keyboard_clean,black,put the purple eggplant on the keyboard.,20.8,24,put the purple eggplant on the black keyboard,45.3,408,24.5,2.35
widowx_eggplant_on_keyboard_clean,black,drop the eggplant onto the keyboard,20.8,48,Drop the eggplant onto the black keyboard.,45.4,216,24.5,3.13
widowx_eggplant_on_keyboard_clean,black,set the eggplant down on top of the keyboard,8.3,48,Set the eggplant down on top of the black keyboard.,33.3,24,25.0,2.68
widowx_orange_juice_on_plate_clean,orange,set the carton on the plate,8.3,24,set the orange carton on the plate,33.3,24,25.0,2.13
widowx_cube_on_plate_clean,green,put the block on the plate,52.1,48,Put the green block on the plate.,77.1,96,25.0,3.05
widowx_eggplant_on_sponge_clean,purple,drop the eggplant onto the sponge,62.5,48,Drop the purple eggplant onto the sponge.,87.5,24,25.0,2.2
widowx_cube_on_plate_clean,green,set the cube on the yellow plate,50.0,48,Set the green cube on the yellow plate.,75.0,24,25.0,2.03
widowx_carrot_on_ramekin_clean,white,Place the carrot in the bowl.,8.3,24,place the carrot in the white bowl,33.3,96,25.0,2.43
widowx_orange_juice_on_plate_clean,orange,Put the juice box onto the yellow dish.,4.2,24,Put the orange juice box onto the yellow dish.,29.2,24,25.0,2.32
widowx_coke_can_on_wheel_clean,black,Place the red soda can on the tire.,12.5,24,Place the red soda can on the black tire.,37.5,24,25.0,2.0
widowx_pepsi_on_plate_clean,blue,Place the Pepsi can on the yellow plate.,20.8,24,Place the blue Pepsi can on the yellow plate.,45.8,48,25.0,2.07
widowx_eggplant_on_keyboard_clean,black,place the eggplant over on the keyboard,37.5,48,Place the eggplant over on the black keyboard.,62.5,24,25.0,2.01
widowx_eggplant_on_sponge_clean,purple,Place the eggplant on the green and yellow sponge.,62.5,48,place the purple eggplant on the green and yellow sponge.,87.5,24,25.0,2.2
widowx_carrot_on_ramekin_clean,orange,Set the carrot down inside the bowl.,12.5,48,set the orange carrot down inside the bowl,37.5,24,25.0,2.46
widowx_pepsi_on_plate_clean,blue,Set the Pepsi can on the plate.,32.7,168,set the blue Pepsi can on the plate,58.3,24,25.6,2.44
widowx_carrot_on_ramekin_clean,white,Place the carrot in the bowl.,8.3,24,Place the carrot in the white bowl.,34.2,120,25.8,2.52
widowx_pepsi_on_plate_clean,blue,Set the coke can on the plate.,25.0,48,set the blue coke can on the plate,51.0,96,26.0,2.98
widowx_pepsi_on_plate_clean,blue,set the coke can on the plate,25.0,96,set the blue coke can on the plate,51.0,96,26.0,3.72
widowx_coke_can_on_wheel_clean,red,Place the Coke can on the black wheel.,11.1,72,place the red coke can on the black wheel,37.5,24,26.4,2.93
widowx_carrot_on_ramekin_clean,white,put the carrot in the bowl.,11.1,72,put the carrot in the white bowl.,37.5,24,26.4,2.93
widowx_eggplant_on_keyboard_clean,black,place the eggplant on the keyboard.,25.0,24,Place the eggplant on the black keyboard.,51.4,72,26.4,2.25
widowx_carrot_on_ramekin_clean,white,Put the carrot in the bowl.,10.8,120,put the carrot in the white bowl.,37.5,24,26.7,3.31
widowx_coke_can_on_wheel_clean,black,Grab the red Coke can and set it on the wheel.,11.8,288,Grab the red Coke can and set it on the black wheel.,38.5,96,26.7,5.84
widowx_coke_can_on_wheel_clean,black,pick up the coke and put it on the wheel,14.6,96,Pick up the Coke and put it on the black wheel.,41.7,48,27.1,3.61
widowx_cube_on_plate_clean,green,put the block on the plate.,50.0,24,Put the green block on the plate.,77.1,96,27.1,2.63
widowx_cube_on_plate_clean,green,Put the block on the plate.,50.0,72,Put the green block on the plate.,77.1,96,27.1,3.65
widowx_eggplant_on_sponge_clean,purple,Place the eggplant on the green and yellow sponge.,62.5,48,place the purple eggplant on the green and yellow sponge,89.6,48,27.1,3.11
widowx_cube_on_plate_clean,green,set the cube on the yellow plate,50.0,48,set the green cube on the yellow plate,77.2,408,27.2,4.08
widowx_coke_can_on_wheel_clean,black,Pick up the Coke and put it on the wheel.,14.2,360,Pick up the Coke and put it on the black wheel.,41.7,48,27.5,4.72
widowx_carrot_on_sponge_clean,orange,Transfer the carrot to the top of the sponge.,5.7,336,Transfer the orange carrot to the top of the sponge.,33.3,24,27.7,4.97
widowx_eggplant_on_keyboard_clean,black,set the purple eggplant onto the keyboard,9.7,216,set the purple eggplant onto the black keyboard?,37.5,24,27.8,3.9
widowx_coke_can_on_plate_clean,red,put the coke can on the plate,38.1,105,put the red coke can on the plate,66.7,36,28.6,2.97
widowx_eggplant_on_keyboard_clean,black,put the purple eggplant on the keyboard,16.7,48,put the purple eggplant on the black keyboard,45.3,408,28.7,3.8
widowx_eggplant_on_keyboard_clean,black,Drop the eggplant onto the keyboard.,20.8,288,drop the eggplant onto the black keyboard,50.0,48,29.2,4.32
widowx_eggplant_on_keyboard_clean,black,Put the eggplant on the keyboard,25.0,24,put the eggplant on the black keyboard,54.2,96,29.2,2.56
widowx_pepsi_on_plate_clean,blue,Move the coke can onto the plate.,29.2,96,Move the blue coke can onto the plate.,58.3,24,29.2,2.68
widowx_pepsi_on_plate_clean,blue,Put the soda can on the plate.,20.8,48,put the blue soda can on the plate,50.0,48,29.2,2.99
widowx_eggplant_on_keyboard_clean,black,place the eggplant on top of the keyboard,12.5,48,Place the eggplant on top of the black keyboard.,41.7,24,29.2,2.81
widowx_eggplant_on_keyboard_clean,black,drop the eggplant onto the keyboard,20.8,48,drop the eggplant onto the black keyboard,50.0,48,29.2,2.99
widowx_coke_can_on_keyboard_clean,black,Please drop the Coke on the keyboard.,12.5,120,Please drop the Coke on the black keyboard.,41.7,48,29.2,4.21
widowx_eggplant_on_keyboard_clean,black,Place the eggplant over on the keyboard.,33.3,48,Place the eggplant over on the black keyboard.,62.5,24,29.2,2.36
widowx_eggplant_on_keyboard_clean,black,Set the eggplant down on top of the keyboard.,12.5,96,set the eggplant down on top of the black keyboard,41.7,48,29.2,3.97
widowx_pepsi_on_plate_clean,blue,Place the coke can onto the yellow plate.,20.8,48,Place the blue coke can onto the yellow plate.,50.0,96,29.2,3.36
widowx_coke_can_on_wheel_clean,red,Place the can on the wheel.,0.0,24,Place the red can on the wheel.,29.2,24,29.2,2.86
widowx_carrot_on_ramekin_clean,white,Set the carrot down inside the bowl.,12.5,48,set the carrot down inside the white bowl,41.7,48,29.2,3.22
widowx_eggplant_on_keyboard_clean,black,Can you get the eggplant onto the keyboard?,8.3,96,Can you get the eggplant onto the black keyboard?,37.5,48,29.2,4.29
widowx_eggplant_on_keyboard_clean,black,Set the purple eggplant on the keyboard.,22.2,72,set the purple eggplant on the black keyboard,51.9,360,29.7,4.61
widowx_coke_can_on_wheel_clean,black,grab the red coke can and set it on the wheel,8.3,72,Grab the red Coke can and set it on the black wheel.,38.5,96,30.2,4.44
widowx_eggplant_on_keyboard_clean,black,set the purple eggplant onto the keyboard,9.7,216,set the purple eggplant onto the black keyboard,42.9,336,33.1,8.3
widowx_eggplant_on_keyboard_clean,black,Drop the eggplant on top of the keyboard.,12.5,48,Drop the eggplant on top of the black keyboard.,45.8,24,33.3,3.14
widowx_eggplant_on_keyboard_clean,black,Leave the eggplant on the keyboard.,4.2,48,Leave the eggplant on the black keyboard.,37.5,24,33.3,3.71
widowx_eggplant_on_keyboard_clean,black,set the eggplant down on top of the keyboard,8.3,48,set the eggplant down on top of the black keyboard,41.7,48,33.3,3.77
widowx_eggplant_on_keyboard_clean,black,set the purple eggplant on the keyboard,16.7,120,set the purple eggplant on the black keyboard,51.9,360,35.3,6.76
widowx_cube_on_plate_clean,green,put the block on the plate,52.1,48,put the green block on the plate,87.5,120,35.4,4.96
widowx_pepsi_on_plate_clean,blue,Put the coke can onto the plate.,29.2,48,Put the blue coke can onto the plate.,64.6,48,35.4,3.48
widowx_pepsi_on_plate_clean,blue,Set the Pepsi can on the plate.,32.7,168,set the blue pepsi can on the plate,68.8,48,36.0,4.48
widowx_eggplant_on_keyboard_clean,black,Place the eggplant on top of the keyboard.,4.9,144,Place the eggplant on top of the black keyboard.,41.7,24,36.8,5.54
widowx_carrot_on_plate,orange,put the carrot on the plate,25.0,84,Put the orange carrot on the plate.,62.5,24,37.5,3.44
widowx_pepsi_on_plate_clean,blue,Put the Pepsi can on the light green plate.,8.3,24,Put the blue Pepsi can on the light green plate.,45.8,72,37.5,3.31
widowx_eggplant_on_keyboard_clean,black,put the eggplant on the keyboard.,16.7,24,put the eggplant on the black keyboard,54.2,96,37.5,3.29
widowx_eggplant_on_keyboard_clean,black,drop the eggplant on top of the keyboard,8.3,48,Drop the eggplant on top of the black keyboard.,45.8,24,37.5,3.69
widowx_eggplant_on_keyboard_clean,black,The eggplant needs to end up on the keyboard.,20.8,216,The eggplant needs to end up on the black keyboard.,58.3,24,37.5,4.05
widowx_cube_on_plate_clean,green,put the block on the plate.,50.0,24,put the green block on the plate,87.5,120,37.5,4.3
widowx_cube_on_plate_clean,green,Put the block on the plate.,50.0,72,put the green block on the plate,87.5,120,37.5,5.7
widowx_eggplant_on_keyboard_clean,black,Put the eggplant on the keyboard.,16.2,216,put the eggplant on the black keyboard,54.2,96,38.0,6.9
widowx_pepsi_on_plate_clean,blue,set the soda on the plate,29.2,24,set the blue soda on the plate,70.8,24,41.7,2.89
widowx_eggplant_on_keyboard_clean,black,put the eggplant on the keyboard,12.0,192,put the eggplant on the black keyboard,54.2,96,42.2,7.69
widowx_pepsi_on_plate_clean,blue,Set the Pepsi on the plate.,19.8,96,set the blue pepsi on the plate,62.5,24,42.7,4.15
widowx_eggplant_on_sponge_clean,purple,Eggplant goes on the sponge.,20.8,216,purple eggplant goes on the sponge,66.7,24,45.8,4.89
widowx_eggplant_on_keyboard_clean,black,"Grab the eggplant and put it on the keyboard, please.",8.3,144,"Grab the eggplant and put it on the black keyboard, please.",54.2,48,45.8,6.9
widowx_pepsi_on_plate_clean,blue,set the coke on the plate,22.9,48,set the blue coke on the plate,70.8,48,47.9,4.7
widowx_eggplant_on_sponge_clean,purple,eggplant goes on the sponge,4.2,24,purple eggplant goes on the sponge,66.7,24,62.5,4.53
