task,category,style_consistent,phrase_lo,succ_lo,n_lo,phrase_hi,succ_hi,n_hi,gap_pp,z,change
widowx_eggplant_on_keyboard_clean,slight restructure,True,put the eggplant on the keyboard,12.0,192,put eggplant on keyboard,37.5,672,25.5,6.7,reorder/determiners
widowx_carrot_on_ramekin_clean,noun/adjective synonym,True,put carrot on ramekin,13.0,384,put carrot on bowl,38.5,96,25.5,5.81,bowl -> ramekin
widowx_pepsi_on_plate_clean,verb synonym,True,put the blue can on the yellow plate,20.5,288,drop the blue can on the yellow plate,45.8,24,25.3,2.86,drop -> put
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Set the Pepsi down on the plate.,19.4,432,set the pepsi can on the plate,44.8,192,25.3,6.56,down -> can
widowx_eggplant_on_sponge_clean,verb synonym,False,Move the purple eggplant onto the sponge.,59.5,168,put the purple eggplant onto the sponge,84.7,144,25.2,4.9,move -> put
widowx_nut_on_plate_clean,noun/adjective synonym,False,Put the dark nut on the plate.,18.8,48,put the grey nut on the plate,43.8,48,25.0,2.64,dark -> grey
widowx_pepsi_on_plate_clean,case/punctuation only,False,Put the blue soda on the plate,50.0,48,Put the blue soda on the plate.,75.0,24,25.0,2.03, -> 
widowx_nut_on_wheel_clean,verb synonym,False,pick up the nut and place it in the wheel,4.2,24,Pick up the nut and drop it in the wheel.,29.2,24,25.0,2.32,drop -> place
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the coke can on top of the plate.,14.6,48,put the pepsi can on top of the plate,39.6,48,25.0,2.76,coke -> pepsi
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,put the blue can on the yellow dish,12.5,48,Put the blue soda on the yellow dish.,37.5,24,25.0,2.46,soda -> can
widowx_orange_juice_on_plate_clean,verb synonym,False,Move the juice box onto the plate.,16.7,24,put the juice box onto the plate,41.7,48,25.0,2.12,move -> put
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Grab the red can and place it on the black computer keyboard.,4.2,24,Grab the red soda and place it on the black computer keyboard.,29.2,48,25.0,2.46,can -> soda
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the can on the dish.,0.0,24,put the soda on the dish,25.0,48,25.0,2.68,can -> soda
widowx_eggplant_on_sponge_clean,verb synonym,False,put the purple eggplant onto the yellow and green sponge,66.7,24,Deposit the purple eggplant onto the yellow and green sponge.,91.7,24,25.0,2.13,deposit -> put
widowx_nut_on_plate_clean,case/punctuation only,False,pick up the black nut and put it on the yellow plate,8.3,48,Pick up the black nut and put it on the yellow plate.,33.3,24,25.0,2.68, -> 
widowx_coke_can_on_keyboard_clean,verb synonym,False,Move the Coke can onto the keyboard.,8.3,120,place the coke can onto the keyboard,33.3,48,25.0,4.05,move -> place
widowx_nut_on_wheel_clean,case/punctuation only,False,put the nut right on the wheel,20.8,24,Put the nut right on the wheel.,45.8,48,25.0,2.07, -> 
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,set the pepsi can onto the dish,4.2,24,Set the Pepsi can onto the plate.,29.2,24,25.0,2.32,plate -> dish
widowx_pepsi_on_plate_clean,case/punctuation only,False,put the blue soda on the plate,50.0,168,Put the blue soda on the plate.,75.0,24,25.0,2.3, -> 
widowx_nut_on_plate_clean,noun/adjective synonym,False,Put the fastener onto the dish.,12.5,48,put the nut onto the dish,37.5,24,25.0,2.46,fastener -> nut
widowx_coke_can_on_wheel_clean,noun/adjective synonym,True,Put the red soda can onto the black rubber tire.,20.8,48,Put the red soda container onto the black rubber tire.,45.8,48,25.0,2.6,can -> container
widowx_eggplant_on_keyboard_clean,verb synonym,True,Leave the eggplant on the keyboard.,4.2,48,Drop the eggplant on the keyboard.,29.2,48,25.0,3.29,drop -> leave
widowx_nut_on_plate_clean,noun/adjective synonym,False,put the nut onto the dish,37.5,24,Put the ring onto the dish.,62.5,48,25.0,2.01,ring -> nut
widowx_coke_can_on_wheel_clean,noun/adjective synonym,True,Position the red soda can onto the black rubber tire.,16.7,48,Position the red soda container onto the black rubber tire.,41.7,48,25.0,2.69,can -> container
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,Put the purple vegetable on the yellow and green scrubbing block.,29.2,48,Put the purple vegetable on the yellow and green cleaning block.,54.2,96,25.0,2.84,cleaning -> scrubbing
widowx_coke_can_on_wheel_clean,verb synonym,False,put the red can inside the black tire,12.5,24,place the red can inside the black tire.,37.5,24,25.0,2.0,place -> put
widowx_coke_can_on_wheel_clean,preposition synonym,False,Put the red can on the black wheel.,4.2,24,put the red can inside the black wheel,29.2,24,25.0,2.32,on -> inside
widowx_coke_can_on_wheel_clean,preposition synonym,False,place the red can inside the black tire,20.8,48,Place the red can on the black tire.,45.8,24,25.0,2.2,on -> inside
widowx_eggplant_on_keyboard_clean,verb synonym,True,Set the eggplant on the keyboard keys.,25.0,48,Place the eggplant on the keyboard keys.,50.0,48,25.0,2.53,place -> set
widowx_cube_on_plate_clean,noun/adjective synonym,False,put the green block on top of the yellow dish,62.5,24,Put the green block on top of the yellow plate.,87.5,24,25.0,2.0,plate -> dish
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant to the black keyboard.,12.5,48,Set the purple eggplant to the black keyboard,37.5,48,25.0,2.83,move -> set
widowx_pepsi_on_plate_clean,verb synonym,False,Move the blue Pepsi can onto the yellow plate.,20.8,24,set the blue pepsi can onto the yellow plate,45.8,48,25.0,2.07,move -> set
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the soda can on the plate.,20.8,48,Put the pepsi can on the plate.,45.8,24,25.0,2.2,pepsi -> soda
widowx_carrot_on_sponge_clean,noun/adjective synonym,False,Put the carrot next to the sponge.,4.2,24,put the carrot over to the sponge.,29.2,24,25.0,2.32,next -> over
widowx_nut_on_plate_clean,preposition synonym,False,drop the grey nut on the yellow plate,4.2,24,Drop the grey nut onto the yellow plate.,29.2,24,25.0,2.32,onto -> on
widowx_cube_on_plate_clean,case/punctuation only,False,take the cube and drop it onto the plate,54.2,48,Take the cube and drop it onto the plate.,79.2,336,25.0,3.8, -> 
widowx_cube_on_plate_clean,noun/adjective synonym,True,Pick up the green block and place it on the yellow plate.,58.3,24,Pick up the green cube and place it on the yellow plate.,83.3,72,25.0,2.52,block -> cube
widowx_eggplant_on_sponge_clean,noun/adjective synonym,False,place the purple eggplant on the green block,62.5,48,Place the purple eggplant on the green sponge.,87.5,48,25.0,2.83,sponge -> block
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Drop the Pepsi onto that light green circle.,0.0,96,Drop the Pepsi onto that light green plate.,25.0,24,25.0,5.03,circle -> plate
widowx_cube_on_plate_clean,case/punctuation only,False,put the green block onto the yellow plate,58.3,48,Put the green block onto the yellow plate.,83.3,24,25.0,2.12, -> 
widowx_eggplant_on_keyboard_clean,verb synonym,True,Leave the eggplant on the keyboard.,4.2,48,Position the eggplant on the keyboard.,29.2,24,25.0,3.02,leave -> position
widowx_carrot_on_sponge_clean,preposition synonym,False,Put the carrot onto the sponge.,20.8,72,Put the carrot on the sponge,45.8,48,25.0,2.91,on -> onto
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the coke can over to the plate,29.2,24,set the blue can over to the plate,54.2,48,25.0,2.01,blue -> coke
widowx_nut_on_plate_clean,verb synonym,False,move the nut onto the plate.,16.7,24,lay the nut onto the plate,41.7,48,25.0,2.12,lay -> move
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Can you put the blue can on the plate?,41.7,72,Can you put the blue soda on the plate?,66.7,96,25.0,3.23,can -> soda
widowx_orange_juice_on_plate_clean,verb synonym,True,take the orange juice carton on the yellow plate,12.5,24,drop the orange juice carton on the yellow plate,37.5,24,25.0,2.0,drop -> take
widowx_orange_juice_on_plate_clean,noun/adjective synonym,False,put the orange juice carton on the yellow plate.,16.7,24,Put the orange-themed carton on the yellow plate.,41.7,48,25.0,2.12,themed -> juice
widowx_pepsi_on_plate_clean,verb synonym,False,move the Pepsi can on the plate,29.2,24,place the pepsi can on the plate,54.2,96,25.0,2.19,move -> place
widowx_eggplant_on_sponge_clean,verb synonym,True,Place the purple eggplant on the green-and-yellow sponge.,66.7,24,Put the purple eggplant on the green and yellow sponge.,91.7,24,25.0,2.13,place -> put
widowx_carrot_on_sponge_clean,preposition synonym,False,put the carrot to the sponge,20.8,24,Put the carrot on the sponge,45.8,48,25.0,2.07,on -> to
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Set the red can on the black keyboard.,4.2,48,set the red soda on the black keyboard,29.2,24,25.0,3.02,can -> soda
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Set the red coke can on top of the black keyboard.,12.5,48,Set the red coke directly on top of the black keyboard.,37.5,24,25.0,2.46,can -> directly
widowx_cube_on_plate_clean,verb synonym,False,set the green block on the yellow plate,54.2,48,Put the green block on the yellow plate.,79.2,48,25.0,2.6,put -> set
widowx_eggplant_on_keyboard_clean,verb synonym,False,Leave the purple eggplant on the black keyboard.,27.1,48,set the purple eggplant on the black keyboard,51.9,360,24.9,3.24,leave -> set
widowx_cube_on_plate_clean,noun/adjective synonym,True,Move the green cube to the yellow plate.,45.8,120,Move the green block to the yellow plate.,70.5,312,24.7,4.78,block -> cube
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,put the purple thing on the yellow and green sponge,37.5,24,put the purple eggplant on the yellow and green sponge,62.1,240,24.6,2.34,eggplant -> thing
widowx_pepsi_on_plate_clean,slight restructure,False,Put the Pepsi can on the plate.,36.2,480,put pepsi can on plate,60.8,816,24.5,8.54,reorder/determiners
widowx_nut_on_wheel_clean,case/punctuation only,False,put the nut onto the tire,4.2,48,Put the nut onto the tire.,28.6,168,24.4,3.54, -> 
widowx_cube_on_plate_clean,slight restructure,False,set the cube on the green plate,56.2,48,Set the green cube on the plate.,80.7,264,24.4,3.7,reorder/determiners
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the blue can on the plate,38.2,144,set the blue pepsi on the plate,62.5,24,24.3,2.24,can -> pepsi
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant onto the black keyboard.,16.7,192,Place the purple eggplant onto the black keyboard,40.8,120,24.2,4.74,move -> place
widowx_nut_on_plate_clean,verb synonym,False,move the nut onto the plate.,16.7,24,Put the nut onto the plate.,40.9,264,24.2,2.33,put -> move
widowx_cube_on_plate_clean,verb synonym,False,put the green cube into the dish,37.5,24,Place the green cube into the dish.,61.6,432,24.1,2.35,place -> put
widowx_eggplant_on_sponge_clean,case/punctuation only,False,drop the eggplant onto the sponge,62.5,48,Drop the eggplant onto the sponge.,86.6,216,24.1,3.94, -> 
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,Set the purple eggplant onto the black device,18.8,48,set the purple eggplant onto the black keyboard,42.9,336,24.1,3.19,device -> keyboard
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,put the red can on the black keyboard,3.7,216,put the coke can on the black keyboard,27.8,72,24.1,5.97,coke -> red
widowx_nut_on_plate_clean,noun/adjective synonym,True,put the nut onto the yellow dish,26.0,96,put the ring onto the yellow dish,50.0,24,24.0,2.27,nut -> ring
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,True,put the purple eggplant onto the black device,16.7,48,put the purple eggplant onto the black keyboard,40.6,192,24.0,3.1,device -> keyboard
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant onto the black keyboard.,16.7,192,put the purple eggplant onto the black keyboard,40.6,192,24.0,5.19,move -> put
widowx_pepsi_on_plate_clean,case/punctuation only,False,Place the Pepsi can on the plate.,30.2,576,place the pepsi can on the plate,54.2,96,24.0,4.6, -> 
widowx_carrot_on_ramekin_clean,noun/adjective synonym,True,set the carrot in the white bowl,30.2,96,set the carrot in the white dish,54.2,24,24.0,2.2,bowl -> dish
widowx_carrot_on_ramekin_clean,verb synonym,False,Put the carrot in the bowl.,10.8,120,set the carrot in the bowl,34.7,72,23.9,4.02,put -> set
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,set the red can on the black keyboard,5.4,168,set the red soda on the black keyboard,29.2,24,23.8,3.95,can -> soda
widowx_nut_on_plate_clean,noun/adjective synonym,False,Put the nut onto the dish.,25.0,48,put the nut onto the plate,48.6,144,23.6,2.86,dish -> plate
widowx_cube_on_plate_clean,noun/adjective synonym,True,Move the green block onto the yellow dish.,55.1,312,Move the green block onto the yellow plate.,78.7,216,23.6,5.58,dish -> plate
widowx_nut_on_plate_clean,verb synonym,False,Move the nut onto the plate.,18.1,72,lay the nut onto the plate,41.7,48,23.6,2.84,move -> lay
widowx_eggplant_on_sponge_clean,verb synonym,False,pop the purple eggplant onto the sponge,58.3,24,Put the purple eggplant onto the sponge.,81.9,216,23.6,2.72,put -> pop
widowx_nut_on_plate_clean,verb synonym,True,move the nut onto the plate,25.0,24,put the nut onto the plate,48.6,144,23.6,2.15,move -> put
widowx_carrot_on_ramekin_clean,verb synonym,False,put the carrot in the bowl.,11.1,72,set the carrot in the bowl,34.7,72,23.6,3.37,put -> set
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,put the eggplant across the keyboard,4.2,24,Put the eggplant onto the keyboard.,27.7,264,23.5,2.52,onto -> across
widowx_cube_on_plate_clean,noun/adjective synonym,True,Put the green block on the dish.,53.6,192,Put the green block on the plate.,77.1,96,23.4,3.85,dish -> plate
widowx_carrot_on_wheel_clean,verb synonym,False,put the carrot on the wheel,3.5,144,Place the carrot on the wheel.,26.7,45,23.2,4.75,place -> put
widowx_eggplant_on_sponge_clean,verb synonym,False,set the purple eggplant on the green and yellow sponge,68.6,264,Put the purple eggplant on the green and yellow sponge.,91.7,24,23.1,2.38,put -> set
widowx_cube_on_plate_clean,noun/adjective synonym,True,set the green block on the yellow plate,54.2,48,set the green cube on the yellow plate,77.2,408,23.0,3.48,block -> cube
widowx_cube_on_plate_clean,verb synonym,True,move the green cube on the yellow plate,54.2,24,set the green cube on the yellow plate,77.2,408,23.0,2.57,move -> set
widowx_nut_on_plate_clean,verb synonym,True,Move the nut onto the plate.,18.1,72,Put the nut onto the plate.,40.9,264,22.9,3.58,move -> put
widowx_coke_can_on_wheel_clean,noun/adjective synonym,True,set the red soda can on the black tire,14.6,48,set the red coke can on the black tire,37.5,24,22.9,2.2,coke -> soda
widowx_nut_on_plate_clean,noun/adjective synonym,True,Put the dark nut on the plate.,18.8,48,Put the grey nut on the plate.,41.7,24,22.9,2.08,dark -> grey
widowx_orange_juice_on_plate_clean,noun/adjective synonym,True,Pick up the orange juice box and place it on the yellow plate.,12.5,24,Pick up the orange juice carton and place it on the yellow plate.,35.4,48,22.9,2.05,box -> carton
widowx_eggplant_on_keyboard_clean,case/punctuation only,False,Put the eggplant on the black keyboard.,31.2,144,put the eggplant on the black keyboard,54.2,96,22.9,3.54, -> 
widowx_orange_juice_on_plate_clean,noun/adjective synonym,False,Put the juice box onto the yellow dish.,4.2,24,put the juice box onto the yellow plate,27.1,48,22.9,2.32,dish -> plate
widowx_pepsi_on_plate_clean,verb synonym,False,put the blue Pepsi can on the plate,45.8,48,set the blue pepsi can on the plate,68.8,48,22.9,2.27,put -> set
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Set the red cylinder on top of the black peripheral.,18.8,48,Set the red cylinder on top of the black keys.,41.7,24,22.9,2.08,keys -> peripheral
widowx_eggplant_on_sponge_clean,case/punctuation only,False,Place the purple eggplant on the green-and-yellow sponge.,66.7,24,place the purple eggplant on the green and yellow sponge,89.6,48,22.9,2.38, -> 
widowx_orange_juice_on_plate_clean,noun/adjective synonym,False,Put the juice box onto the yellow dish.,4.2,24,put the small box onto the yellow dish,27.1,48,22.9,2.32,juice -> small
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the soda can on the plate.,20.8,48,put the pepsi can on the plate,43.8,96,22.9,2.7,soda -> pepsi
widowx_cube_on_plate_clean,case/punctuation only,False,set the green block on the yellow plate,54.2,48,Set the green block on the yellow plate.,77.1,48,22.9,2.36, -> 
widowx_cube_on_plate_clean,noun/adjective synonym,False,set the teal block onto the yellow dish,50.0,48,Set the teal block onto the yellow plate.,72.9,48,22.9,2.31,plate -> dish
widowx_pepsi_on_plate_clean,verb synonym,False,Put the blue Pepsi can on the light yellow plate.,31.2,96,set the blue pepsi can on the light yellow plate,54.2,48,22.9,2.66,put -> set
widowx_carrot_on_ramekin_clean,noun/adjective synonym,False,put the carrot in the little bowl,14.6,48,put the carrot in the white bowl.,37.5,24,22.9,2.2,little -> white
widowx_coke_can_on_wheel_clean,verb synonym,True,move the red can on the black wheel,2.1,48,rest the red can on the black wheel,25.0,24,22.9,3.09,move -> rest
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the can on the dish.,0.0,24,Put the can on the plate.,22.9,48,22.9,2.55,dish -> plate
widowx_pepsi_on_plate_clean,verb synonym,False,put the Pepsi can on the plate,31.2,48,place the pepsi can on the plate,54.2,96,22.9,2.6,place -> put
widowx_cube_on_plate_clean,slight restructure,True,set the cube on the green plate,56.2,48,set green cube on plate,79.2,144,22.9,3.11,reorder/determiners
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Place the blue soda can onto the yellow plate.,27.1,48,Place the blue coke can onto the yellow plate.,50.0,96,22.9,2.62,coke -> soda
widowx_coke_can_on_wheel_clean,noun/adjective synonym,False,Put the red can on the black wheel.,4.2,24,put the red can on the black tire,27.1,48,22.9,2.32,wheel -> tire
widowx_coke_can_on_wheel_clean,verb synonym,False,move the red can on the black wheel,2.1,48,Place the red can on the black wheel.,25.0,24,22.9,3.09,place -> move
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,put the red can onto the black device,12.5,48,put the red cylinder onto the black device,35.4,48,22.9,2.63,can -> cylinder
widowx_nut_on_plate_clean,verb synonym,True,move the nut onto the yellow plate,18.8,48,drop the nut onto the yellow plate,41.7,48,22.9,2.45,drop -> move
widowx_coke_can_on_wheel_clean,verb synonym,False,set the red soda can on the black tire,14.6,48,Place the red soda can on the black tire.,37.5,24,22.9,2.2,place -> set
widowx_nut_on_plate_clean,noun/adjective synonym,False,set the hexagonal nut on the plate,22.9,48,Set the grey nut on the plate,45.8,48,22.9,2.36,grey -> hexagonal
widowx_eggplant_on_keyboard_clean,verb synonym,False,Lay the purple eggplant on the black keyboard,29.2,72,set the purple eggplant on the black keyboard,51.9,360,22.8,3.53,lay -> set
widowx_eggplant_on_keyboard_clean,preposition synonym,False,Set the purple eggplant onto the black keyboard?,29.2,24,set the purple eggplant on the black keyboard,51.9,360,22.8,2.16,onto -> on
widowx_pepsi_on_plate_clean,verb synonym,False,Move the blue can over to the plate.,31.4,312,set the blue can over to the plate,54.2,48,22.8,3.09,move -> set
widowx_cube_on_plate_clean,verb synonym,True,Move the green square to the plate.,50.0,24,Transfer the green square to the plate.,72.7,264,22.7,2.35,move -> transfer
widowx_eggplant_on_sponge_clean,verb synonym,True,Move the purple eggplant onto the sponge.,59.5,168,Put the purple eggplant onto the sponge.,81.9,216,22.4,4.86,move -> put
widowx_eggplant_on_keyboard_clean,verb synonym,False,Leave the eggplant on the keyboard.,4.2,48,set the eggplant on the keyboard,26.4,216,22.2,3.34,leave -> set
widowx_pepsi_on_plate_clean,verb synonym,False,Place the blue can on the yellow plate.,23.6,144,drop the blue can on the yellow plate,45.8,24,22.2,2.28,place -> drop
widowx_nut_on_plate_clean,verb synonym,False,Place the nut on the yellow plate.,23.6,72,drop the nut on the yellow plate,45.8,24,22.2,2.07,place -> drop
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,set the red coke can on top of the black keyboard,15.3,144,Set the red coke directly on top of the black keyboard.,37.5,24,22.2,2.6,directly -> can
widowx_nut_on_plate_clean,noun/adjective synonym,True,Take the little nut and set it on the dish.,5.0,360,Take the little nut and set it on the plate.,27.1,48,22.1,5.42,dish -> plate
widowx_nut_on_plate_clean,noun/adjective synonym,True,Put the dark nut on the plate.,18.8,48,Put the hex nut on the plate.,40.6,192,21.9,2.82,dark -> hex
widowx_nut_on_plate_clean,verb synonym,False,Put the nut on the yellow plate.,24.0,96,drop the nut on the yellow plate,45.8,24,21.9,2.13,put -> drop
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Place the blue can on the plate.,35.0,120,place that blue can on the plate,56.9,144,21.9,3.56,the -> that
widowx_coke_can_on_wheel_clean,noun/adjective synonym,True,Place the red coke can inside the center of the black tire.,10.4,48,Place the red coke can inside the center of the black wheel.,32.3,96,21.9,2.86,tire -> wheel
widowx_nut_on_wheel_clean,noun/adjective synonym,False,put the nut onto the wheel,6.9,72,Put the nut onto the tire.,28.6,168,21.6,3.7,tire -> wheel
widowx_nut_on_plate_clean,noun/adjective synonym,False,get the nut on the plate,25.6,168,Put the nut on the plate.,47.2,144,21.6,3.98,put -> get
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Set the blue can on the plate.,36.8,144,set that blue can on the plate,58.3,48,21.5,2.62,the -> that
widowx_nut_on_plate_clean,verb synonym,False,Lay the nut onto the plate,32.7,312,transfer the nut onto the plate,54.2,24,21.5,2.14,lay -> transfer
widowx_eggplant_on_keyboard_clean,verb synonym,True,put the eggplant on the keyboard,12.0,192,place the eggplant on the keyboard,33.3,96,21.4,4.35,place -> put
widowx_nut_on_wheel_clean,preposition synonym,True,put the grey nut on the black tire,16.1,168,put the grey nut into the black tire,37.5,24,21.4,2.52,into -> on
widowx_carrot_on_ramekin_clean,preposition synonym,True,Place the carrot in the ramekin.,19.3,192,Place the carrot inside the ramekin.,40.6,96,21.4,3.88,in -> inside
widowx_cube_on_plate_clean,noun/adjective synonym,True,Move the green cube onto the yellow plate.,57.3,96,Move the green block onto the yellow plate.,78.7,216,21.4,3.89,block -> cube
widowx_pepsi_on_plate_clean,verb synonym,False,Set the Pepsi can on the plate.,32.7,168,place the pepsi can on the plate,54.2,96,21.4,3.41,set -> place
widowx_pepsi_on_plate_clean,slight restructure,False,Please put the blue can on the plate.,16.7,24,put the blue can on the plate,38.1,168,21.4,2.05,reorder/determiners
widowx_nut_on_plate_clean,verb synonym,False,Move the nut onto the yellow plate.,11.2,624,set the nut onto the yellow plate,32.6,144,21.4,6.45,move -> set
widowx_cube_on_plate_clean,preposition synonym,False,put the green block on the yellow plate,62.0,192,Put the green block onto the yellow plate.,83.3,24,21.4,2.06,onto -> on
widowx_eggplant_on_sponge_clean,slight restructure,True,put the purple eggplant on the yellow and green sponge,62.1,240,please put the purple eggplant on the green and yellow sponge,83.3,24,21.3,2.07,reorder/determiners
widowx_eggplant_on_sponge_clean,noun/adjective synonym,False,Lay the purple thing on the yellow and green sponge.,37.0,216,lay the purple eggplant on the yellow and green sponge,58.3,24,21.3,2.03,thing -> eggplant
widowx_eggplant_on_sponge_clean,verb synonym,False,put the purple eggplant on the yellow and green sponge,62.1,240,Lay the purple eggplant on the yellow and green sponge.,83.3,24,21.3,2.07,lay -> put
widowx_eggplant_on_keyboard_clean,slight restructure,False,Put the eggplant on the keyboard.,16.2,216,put eggplant on keyboard,37.5,672,21.3,5.82,reorder/determiners
widowx_eggplant_on_sponge_clean,slight restructure,False,put the purple eggplant on the yellow and green sponge,62.1,240,put the purple eggplant on the green and yellow sponge.,83.3,24,21.3,2.07,reorder/determiners
widowx_eggplant_on_sponge_clean,verb synonym,False,place the purple eggplant on the green sponge,66.7,48,Put the purple eggplant on the green sponge.,88.0,216,21.3,3.65,put -> place
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,put the red can on the black keyboard,3.7,216,put the red coke on the black keyboard,25.0,24,21.3,4.22,can -> coke
widowx_carrot_on_sponge_clean,verb synonym,True,Place the orange carrot on the green and yellow sponge.,8.3,24,Set the orange carrot on the green and yellow sponge.,29.6,240,21.2,2.22,place -> set
widowx_eggplant_on_sponge_clean,verb synonym,True,set the purple eggplant on the green and yellow sponge,68.6,264,place the purple eggplant on the green and yellow sponge,89.6,48,21.0,2.98,place -> set
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,pick up the red can and place it on the black keyboard,8.3,48,Pick up the red soda and place it on the black keyboard.,29.2,24,20.8,2.32,soda -> can
widowx_coke_can_on_wheel_clean,preposition synonym,False,Put the red can on the black wheel.,4.2,24,put the red can onto the black wheel,25.0,48,20.8,2.17,on -> onto
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Pick up the red can and place it on the black keyboard.,8.3,48,Pick up the red soda and place it on the black keyboard.,29.2,24,20.8,2.32,can -> soda
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant onto the black keyboard.,16.7,192,put the purple eggplant onto the black keyboard.,37.5,24,20.8,2.45,move -> put
widowx_cube_on_plate_clean,noun/adjective synonym,False,get the green cube onto that plate,66.7,48,Set the green cube onto that plate.,87.5,48,20.8,2.43,set -> get
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant onto the black keyboard.,16.7,192,set the purple eggplant onto the black keyboard?,37.5,24,20.8,2.45,move -> set
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the Pepsi can on the light green plate.,8.3,24,put the blue can on the light green plate,29.2,48,20.8,2.0,pepsi -> blue
widowx_eggplant_on_keyboard_clean,verb synonym,True,Move the purple eggplant onto the black keyboard.,16.7,192,Place the purple eggplant onto the black keyboard.,37.5,72,20.8,3.62,move -> place
widowx_coke_can_on_keyboard_clean,verb synonym,True,Place the red cylinder onto the black device.,25.0,48,Put the red cylinder onto the black device.,45.8,48,20.8,2.13,place -> put
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Place the blue soda can on the yellow plate.,25.0,240,place the blue pepsi can on the yellow plate,45.8,24,20.8,2.19,soda -> pepsi
widowx_eggplant_on_sponge_clean,verb synonym,True,drop the eggplant onto the sponge,62.5,48,put the eggplant onto the sponge,83.3,48,20.8,2.3,drop -> put
widowx_cube_on_plate_clean,noun/adjective synonym,False,set the teal block on the yellow plate,56.2,48,Set the green block on the yellow plate.,77.1,48,20.8,2.17,green -> teal
widowx_coke_can_on_wheel_clean,verb synonym,False,Put the red can on the black wheel.,4.2,24,rest the red can on the black wheel,25.0,24,20.8,2.04,put -> rest
widowx_nut_on_plate_clean,verb synonym,False,drop the grey nut on the yellow plate,4.2,24,set the grey nut on the yellow plate.,25.0,48,20.8,2.17,drop -> set
widowx_nut_on_plate_clean,verb synonym,False,drop the grey nut on the yellow plate,4.2,24,Set the grey nut on the yellow plate.,25.0,24,20.8,2.04,set -> drop
widowx_nut_on_wheel_clean,verb synonym,False,place the nut onto the wheel,0.0,96,put the nut onto the wheel.,20.8,24,20.8,4.57,place -> put
widowx_eggplant_on_keyboard_clean,verb synonym,True,Leave the eggplant on the keyboard.,4.2,48,Rest the eggplant on the keyboard.,25.0,24,20.8,2.65,leave -> rest
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,lay the eggplant across the keyboard,4.2,48,Lay the eggplant on the keyboard,25.0,24,20.8,2.65,on -> across
widowx_eggplant_on_keyboard_clean,verb synonym,False,Leave the eggplant on the keyboard.,4.2,48,Lay the eggplant on the keyboard,25.0,24,20.8,2.65,lay -> leave
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,True,Lay the eggplant across the keyboard,4.2,192,Lay the eggplant on the keyboard,25.0,24,20.8,3.91,across -> on
widowx_coke_can_on_wheel_clean,noun/adjective synonym,True,Position the red soda can directly onto the black rubber tire.,14.6,96,Position the red soda container directly onto the black rubber tire.,35.4,48,20.8,2.87,can -> container
widowx_eggplant_on_keyboard_clean,verb synonym,False,Leave the eggplant on the keyboard.,4.2,48,Put the eggplant on the keyboard,25.0,24,20.8,2.65,leave -> put
widowx_eggplant_on_sponge_clean,case/punctuation only,False,place the purple eggplant on the green sponge,66.7,48,Place the purple eggplant on the green sponge.,87.5,48,20.8,2.43, -> 
