task,phrase,kind,proxy,n_ctx,gt_success,source
pick up blue pen and put into drawer,place the blue pen in the top left plastic drawer,search,,80,,search_boards
pick up blue pen and put into drawer,put the blue dry erase marker in the upper left compartment,search,,80,,search_boards
pick up bowl and put in small4fbox,pick up bowl and put in small4fbox,original,,80,,search_boards
pick up bowl and put in small4fbox,put the light blue bowl inside the box,search,,80,,search_boards
pick up bowl and put in small4fbox,put the light blue bowl in the box,search,,80,,search_boards
pick up bowl and put in small4fbox,place the light blue bowl in the cardboard box,search,,80,,search_boards
pick up bowl and put in small4fbox,put the light blue bowl in the cardboard box,search,,80,,search_boards
pick up bowl and put in small4fbox,put the blue bowl in the box,search,,80,,search_boards
pick up bowl and put in small4fbox,put the blue bowl into the cardboard box,search,,80,,search_boards
pick up bowl and put in small4fbox,move the blue bowl into the cardboard box,search,,80,,search_boards
pick up box cutter and put into drawer,pick up box cutter and put into drawer,original,,80,,search_boards
pick up box cutter and put into drawer,pick up the silver box cutter and put it in the red drawer,search,,80,,search_boards
pick up box cutter and put into drawer,grab the silver box cutter and place it in the red drawer,search,,80,,search_boards
pick up box cutter and put into drawer,pick up the silver box cutter and set it inside the red drawer,search,,80,,search_boards
pick up box cutter and put into drawer,grab the silver box cutter and set it in the red drawer,search,,80,,search_boards
pick up box cutter and put into drawer,pick up the silver box cutter and put it in the drawer,search,,80,,search_boards
pick up box cutter and put into drawer,grab the box cutter and place it inside the red drawer,search,,80,,search_boards
pick up box cutter and put into drawer,pick up the silver box cutter and place it in the red drawer,search,,80,,search_boards
pick up box cutter and put into drawer,grab the box cutter and set it in the drawer,search,,80,,search_boards
pick up glass cup,pick up glass cup,original,,80,,search_boards
pick up glass cup,pick up the small glass cup,search,,80,,search_boards
pick up glass cup,pick up glass cup from dishwasher,search,,80,,search_boards
pick up glass cup,pick up glass,search,,80,,search_boards
pick up glass cup,take the clear glass out of the dishwasher,search,,80,,search_boards
pick up glass cup,lift the glass cup from the rack,search,,80,,search_boards
pick up glue and put into drawer,[dry-run:gemini] aa9ab54d088e,search,0.44390871780745783,80,,loop_gemini
pick up glue and put into drawer,[dry-run:gemini] 9a5473a40346,search,0.7565771101713659,80,,loop_gemini
pick up glue and put into drawer,pick up glue and put into drawer,original,,80,,search_boards
pick up glue and put into drawer,pick up the small red glue tube and drop it in the upper tray,search,,80,,search_boards
pick up glue and put into drawer,put the red tube of glue in the upper tray,search,,80,,search_boards
pick up glue and put into drawer,put the red tube of glue in the top left organizer,search,,80,,search_boards
pick up glue and put into drawer,move the red glue tube into the top left compartment,search,,80,,search_boards
pick up glue and put into drawer,put the red glue tube into the left side top drawer,search,,80,,search_boards
pick up glue and put into drawer,put the red tube of glue in the small open drawer on the left,search,,80,,search_boards
pick up glue and put into drawer,pick up the red tube of glue and place it in the top left organizer,search,,80,,search_boards
pick up green mug,pick up green coffee cup,search,,80,,search_boards
pick up green mug,pick up the green coffee cup,search,,80,,search_boards
pick up green mug,pick up green cup,search,,80,,search_boards
pick up green mug,pick up the green cup,search,,80,,search_boards
pick up green mug,pick up green mug,original,,80,,search_boards
pick up green mug,grasp the green cup,search,,80,,search_boards
pick up green mug,lift the green cup,search,,80,,search_boards
pick up pan from stove,[dry-run:gemini] 6a763934e9c5,search,0.6768798224098472,80,,loop_gemini
pick up pan from stove,[dry-run:gemini] e2c13623aaa8,search,0.9043802745211753,80,,loop_gemini
pick up pan from stove,pick up pan from stove,original,,80,,search_boards
pick up pan from stove,pick up the silver pot on the left burner,search,,80,,search_boards
pick up pan from stove,lift the silver pot on the left burner,search,,80,,search_boards
pick up pan from stove,lift the silver pot that is on the left burner,search,,80,,search_boards
pick up pan from stove,lift the silver pot off the front left burner,search,,80,,search_boards
pick up pan from stove,grab the silver pot on the left burner,search,,80,,search_boards
pick up pan from stove,take the silver pot off the front burner,search,,80,,search_boards
pick up pan from stove,grab the small pot from the burner,search,,80,,search_boards
pick up pan from stove,pick up the small silver pot from the stove,search,,80,,search_boards
pick up pan from stove,grab the small silver pot on the left burner,search,,80,,search_boards
pick up pot,pick up pot,original,,80,,search_boards
pick up pot,grab the silver cooking pot from the stove,search,,80,,search_boards
pick up pot,grab the metal pot from the burner,search,,80,,search_boards
pick up pot,grab the small silver pot from the burner,search,,80,,search_boards
pick up pot,grab the small metal pot from the burner,search,,80,,search_boards
pick up pot,grab the metal pot from the stove,search,,80,,search_boards
pick up pot,lift the cooking pot,search,,80,,search_boards
pick up pot,grab the silver cooking pot,search,,80,,search_boards
pick up pot,pick up the silver pot with handles,search,,80,,search_boards
pick up pot,grab the small metal pot from the stove,search,,80,,search_boards
pick up pot from sink,grab the silver cup out of the sink,search,,80,,search_boards
pick up pot from sink,grab the metal pot from the sink,search,,80,,search_boards
pick up pot from sink,grab the silver cup from the sink,search,,80,,search_boards
pick up pot from sink,grab the metal pot out of the sink,search,,80,,search_boards
pick up pot from sink,pick up pot from sink,original,,80,,search_boards
pick up pot from sink,lift the metal pot out of the sink,search,,80,,search_boards
pick up pot from sink,lift the silver cup out of the sink,search,,80,,search_boards
pick up pot from sink,remove the pot from the sink,search,,80,,search_boards
pick up pot from sink,remove the silver pot from the sink,search,,80,,search_boards
pick up scissors and put into drawer,[dry-run:gemini] 58c20293710d,search,0.5795004446248222,80,,loop_gemini
pick up scissors and put into drawer,[dry-run:gemini] aec545de50da,search,0.8818469597394157,80,,loop_gemini
pick up scissors and put into drawer,place the scissors in the top drawer,search,,80,,search_boards
pick up scissors and put into drawer,place the scissors in the top red drawer,search,,80,,search_boards
pick up scissors and put into drawer,pick up scissors and put into drawer,original,,80,,search_boards
pick up scissors and put into drawer,place the scissors into the top red drawer,search,,80,,search_boards
pick up scissors and put into drawer,pick up the scissors and place them in the drawer,search,,80,,search_boards
pick up scissors and put into drawer,pick up scissors and place in drawer,search,,80,,search_boards
pick up sponge and wipe plate,use the yellow sponge to clean the grey plate,search,,80,,search_boards
pick up sponge and wipe plate,pick up sponge and wipe plate,original,,80,,search_boards
pick up sponge and wipe plate,use the yellow sponge to clean the plate,search,,80,,search_boards
pick up sponge and wipe plate,use the sponge to wipe the grey plate,search,,80,,search_boards
pick up sponge and wipe plate,use the sponge to clean the grey plate,search,,80,,search_boards
pick up sponge and wipe plate,grab the yellow sponge and wipe the grey plate,search,,80,,search_boards
pick up sponge and wipe plate,grab the sponge and wipe the grey plate,search,,80,,search_boards
pick up sponge and wipe plate,pick up the yellow sponge and wipe the grey plate,search,,80,,search_boards
pick up violet Allen key,pick up violet Allen key,original,,80,,search_boards
pick up violet Allen key,pick up the violet hex key,search,,80,,search_boards
pick up violet Allen key,grasp the violet hex key,search,,80,,search_boards
pick up violet Allen key,grasp the purple hex key,search,,80,,search_boards
pick up violet Allen key,grab the violet hex key,search,,80,,search_boards
pick up violet Allen key,pick up the purple hex key,search,,80,,search_boards
pick up violet Allen key,pick up the purple l-key,search,,80,,search_boards
pick up violet Allen key,grab the violet allen key,search,,80,,search_boards
pour almonds in pot,dump the almonds in the pot,search,,80,,search_boards
pour almonds in pot,dump the almonds into the pot bowl,search,,80,,search_boards
pour almonds in pot,dump the almonds from the container into the pot,search,,80,,search_boards
pour almonds in pot,pour almonds in pot,original,,80,,search_boards
pour almonds in pot,dump the almonds into the pot,search,,80,,search_boards
pour almonds in pot,pour the almonds into the pot,search,,80,,search_boards
pour almonds in pot,transfer almonds from container to pot,search,,80,,search_boards
pour almonds in pot,pour almonds from container into pot,search,,80,,search_boards
put banana in colander,put banana in colander,original,,80,,search_boards
put banana in colander,put the banana inside the silver bowl,search,,80,,search_boards
put banana in colander,place the yellow banana in the silver bowl,search,,80,,search_boards
put banana in colander,drop the yellow banana in the silver bowl,search,,80,,search_boards
put banana in colander,put the yellow banana into the silver bowl,search,,80,,search_boards
put banana in colander,put the yellow banana in the silver bowl,search,,80,,search_boards
put banana in colander,drop the banana into the colander,search,,80,,search_boards
put banana in colander,put the banana in the colander bowl,search,,80,,search_boards
put banana in colander,place the banana in the colander,search,,80,,search_boards
put banana in pot cardboard fence,put banana in pot cardboard fence,original,,80,,search_boards
put banana in pot cardboard fence,move the banana in the pot,search,,80,,search_boards
put banana in pot cardboard fence,move the banana into the pot,search,,80,,search_boards
put banana in pot cardboard fence,pick up the banana and drop it in the pot,search,,80,,search_boards
put banana in pot cardboard fence,move the banana inside the orange bowl,search,,80,,search_boards
put banana in pot cardboard fence,pick up the banana and put it in the pot,search,,80,,search_boards
put banana in pot cardboard fence,move banana to pot,search,,80,,search_boards
put banana in pot cardboard fence,put the banana inside the orange bowl,search,,80,,search_boards
put banana in pot or pan,put banana in pot or pan,original,,80,,search_boards
put banana in pot or pan,place yellow banana in the silver pot,search,,80,,search_boards
put banana in pot or pan,place the yellow banana in the silver pot,search,,80,,search_boards
put banana in pot or pan,place the banana in the silver pot,search,,80,,search_boards
put banana in pot or pan,put the yellow banana in the silver pot,search,,80,,search_boards
put banana in pot or pan,place banana in the silver pot,search,,80,,search_boards
put banana in pot or pan,put the banana in the silver pot,search,,80,,search_boards
put banana in pot or pan,put the yellow banana into the silver pot,search,,80,,search_boards
put banana in pot or pan,place banana into the pot,search,,80,,search_boards
put banana on plate,put banana on plate,original,,80,,search_boards
put banana on plate,place the yellow banana onto the green plate,search,,80,,search_boards
put banana on plate,put the yellow banana onto the green plate,search,,80,,search_boards
put banana on plate,put the yellow banana on the green plate,search,,80,,search_boards
put banana on plate,put the yellow banana inside the green plate,search,,80,,search_boards
put banana on plate,put the yellow banana on the plate,search,,80,,search_boards
put banana on plate,move the yellow banana onto the plate,search,,80,,search_boards
put banana on plate,put the banana on the plate,search,,80,,search_boards
put big spoon from basket to tray,place big spoon from basket to tray,search,,80,,search_boards
put big spoon from basket to tray,transfer big spoon from basket to tray,search,,80,,search_boards
put big spoon from basket to tray,transfer the big spoon from basket to tray,search,,80,,search_boards
put big spoon from basket to tray,place the big spoon from basket to tray,search,,80,,search_boards
put big spoon from basket to tray,put big spoon from basket to tray,original,,80,,search_boards
put big spoon from basket to tray,take the big spoon out of the basket and place it in the tray,search,,80,,search_boards
put big spoon from basket to tray,grab the large spoon from the basket and put it in the tray,search,,80,,search_boards
put big spoon from basket to tray,place the big silver spoon from the basket into the tray slot,search,,80,,search_boards
put big spoon from basket to tray,put the big spoon from basket to tray,search,,80,,search_boards
put big spoon from basket to tray,move big spoon from basket to tray,search,,80,,search_boards
put blueberries on plate sink,[dry-run:gemini] 736870842653,search,0.3438400991750587,80,,loop_gemini
put blueberries on plate sink,[dry-run:gemini] 8e0d24dcbf9f,search,0.8378896358880633,80,,loop_gemini
put blueberries on plate sink,put blueberries on plate sink,original,,80,,search_boards
put blueberries on plate sink,place blue grapes on yellow plate sink,search,,80,,search_boards
put blueberries on plate sink,place blue grapes on the yellow plate in the sink,search,,80,,search_boards
put blueberries on plate sink,place blue grapes on the plate in the sink,search,,80,,search_boards
put blueberries on plate sink,put blue grapes on the yellow plate in the sink,search,,80,,search_boards
put blueberries on plate sink,put the blueberries on the plate in the sink,search,,80,,search_boards
put blueberries on plate sink,put blue grapes on plate sink,search,,80,,search_boards
put blueberries on plate sink,place blueberries on the plate in the sink,search,,80,,search_boards
put bowl on plate,[dry-run:gemini] b4c0eb2cf055,search,0.18591231945586462,80,,loop_gemini
put bowl on plate,[dry-run:gemini] eaa4f7a80c97,search,0.876917616237073,80,,loop_gemini
put bowl on plate,put bowl on plate,original,,80,,search_boards
put bowl on plate,place bowl on the plate,search,,80,,search_boards
put bowl on plate,place bowl on blue plate,search,,80,,search_boards
put bowl on plate,place the bowl on the blue plate,search,,80,,search_boards
put bowl on plate,place bowl onto blue plate,search,,80,,search_boards
put bowl on plate,place bowl on plate,search,,80,,search_boards
put bowl on plate,place the bowl onto the plate,search,,80,,search_boards
put bowl on plate,put the bowl on the plate,search,,80,,search_boards
put bowl on plate,place bowl onto the plate,search,,80,,search_boards
put bowl on plate cardboard fence,put bowl on plate cardboard fence,original,,80,,search_boards
put bowl on plate cardboard fence,put bowl on the green plate cardboard fence,search,,80,,search_boards
put bowl on plate cardboard fence,put bowl on green plate cardboard fence,search,,80,,search_boards
put bowl on plate cardboard fence,put bowl on green plate cardboard,search,,80,,search_boards
put bowl on plate cardboard fence,put bowl onto green plate cardboard fence,search,,80,,search_boards
put bowl on plate cardboard fence,put blue bowl in green plate,search,,80,,search_boards
put bowl on plate cardboard fence,put blue bowl onto green plate,search,,80,,search_boards
put bowl on plate cardboard fence,move blue bowl to green plate,search,,80,,search_boards
put bowl on plate cardboard fence,put the bowl on plate cardboard fence,search,,80,,search_boards
put broccoli in bowl,put broccoli in bowl,original,,80,,search_boards
put broccoli in bowl,put the green broccoli inside the blue bowl,search,,80,,search_boards
put broccoli in bowl,drop the green broccoli in the blue bowl,search,,80,,search_boards
put broccoli in bowl,place the green broccoli in the blue bowl,search,,80,,search_boards
put broccoli in bowl,place the green broccoli into the blue bowl,search,,80,,search_boards
put broccoli in bowl,put green broccoli in blue bowl,search,,80,,search_boards
put broccoli in bowl,place the broccoli in the bowl,search,,80,,search_boards
put broccoli in bowl,pick up broccoli and put it in bowl,search,,80,,search_boards
put broccoli in pot,put broccoli in pot,original,,80,,search_boards
put broccoli in pot,drop the green broccoli into the metal pot,search,,80,,search_boards
put broccoli in pot,drop the green broccoli piece into the metal pot,search,,80,,search_boards
put broccoli in pot,put the green broccoli piece inside the metal pot,search,,80,,search_boards
put broccoli in pot,put the green broccoli piece inside the silver pot,search,,80,,search_boards
put broccoli in pot,put the green broccoli inside the silver pot,search,,80,,search_boards
put broccoli in pot,put the broccoli piece into the metal pot,search,,80,,search_boards
put broccoli in pot,put the green broccoli in the pot,search,,80,,search_boards
put broccoli in pot or pan,put the broccoli into the pot,search,,80,,search_boards
put broccoli in pot or pan,put broccoli in pot or pan,original,,80,,search_boards
put broccoli in pot or pan,put the broccoli in the pot,search,,80,,search_boards
put broccoli in pot or pan,put broccoli in the pot,search,,80,,search_boards
put broccoli in pot or pan,drop broccoli in pot,search,,80,,search_boards
put broccoli in pot or pan,put the broccoli inside the pot,search,,80,,search_boards
put broccoli in pot or pan,drop broccoli in the pot,search,,80,,search_boards
put broccoli in pot or pan,place broccoli in pot,search,,80,,search_boards
put broccoli in pot or pan,drop the broccoli inside the pot,search,,80,,search_boards
put brush into pot or pan,[dry-run:gemini] 05370e4e91fb,search,0.8755029153852805,80,,loop_gemini
put brush into pot or pan,[dry-run:gemini] effaf077e38b,search,0.9081939606115713,80,,loop_gemini
put brush into pot or pan,drop the brush inside the silver pot,search,,80,,search_boards
put brush into pot or pan,drop the brush in the pot,search,,80,,search_boards
put brush into pot or pan,drop the brush into the silver pot,search,,80,,search_boards
put brush into pot or pan,put the brush in the silver pot,search,,80,,search_boards
put brush into pot or pan,put brush into pot or pan,original,,80,,search_boards
put brush into pot or pan,put the scrub brush in the pot,search,,80,,search_boards
put brush into pot or pan,place the brush inside the pot,search,,80,,search_boards
put cap on container,put cap on container,original,,80,,search_boards
put cap on container,put the red lid on the jar,search,,80,,search_boards
put cap on container,put the red lid on the glass jar,search,,80,,search_boards
put cap on container,put the red lid on the glass container,search,,80,,search_boards
put cap on container,place the red lid on the glass container,search,,80,,search_boards
put cap on container,put red cap on the container in the sink,search,,80,,search_boards
put carrot in bowl,put carrot in bowl,original,,80,,search_boards
put carrot in bowl,move carrot to blue bowl,search,,80,,search_boards
put carrot in bowl,move carrot into blue bowl,search,,80,,search_boards
put carrot in bowl,move carrot into the blue bowl,search,,80,,search_boards
put carrot in bowl,put the orange carrot in the light blue bowl,search,,80,,search_boards
put carrot in bowl,move the orange carrot into the blue bowl,search,,80,,search_boards
put carrot in bowl,put orange carrot in blue bowl,search,,80,,search_boards
put carrot in pot or pan,[dry-run:gemini] 77218aa5b77e,search,0.1715882588862053,80,,loop_gemini
put carrot in pot or pan,[dry-run:gemini] 09694e0708cf,search,0.7212717333666832,80,,loop_gemini
put carrot in pot or pan,put carrot inside pot,search,,80,,search_boards
put carrot in pot or pan,put carrot in pot or pan,original,,80,,search_boards
put carrot in pot or pan,put carrot into pot,search,,80,,search_boards
put carrot in pot or pan,put carrot in pot,search,,80,,search_boards
put carrot in pot or pan,put the carrot in pot,search,,80,,search_boards
put carrot in pot or pan,place carrot in pot,search,,80,,search_boards
put carrot in pot or pan,put the carrot inside the pot,search,,80,,search_boards
put carrot in pot or pan,put the carrot in the pot,search,,80,,search_boards
put carrot on cutting board,grab the carrot and put it on the cutting board,search,,80,,search_boards
put carrot on cutting board,put carrot on cutting board,original,,80,,search_boards
put carrot on cutting board,pick up the orange carrot and put it on the cutting board,search,,80,,search_boards
put carrot on cutting board,pick up the orange carrot and set it on the cutting board,search,,80,,search_boards
put carrot on cutting board,grab the orange carrot and place it on the green cutting board,search,,80,,search_boards
put carrot on cutting board,grab the carrot and place it on the cutting board,search,,80,,search_boards
put carrot on cutting board,pick up the carrot and put it on the cutting board,search,,80,,search_boards
put carrot on cutting board,set the carrot on the cutting board,search,,80,,search_boards
put carrot on cutting board,place the carrot on the green cutting board,search,,80,,search_boards
put carrot on plate,[dry-run:gemini] e1de4728a972,search,0.17588258217503064,80,,loop_gemini
put carrot on plate,[dry-run:gemini] cd373a46eb5d,search,0.2446073174766361,80,,loop_gemini
put carrot on plate,move carrot onto the green plate,search,,80,,search_boards
put carrot on plate,move the carrot onto the green plate,search,,80,,search_boards
put carrot on plate,move carrot to green plate,search,,80,,search_boards
put carrot on plate,place carrot onto the green plate,search,,80,,search_boards
put carrot on plate,put carrot on plate,original,,80,,search_boards
put carrot on plate,move carrot onto green plate,search,,80,,search_boards
put clothes in laundry machine,[dry-run:gemini] 0bcab3976f3c,search,0.5885495665330834,80,,loop_gemini
put clothes in laundry machine,[dry-run:gemini] 209ae9dfcb3c,search,0.7405640878094117,80,,loop_gemini
put clothes in laundry machine,load the laundry machine with clothes,search,,80,,search_boards
put clothes in laundry machine,place clothes in laundry machine,search,,80,,search_boards
put clothes in laundry machine,put clothes in laundry machine,original,,80,,search_boards
put clothes in laundry machine,put clothes in the laundry machine,search,,80,,search_boards
put clothes in laundry machine,place the clothes into the open laundry machine,search,,80,,search_boards
put clothes in laundry machine,load the laundry basket items into the washing machine,search,,80,,search_boards
put clothes in laundry machine,load the clothes from the basket into the machine,search,,80,,search_boards
put corn in bowl sink,move the corn into the bowl,search,,80,,search_boards
put corn in bowl sink,put corn in bowl sink,original,,80,,search_boards
put corn in bowl sink,place the corn in the bowl in the sink,search,,80,,search_boards
put corn in bowl sink,move the corn into the blue bowl,search,,80,,search_boards
put corn in bowl sink,move the corn to the bowl,search,,80,,search_boards
put corn in bowl sink,transfer the corn to the blue bowl,search,,80,,search_boards
put corn in pan which is on stove,put corn in pan which is on stove,original,,80,,search_boards
put corn in pan which is on stove,put the orange carrot in the empty pot,search,,80,,search_boards
put corn in pan which is on stove,place the orange carrot inside the empty pot,search,,80,,search_boards
put corn in pan which is on stove,drop the orange carrot inside the empty silver pot,search,,80,,search_boards
put corn in pan which is on stove,place the orange carrot inside the empty silver pot,search,,80,,search_boards
put corn in pan which is on stove,put the orange carrot into the empty silver pot,search,,80,,search_boards
put corn in pan which is on stove,put the orange carrot toy inside the silver pot,search,,80,,search_boards
put corn in pan which is on stove,drop the orange carrot into the metal pot on the stove,search,,80,,search_boards
put corn in pan which is on stove,put the carrot in the empty pot on the stove,search,,80,,search_boards
put corn in pan which is on stove,drop the orange carrot into the empty silver pot,search,,80,,search_boards
put corn in pan which is on stove,put the orange carrot into the empty pot,search,,80,,search_boards
put corn in pot which is in sink,put corn in pot which is in sink,original,,80,,search_boards
put corn in pot which is in sink,put the corn inside the pot,search,,80,,search_boards
put corn in pot which is in sink,place the corn inside the silver pot,search,,80,,search_boards
put corn in pot which is in sink,put the corn inside of the pot,search,,80,,search_boards
put corn in pot which is in sink,put the yellow corn inside of the pot,search,,80,,search_boards
put corn in pot which is in sink,put corn in pot,search,,80,,search_boards
put corn in pot which is in sink,put corn in sink pot,search,,80,,search_boards
put corn in pot which is in sink,put corn in the pot in the sink,search,,80,,search_boards
put corn in pot which is in sink,put corn in pot in sink,search,,80,,search_boards
put corn in pot which is in sink,put the corn in the pot,search,,80,,search_boards
put corn in pot which is in sink,put corn in the pot,search,,80,,search_boards
put corn in pot which is in sink,place corn in sink pot,search,,80,,search_boards
put corn in pot which is in sink,put the corn into the pot,search,,80,,search_boards
put corn in pot which is in sink,put the yellow corn in the pot,search,,80,,search_boards
put corn into bowl,put corn into bowl,original,,80,,search_boards
put corn into bowl,put yellow corn into blue bowl,search,,80,,search_boards
put corn into bowl,place yellow corn in the blue bowl,search,,80,,search_boards
put corn into bowl,move the corn into blue bowl,search,,80,,search_boards
put corn into bowl,move the corn to the blue bowl,search,,80,,search_boards
put corn into bowl,put the corn in the bowl,search,,80,,search_boards
put corn into bowl,place the corn in the blue bowl,search,,80,,search_boards
put corn on plate,put corn on plate,original,,80,,search_boards
put corn on plate,place corn on red plate,search,,80,,search_boards
put corn on plate,place the corn on the red plate,search,,80,,search_boards
put corn on plate,put corn on the pink plate,search,,80,,search_boards
put corn on plate,put the corn on the pink plate,search,,80,,search_boards
put corn on plate,put corn on the pink dish,search,,80,,search_boards
put cucumber in cup,put cucumber in cup,original,,80,,search_boards
put cucumber in cup,move cucumber into orange cup,search,,80,,search_boards
put cucumber in cup,move the cucumber into the orange cup,search,,80,,search_boards
put cucumber in cup,move cucumber to the orange cup,search,,80,,search_boards
put cucumber in cup,move the cucumber to the orange cup,search,,80,,search_boards
put cucumber in cup,pick up cucumber and put in orange cup,search,,80,,search_boards
put cucumber in cup,place cucumber in the orange cup,search,,80,,search_boards
put cucumber in cup,put cucumber in orange cup,search,,80,,search_boards
put cup from anywhere into sink,[dry-run:gemini] bae27d9c6ce5,search,0.7899955876929565,80,,loop_gemini
put cup from anywhere into sink,[dry-run:gemini] 5db186b95539,search,0.9104282426877264,80,,loop_gemini
put cup from anywhere into sink,put cup from anywhere into sink,original,,80,,search_boards
put cup from anywhere into sink,place the blue plastic cup in the sink,search,,80,,search_boards
put cup from anywhere into sink,place the cup in the sink,search,,80,,search_boards
put cup from anywhere into sink,put the blue plastic cup in the sink,search,,80,,search_boards
put cup from anywhere into sink,move the blue plastic cup to the sink,search,,80,,search_boards
put cup from anywhere into sink,put blue cup in sink,search,,80,,search_boards
put cup from anywhere into sink,put blue cup inside the sink,search,,80,,search_boards
put cup from counter or drying rack into sink,put cup from counter or drying rack into sink,original,,80,,search_boards
put cup from counter or drying rack into sink,put the small yellow cup from the drying rack into the sink,search,,80,,search_boards
put cup from counter or drying rack into sink,place the small yellow cup from the drying rack into the sink,search,,80,,search_boards
put cup from counter or drying rack into sink,move the small yellow cup from the dish drying rack to the blue sink,search,,80,,search_boards
put cup from counter or drying rack into sink,move the yellow cup from the drying rack to the blue sink,search,,80,,search_boards
put cup from counter or drying rack into sink,put the yellow cup that is in the rack into the sink,search,,80,,search_boards
put cup from counter or drying rack into sink,place the yellow cup from the rack into the blue sink,search,,80,,search_boards
put cup from counter to sink,put cup from counter to sink,original,,80,,search_boards
put cup from counter to sink,move the light blue cup next to the vegetables in the sink,search,,80,,search_boards
put cup from counter to sink,move the blue cup next to the toy vegetables in the sink,search,,80,,search_boards
put cup from counter to sink,move the blue cup next to the vegetables in the sink,search,,80,,search_boards
put cup from counter to sink,move the light blue cup into the sink next to the vegetables,search,,80,,search_boards
put cup from counter to sink,put the blue cup next to the vegetables in the sink,search,,80,,search_boards
put cup from counter to sink,place the light blue cup into the sink,search,,80,,search_boards
put cup from counter to sink,move the blue cup into the sink basin,search,,80,,search_boards
put cup from counter to sink,drop the blue cup into the sink,search,,80,,search_boards
put cup from counter to sink,set the blue cup next to the vegetables in the sink,search,,80,,search_boards
put cup from counter to sink,place the light blue cup next to the toy vegetables in the sink,search,,80,,search_boards
put cup into pot or pan,put cup into pot or pan,original,,80,,search_boards
put cup into pot or pan,move the blue cup inside the steel pot,search,,80,,search_boards
put cup into pot or pan,place blue cup inside the metal pot,search,,80,,search_boards
put cup into pot or pan,place the blue cup inside the metal pot,search,,80,,search_boards
put cup into pot or pan,place the blue cup inside the steel pot,search,,80,,search_boards
put cup into pot or pan,put the blue cup into the silver pot,search,,80,,search_boards
put cup into pot or pan,place the blue cup in the silver pot,search,,80,,search_boards
put cup into pot or pan,move the blue cup into the silver pot,search,,80,,search_boards
put cup into pot or pan,put the blue cup inside the metal pot,search,,80,,search_boards
put cup into pot or pan,move the blue cup inside the silver pot,search,,80,,search_boards
put cup into pot or pan,put blue cup into silver pot,search,,80,,search_boards
put detergent from sink into drying rack,put detergent from sink into drying rack,original,,80,,search_boards
put detergent from sink into drying rack,put the white dish soap bottle in the yellow rack,search,,80,,search_boards
put detergent from sink into drying rack,move the white dish soap bottle from the basin to the yellow rack,search,,80,,search_boards
put detergent from sink into drying rack,put the white soap bottle in the yellow dish rack,search,,80,,search_boards
put detergent from sink into drying rack,put the white soap bottle in the yellow rack,search,,80,,search_boards
put detergent from sink into drying rack,move the white soap bottle from the basin to the rack,search,,80,,search_boards
put detergent from sink into drying rack,put the white soap bottle in the dish rack,search,,80,,search_boards
put detergent from sink into drying rack,place the white soap bottle in the yellow drying rack,search,,80,,search_boards
put detergent in sink,[dry-run:gemini] 3db6bdfb5dc6,search,0.7112215259220531,80,,loop_gemini
put detergent in sink,[dry-run:gemini] b6cc9e15bebb,search,0.7981373692998984,80,,loop_gemini
put detergent in sink,move the soap bottle into the sink,search,,80,,search_boards
put detergent in sink,put detergent in sink,original,,80,,search_boards
put detergent in sink,put the white bottle into the sink,search,,80,,search_boards
put detergent in sink,place the white bottle in the sink,search,,80,,search_boards
put detergent in sink,put the dish soap bottle into the sink,search,,80,,search_boards
put eggplant in pot or pan,put eggplant in pot or pan,original,,80,,search_boards
put eggplant in pot or pan,drop the eggplant into the metal pot,search,,80,,search_boards
put eggplant in pot or pan,put the eggplant in the cooking pot,search,,80,,search_boards
put eggplant in pot or pan,drop the purple eggplant into the metal pot,search,,80,,search_boards
put eggplant in pot or pan,place the purple eggplant into the pot,search,,80,,search_boards
put eggplant into pan,place eggplant in the metal pot,search,,80,,search_boards
put eggplant into pan,place the eggplant in the metal pot,search,,80,,search_boards
put eggplant into pan,move the eggplant into the silver pot,search,,80,,search_boards
put eggplant into pan,move the eggplant to the metal pot,search,,80,,search_boards
put eggplant into pan,put eggplant into pan,original,,80,,search_boards
put eggplant into pan,pick up the eggplant and put it in the metal pot,search,,80,,search_boards
put eggplant into pan,move the eggplant into the metal pot,search,,80,,search_boards
put eggplant into pan,place the eggplant inside the silver pot,search,,80,,search_boards
put eggplant into pot or pan,put eggplant into pot,search,,80,,search_boards
put eggplant into pot or pan,put eggplant into pot or pan,original,,80,,search_boards
put eggplant into pot or pan,move eggplant to pot,search,,80,,search_boards
put eggplant into pot or pan,drop eggplant into metal pot,search,,80,,search_boards
put eggplant into pot or pan,drop eggplant into pot,search,,80,,search_boards
put eggplant into pot or pan,place the eggplant into the pot,search,,80,,search_boards
put eggplant on plate,transfer the purple eggplant to the green plate,search,,80,,search_boards
put eggplant on plate,place eggplant on the green plate,search,,80,,search_boards
put eggplant on plate,put the eggplant on the green plate,search,,80,,search_boards
put eggplant on plate,put eggplant on plate,original,,80,,search_boards
put eggplant on plate,transfer the eggplant to the green plate,search,,80,,search_boards
put eggplant on plate,place the eggplant onto the green plate,search,,80,,search_boards
put fork from basket to tray,move the fork from the basket to the tray,search,,80,,search_boards
put fork from basket to tray,put fork from the basket to the tray,search,,80,,search_boards
put fork from basket to tray,put fork from basket to tray,original,,80,,search_boards
put fork from basket to tray,put fork from basket into tray,search,,80,,search_boards
put fork from basket to tray,move the silver fork out of the basket and into the tray,search,,80,,search_boards
