task,phrase,kind,base_kind,score,logit,z,grip,proxy_imputed,n_ctx,source
fold the cloth from bottom left to top right,"If it is not too much trouble, grasp the corner of the woven textile situated in the lower left quadrant and convey it in a folding maneuver until it rests flush upon the upper rightmost extremity.",adversarial,,0.3566913317691279,3.7458,-4.9828,0.191,False,64,generated_adversarial
fold the cloth from bottom left to top right,Bring the bottom left of the fabric up to the top right corner.,natural,,0.5561688025118035,5.0278,-3.2212,0.147,False,64,generated_natural
fold the cloth from bottom left to top right,Match the lower left corner of the piece of fabric to the upper right one to fold it.,natural,,0.5988702349974356,5.3022,-4.0257,0.0911,False,64,generated_natural
fold the cloth from bottom left to top right,pull the bottom left corner of the orange cloth to the top right corner,search,,0.6233776951763393,5.4597,-2.8704,0.1226,False,64,search_boards
fold the cloth from bottom left to top right,Take the lower left corner of the cloth and fold it over to the upper right.,natural,,0.7077956329889087,6.0022,-2.4791,0.09,False,64,generated_natural
fold the cloth from bottom left to top right,Grab the bottom left of the rag and fold it across to the top right.,natural,,0.7251534154071302,6.1137,-2.3193,0.0864,False,64,generated_natural
fold the cloth from bottom left to top right,take the bottom left of the orange towel and fold it to the top right,search,,0.7621654027370545,6.3516,-1.8347,0.0844,False,64,search_boards
fold the cloth from bottom left to top right,Pinch the bottom left corner of the cloth and fold it directly to the top right side.,natural,,0.7633857388413924,6.3594,-1.8527,0.083,False,64,generated_natural
fold the cloth from bottom left to top right,grab the bottom left corner of the orange towel and fold it top right,search,,0.8107002802868989,6.6635,-1.2697,0.0791,False,64,search_boards
fold the cloth from bottom left to top right,Fold the towel diagonally by moving the bottom left edge to the top right.,natural,,0.8183349780770361,6.7125,-1.1791,0.0783,False,64,generated_natural
fold the cloth from bottom left to top right,Just fold the cloth by dragging the bottom left corner all the way across to the top right.,natural,,0.8234554098827402,6.7454,-0.896,0.0865,False,64,generated_natural
fold the cloth from bottom left to top right,fold the bottom left of the orange towel over to the top right,search,,0.8519487846673309,6.9285,-0.8626,0.0717,False,64,search_boards
fold the cloth from bottom left to top right,Could you fold the material from the lower left to the upper right?,natural,,0.8719367558671417,7.057,-0.6185,0.0699,False,64,generated_natural
fold the cloth from bottom left to top right,fold the orange cloth from the bottom left corner to the top right,search,,0.8814380424543602,7.1181,-0.629,0.0641,False,64,search_boards
fold the cloth from bottom left to top right,fold the orange towel from bottom left to top right,search,,0.9367881490533572,7.4738,0.0855,0.0607,False,64,search_boards
fold the cloth from bottom left to top right,fold the cloth from bottom left to top right,original,,1.0,7.88,0.8948,0.0566,False,64,search_boards
fold the cloth from bottom right to top left,I would be most grateful if you could halve the exposed surface area of the cleaning material by conveying its bottom-rightmost tip across the diagonal in a fold until it rests precisely flush with the top-leftmost point.,adversarial,,0.0,4.3652,-4.5269,0.1542,False,64,generated_adversarial
fold the cloth from bottom right to top left,"Should it not impede your primary directives, perform a geometric reconfiguration of the textile by lifting the quadrant located at the furthest bottom-right position and securing it via a crease directly onto the diametrically opposed upper-left sector.",adversarial,,0.0237901410600602,4.4559,-4.6223,0.1425,False,64,generated_adversarial
fold the cloth from bottom right to top left,"Initiating your maneuver at the absolute bottom right of the woven matter, execute a crease by displacing that extremity until it comes to rest exactly upon the top left region.",adversarial,,0.0707713202777553,4.635,-4.2448,0.1415,False,64,generated_adversarial
fold the cloth from bottom right to top left,"Provided the workspace is clear, grasp the extremity of the woven textile situated at the lower right and, by means of a folding maneuver, transpose it directly atop the diametrically opposed upper left corner.",adversarial,,0.1469841795221403,4.9255,-3.9197,0.1286,False,64,generated_adversarial
fold the cloth from bottom right to top left,Take the bottom right corner of the cloth and fold it over to the top left.,natural,,0.3834860260768408,5.8271,-2.5802,0.1015,False,64,generated_natural
fold the cloth from bottom right to top left,Bring the bottom right corner of the cloth over to the top left so it's folded in half.,natural,,0.4244704051576973,5.9833,-2.3545,0.0966,False,64,generated_natural
fold the cloth from bottom right to top left,fold the bottom right tape of the green cloth to the top left tape,search,,0.4302676309830902,6.0054,-2.8142,0.0766,False,64,search_boards
fold the cloth from bottom right to top left,Grab the lower right of the material and fold it up to the top left corner.,natural,,0.4683101290842718,6.1504,-2.2098,0.0875,False,64,generated_natural
fold the cloth from bottom right to top left,fold the green cloth by moving the bottom right corner to the top left,search,,0.6161510750445658,6.714,-1.0493,0.0833,False,64,search_boards
fold the cloth from bottom right to top left,fold the green cloth from the bottom right edge to the top left edge,search,,0.6439287629510189,6.8199,-1.1671,0.0693,False,64,search_boards
fold the cloth from bottom right to top left,Fold this rag from the bottom right-hand side up to the top left.,natural,,0.6660745276766711,6.9043,-0.7413,0.0786,False,64,generated_natural
fold the cloth from bottom right to top left,"Please make a diagonal fold in the towel, moving the bottom right up to the upper left.",natural,,0.6698091476599407,6.9186,-0.8523,0.0729,False,64,generated_natural
fold the cloth from bottom right to top left,Fold the cloth by bringing its bottom right corner across to its top left corner.,natural,,0.6699013445012083,6.9189,-0.8392,0.0734,False,64,generated_natural
fold the cloth from bottom right to top left,Fold the piece of cloth in half by moving the bottom right edge to the top left.,natural,,0.674040544994347,6.9347,-0.9238,0.0687,False,64,generated_natural
fold the cloth from bottom right to top left,Can you fold the fabric diagonally from the lower right to the upper left?,natural,,0.6861156613321685,6.9807,-0.8502,0.0675,False,64,generated_natural
fold the cloth from bottom right to top left,diagonally fold the green cloth from bottom right to top left corner,search,,0.686199432676091,6.9811,-0.7444,0.0717,False,64,search_boards
fold the cloth from bottom right to top left,diagonally fold the green cloth from bottom right to top left,search,,0.7255781551980917,7.1312,-0.4896,0.0684,False,64,search_boards
fold the cloth from bottom right to top left,diagonally fold the green towel from bottom right to top left,search,,0.7549097154447995,7.243,-0.3456,0.0642,False,64,search_boards
fold the cloth from bottom right to top left,fold the green towel from bottom right to top left,search,,0.847348589682885,7.5954,0.176,0.0535,False,64,search_boards
fold the cloth from bottom right to top left,fold the cloth from bottom right to top left,original,,1.0,8.1773,1.2935,0.046,False,64,search_boards
fold the cloth from bottom to top,"Assuming the limp fabric is prepared for manipulation, initiate a precise halving operation by elevating its nadir boundary across its face until it rests identically upon the zenith margin.",adversarial,,0.0,0.1064,-7.7296,0.4047,False,64,generated_adversarial
fold the cloth from bottom to top,"I would greatly appreciate it if, without disturbing the surrounding workspace, you could bring the inferior hem of the textile up to meet the superior edge in a single fold.",adversarial,,0.1853264329293115,1.572,-6.3215,0.3305,False,64,generated_adversarial
fold the cloth from bottom to top,"Provided you can grasp the woven fabric generally used for wiping, execute a crease by relocating its lowest extremity all the way to its uppermost boundary.",adversarial,,0.1892030949406213,1.6027,-6.5434,0.3191,False,64,generated_adversarial
fold the cloth from bottom to top,Grab the lowest part of the rag and flip it over to the top edge.,natural,,0.4294734906127779,3.5028,-4.4853,0.232,False,64,generated_natural
fold the cloth from bottom to top,fold the white cloth in half up,search,,0.6227406762624063,5.0312,-3.2843,0.1442,False,64,search_boards
fold the cloth from bottom to top,"If it wouldn't be too much of a bother, kindly take the edge of the woven material closest to you and double it over until it rests flush against the furthest upper margin.",adversarial,,0.6503076940703821,5.2492,-3.9886,0.0973,False,64,generated_adversarial
fold the cloth from bottom to top,fold the white cloth in half upwards,search,,0.6509849672806254,5.2546,-3.3285,0.1227,False,64,search_boards
fold the cloth from bottom to top,"Just fold the cloth upwards, matching the bottom corners to the top ones.",natural,,0.752686602089312,6.0589,-2.2347,0.0946,False,64,generated_natural
fold the cloth from bottom to top,fold the bottom of the towel to the top,search,,0.7650857089983935,6.1569,-1.9399,0.0975,False,64,search_boards
fold the cloth from bottom to top,Bring the bottom edge of the cloth up to the top.,natural,,0.7656593064081539,6.1615,-2.5208,0.0743,False,64,generated_natural
fold the cloth from bottom to top,Please fold this piece of fabric from the lower side to the upper side.,natural,,0.8064625719689357,6.4842,-2.0564,0.064,False,64,generated_natural
fold the cloth from bottom to top,Fold that towel straight up from the bottom to the top.,natural,,0.8237072199626093,6.6205,-1.6272,0.0688,False,64,generated_natural
fold the cloth from bottom to top,Fold the material in half by bringing the bottom up to the top.,natural,,0.8339610770807367,6.7016,-1.7532,0.0567,False,64,generated_natural
fold the cloth from bottom to top,Take the bottom of the cloth and fold it upwards to meet the top.,natural,,0.8497909051782673,6.8268,-1.3922,0.0598,False,64,generated_natural
fold the cloth from bottom to top,"Starting at the bottom, fold the cloth up to the top edge.",natural,,0.8734599750313746,7.014,-0.8001,0.0666,False,64,generated_natural
fold the cloth from bottom to top,fold the white towel from bottom to top,search,,0.9615815262529268,7.7109,0.3458,0.05,False,64,search_boards
fold the cloth from bottom to top,fold the cloth from bottom to top,original,,1.0,8.0147,1.0077,0.0491,False,64,search_boards
fold the cloth from left to right,"If it is not too much trouble, kindly take the leftmost portion of the woven textile positioned in front of you and lay it directly atop the rightmost portion so as to double it over.",adversarial,,0.0,1.3557,-7.4195,0.3065,False,64,generated_adversarial
fold the cloth from left to right,Proceed to bifurcate the exposed surface area of the pliant material by grasping its sinistral margin and depositing it securely upon its dextral counterpart.,adversarial,,0.1479254030650631,2.3746,-5.7172,0.2833,False,64,generated_adversarial
fold the cloth from left to right,"Assuming you have identified the flexible material in your workspace, your objective is to effect a fold by transporting its westernmost border entirely across to the corresponding eastern edge.",adversarial,,0.2517803112232861,3.09,-5.6184,0.224,False,64,generated_adversarial
fold the cloth from left to right,move the left side of the orange cloth to the right,search,,0.3375334848016922,3.6806,-4.5444,0.214,False,64,search_boards
fold the cloth from left to right,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",adversarial,,0.3434347396906168,3.7213,-4.8421,0.1987,False,64,generated_adversarial
fold the cloth from left to right,Take the left side of the towel and flip it onto the right side.,natural,,0.3741511689468246,3.9328,-4.5458,0.1917,False,64,generated_natural
fold the cloth from left to right,move the left corner of the orange cloth to the right,search,,0.4083749670878588,4.1685,-4.3649,0.178,False,64,search_boards
fold the cloth from left to right,Double over the fabric by moving the left half to the right.,natural,,0.4397495061256737,4.3847,-3.9402,0.1755,False,64,generated_natural
fold the cloth from left to right,Pinch the left side of the cloth and pull it all the way over to the right to fold it.,natural,,0.4609324653688688,4.5306,-4.3249,0.1475,False,64,generated_natural
fold the cloth from left to right,Bring the left edge of the fabric over to the right side to fold it.,natural,,0.6471937388427873,5.8135,-3.3942,0.0707,False,64,generated_natural
fold the cloth from left to right,fold the left tape of the orange cloth to the right,search,,0.7084955830039209,6.2357,-1.5183,0.1071,False,64,search_boards
fold the cloth from left to right,fold the orange rag from left to right,search,,0.7707642158385997,6.6646,-0.7945,0.0976,False,64,search_boards
fold the cloth from left to right,Grab the cloth on the left and fold it across to the right.,natural,,0.8649819885735655,7.3136,-0.3154,0.0591,False,64,generated_natural
fold the cloth from left to right,"Fold the material in half, going from left to right.",natural,,0.8651385974986955,7.3147,-0.7972,0.0401,False,64,generated_natural
fold the cloth from left to right,Please fold this piece of cloth to the right.,natural,,0.8877897451344408,7.4707,-0.2216,0.0489,False,64,generated_natural
fold the cloth from left to right,Fold the rag from the left over to the right.,natural,,0.908445743643011,7.613,-0.16,0.0388,False,64,generated_natural
fold the cloth from left to right,fold the orange cloth in half from left to right,search,,0.9179233762496376,7.6782,0.2178,0.0478,False,64,search_boards
fold the cloth from left to right,fold the cloth from left to right,original,,1.0,8.2436,1.4353,0.0457,False,64,search_boards
fold the cloth from right to left,Commence a creasing procedure on the woven object placed before you by grasping its easternmost boundary and translating it across the median until it rests upon the western edge.,adversarial,,0.0,0.1397,-7.7351,0.4015,False,64,generated_adversarial
fold the cloth from right to left,"If you would be so kind as to assist me, take the flexible woven material resting before you and, initiating the manipulation on its rightward flank, bring it over to rest squarely upon the left.",adversarial,,0.523896641535134,4.3265,-4.0945,0.1746,False,64,generated_adversarial
fold the cloth from right to left,"Direct your manipulators to the starboard boundary of the planar textile and, ensuring the opposite half remains undisturbed, fold that grasped section laterally across the midline until it is superimposed perfectly upon the port margin.",adversarial,,0.5826724120292212,4.7963,-3.5327,0.1552,False,64,generated_adversarial
fold the cloth from right to left,Flip the right side of the rag over to the left side.,natural,,0.6770957364052801,5.5509,-2.4801,0.1298,False,64,generated_natural
fold the cloth from right to left,Bring the right side of the cloth over to the left.,natural,,0.7232650831945624,5.9198,-2.1454,0.1104,False,64,generated_natural
fold the cloth from right to left,Double over the cloth by pulling the right side to the left.,natural,,0.7384376202492295,6.0411,-1.8063,0.113,False,64,generated_natural
fold the cloth from right to left,Grab the right edge of that piece of cloth and fold it leftward.,natural,,0.7535042489248545,6.1615,-1.544,0.1127,False,64,generated_natural
fold the cloth from right to left,Please crease the fabric by moving the right edge over to the left.,natural,,0.7640805552440321,6.246,-1.4212,0.11,False,64,generated_natural
fold the cloth from right to left,"Assuming you have adequately identified the textile in your workspace, execute a folding maneuver such that the right extremity is ultimately deposited onto the left boundary.",adversarial,,0.7893679760208049,6.4481,-1.246,0.099,False,64,generated_adversarial
fold the cloth from right to left,Pinch the right side of the cloth and fold it all the way to the left.,natural,,0.8148825776056764,6.652,-0.926,0.0936,False,64,generated_natural
fold the cloth from right to left,"Taking the right half of the material, fold it towards the left.",natural,,0.833068659582306,6.7973,-0.6144,0.093,False,64,generated_natural
fold the cloth from right to left,fold the green dish cloth on the counter over to the left,search,,0.8403383173509129,6.8554,-0.5536,0.0902,False,64,search_boards
fold the cloth from right to left,fold the right half of the green cloth over to the left,search,,0.843943244258209,6.8842,-0.5238,0.0889,False,64,search_boards
fold the cloth from right to left,fold the green cleaning cloth on the counter from right to left,search,,0.8443406370816356,6.8874,-0.663,0.0831,False,64,search_boards
fold the cloth from right to left,fold the light green cleaning cloth on the counter from right to left,search,,0.8702739657544241,7.0947,-0.4762,0.0721,False,64,search_boards
fold the cloth from right to left,"Fold the textile over, starting from the right and ending on the left.",natural,,0.8719048835865143,7.1077,-0.2158,0.0812,False,64,generated_natural
fold the cloth from right to left,grasp the right side of the green cloth and fold it left,search,,0.8765578962746305,7.1449,-0.4512,0.0687,False,64,search_boards
fold the cloth from right to left,fold the green dish cloth on the counter from right to left,search,,0.881128473109376,7.1814,-0.0835,0.0799,False,64,search_boards
fold the cloth from right to left,fold the light green dish cloth on the counter from right to left,search,,0.8850506227217285,7.2128,-0.2175,0.0719,False,64,search_boards
fold the cloth from right to left,fold the green cloth in half starting from the right,search,,0.8889856215963747,7.2442,-0.2278,0.0687,False,64,search_boards
fold the cloth from right to left,gently fold the green dish cloth on the counter from right to left,search,,0.9035529045578456,7.3606,0.054,0.0695,False,64,search_boards
fold the cloth from right to left,gently fold the light green dish cloth on the counter from right to left,search,,0.9111720892534864,7.4215,0.1724,0.0687,False,64,search_boards
fold the cloth from right to left,gently fold the green cloth on the counter from right to left,search,,0.9151584369807566,7.4534,0.2805,0.0702,False,64,search_boards
fold the cloth from right to left,carefully fold the green dish cloth on the counter from right to left,search,,0.921201249207049,7.5017,0.3059,0.0669,False,64,search_boards
fold the cloth from right to left,carefully fold the light green dish cloth on the counter from right to left,search,,0.9256863001851172,7.5375,0.3163,0.0641,False,64,search_boards
fold the cloth from right to left,fold the cloth on the counter from right to left,search,,0.9487826976762992,7.7221,0.6763,0.062,False,64,search_boards
fold the cloth from right to left,fold the cloth from right to left,original,,1.0,8.1314,1.4763,0.0572,False,64,search_boards
fold the cloth from the bottom to the top,grab the bottom edge of the blue cloth and fold it up,search,,0.0,0.665,-7.4858,0.3649,False,64,search_boards
fold the cloth from the bottom to the top,"With your manipulators, apprehend the most inferior margin of the woven textile and execute a transverse fold by transporting this lower boundary vertically, terminating the motion only when it rests perfectly flush against the superior edge.",adversarial,,0.1048752362967663,1.4103,-6.4746,0.3388,False,64,generated_adversarial
fold the cloth from the bottom to the top,"Taking care to maintain an even crease, elevate the bottommost border of the material and carry it over its own surface until it comes into contact with the highest edge.",adversarial,,0.3307181031295322,3.0151,-5.5274,0.2342,False,64,generated_adversarial
fold the cloth from the bottom to the top,"Proceed to fold the pliable textile such that its inferior margin is transported to achieve spatial coincidence with its superior margin, establishing a transverse crease.",adversarial,,0.3524896612098495,3.1698,-5.531,0.2204,False,64,generated_adversarial
fold the cloth from the bottom to the top,Take the lower hem of the textile and fold it over to align with the top hem.,natural,,0.3642236905836587,3.2532,-5.5239,0.2133,False,64,generated_natural
fold the cloth from the bottom to the top,Bring the bottom edge of the cloth up to the top so it folds in half.,natural,,0.3988558909466582,3.4993,-5.522,0.1916,False,64,generated_natural
fold the cloth from the bottom to the top,fold the bottom half of the blue cloth upward,search,,0.4984395770822724,4.2069,-4.03,0.1877,False,64,search_boards
fold the cloth from the bottom to the top,Crease the cloth by bringing its bottom side all the way to the top.,natural,,0.5114666149297972,4.2995,-3.8579,0.1863,False,64,generated_natural
fold the cloth from the bottom to the top,"If you would be so kind, please grasp the lowest extremity of the woven material and fold it over by carrying that edge upward to achieve perfect alignment with the uppermost boundary.",adversarial,,0.5561132848563174,4.6168,-3.9364,0.1552,False,64,generated_adversarial
fold the cloth from the bottom to the top,Can you fold that piece of fabric up from the bottom?,natural,,0.6458327018647612,5.2543,-2.5657,0.1527,False,64,generated_natural
fold the cloth from the bottom to the top,Fold the fabric by moving the lower part up to the top edge.,natural,,0.6461418374601282,5.2565,-2.5528,0.153,False,64,generated_natural
fold the cloth from the bottom to the top,fold the light blue rag from bottom to top,search,,0.6478995962327601,5.269,-1.9655,0.175,False,64,search_boards
fold the cloth from the bottom to the top,fold the light blue towel from bottom to top,search,,0.6865585539046177,5.5437,-1.4631,0.1704,False,64,search_boards
fold the cloth from the bottom to the top,fold the light blue towel in half from bottom to top,search,,0.6889322407185596,5.5606,-1.3091,0.175,False,64,search_boards
fold the cloth from the bottom to the top,Grab the bottom of the material and fold it upwards to the top.,natural,,0.6901005449875988,5.5689,-2.026,0.1461,False,64,generated_natural
fold the cloth from the bottom to the top,fold the light blue cloth from bottom to top,search,,0.7059227285372033,5.6813,-1.2748,0.1657,False,64,search_boards
fold the cloth from the bottom to the top,Lift the bottom of the cloth and fold it over to meet the top.,natural,,0.7106057109486559,5.7146,-1.9124,0.1377,False,64,generated_natural
fold the cloth from the bottom to the top,Please fold the cloth upwards from the bottom.,natural,,0.7511769071631766,6.0029,-1.1874,0.1407,False,64,generated_natural
fold the cloth from the bottom to the top,fold the cloth from the bottom to the top,original,,1.0,7.771,1.404,0.0862,False,64,search_boards
fold the cloth from the left to the right,"Commencing strictly at the leftmost extremity of the pliable material, manipulate the aforementioned item such that it is brought completely across to rest upon its own rightward boundary.",adversarial,,0.0,0.9069,-7.1703,0.3559,False,64,generated_adversarial
fold the cloth from the left to the right,"To achieve the desired spatial configuration of the flat woven sheet situated before you, please crease it by migrating the entirety of its sinistral boundary across the geometric median until it superimposes upon the dextral margin.",adversarial,,0.3229025202067866,3.1963,-5.5286,0.2181,False,64,generated_adversarial
fold the cloth from the left to the right,"Directing your attention to the flexible woven sheet situated before you, kindly acquire its port-facing boundary and transpose it laterally, draping it over itself until it aligns perfectly with the starboard edge.",adversarial,,0.3961685384940975,3.7158,-5.3238,0.1803,False,64,generated_adversarial
fold the cloth from the left to the right,Bring the cloth's left edge across to meet the right edge.,natural,,0.4510422800015582,4.1048,-4.1469,0.1921,False,64,generated_natural
fold the cloth from the left to the right,"Assuming all operational conditions are currently satisfied, I would be most grateful if you could grasp the woven textile typically used for wiping and double it over upon itself from the left to the right.",adversarial,,0.4650050033687025,4.2038,-4.7161,0.161,False,64,generated_adversarial
fold the cloth from the left to the right,bring the left edge of the light blue towel over to the right,search,,0.5577659205659402,4.8615,-3.695,0.143,False,64,search_boards
fold the cloth from the left to the right,Please double the textile over by bringing the left half to the right.,natural,,0.612882383338962,5.2523,-3.341,0.1224,False,64,generated_natural
fold the cloth from the left to the right,Take the left edge of the fabric and bring it over to the right side.,natural,,0.626911508515469,5.3517,-2.7852,0.1355,False,64,generated_natural
fold the cloth from the left to the right,"Moving from left to right, fold the fabric in half.",natural,,0.64115768781557,5.4527,-3.0665,0.1155,False,64,generated_natural
fold the cloth from the left to the right,Fold that cloth left to right for me.,natural,,0.6969832253447105,5.8485,-2.4441,0.105,False,64,generated_natural
fold the cloth from the left to the right,grab the left corner of the light blue towel and fold it to the right,search,,0.7237571796360935,6.0384,-2.4359,0.0885,False,64,search_boards
fold the cloth from the left to the right,Grab the left side of the cloth and fold it towards the right.,natural,,0.7519380436978212,6.2382,-1.6823,0.1005,False,64,generated_natural
fold the cloth from the left to the right,fold the left side of the light blue towel to the right,search,,0.7826354727239601,6.4558,-1.623,0.0836,False,64,search_boards
fold the cloth from the left to the right,fold the blue cloth horizontally from left to right,search,,0.7943731459821217,6.539,-1.6338,0.0758,False,64,search_boards
fold the cloth from the left to the right,fold the left part of the light blue towel over to the right,search,,0.8013318432757436,6.5884,-1.6058,0.0725,False,64,search_boards
fold the cloth from the left to the right,grab the left side of the blue cloth and fold it right,search,,0.8066631760897657,6.6262,-1.1814,0.0858,False,64,search_boards
fold the cloth from the left to the right,Fold the cloth over from left to right.,natural,,0.8151536700351779,6.6864,-1.0565,0.0854,False,64,generated_natural
fold the cloth from the left to the right,fold the light blue towel in half from left to right,search,,0.8245257712176689,6.7528,-1.2354,0.0725,False,64,search_boards
fold the cloth from the left to the right,Can you fold that piece of material from the left over to the right?,natural,,0.8447088892120989,6.8959,-1.0031,0.069,False,64,generated_natural
fold the cloth from the left to the right,fold the left corner of the blue cloth to the right,search,,0.8749663679508384,7.1104,-0.8013,0.058,False,64,search_boards
fold the cloth from the left to the right,fold the cloth from the left to the right,original,,1.0,7.9969,1.0498,0.0524,False,64,search_boards
fold the cloth from the top left to the bottom right,"Without disturbing the underlying surface, pinch the superior left boundary of the fabric and double it over diagonally, concluding the manipulation only when that gripped section coincides with the inferior right corner.",adversarial,,0.0,3.049,-6.4145,0.1964,False,64,generated_adversarial
fold the cloth from the top left to the bottom right,fold the blue cloth diagonally from top left to bottom right,search,,0.3080544958108404,4.6253,-3.7851,0.1604,False,64,search_boards
fold the cloth from the top left to the bottom right,"Should it be within your operational capacity to deform the planar textile, kindly isolate its uppermost leftward extremity and transpose it diagonally until it is perfectly superimposed over the lowermost rightward boundary.",adversarial,,0.3631993279633138,4.9075,-4.3011,0.1152,False,64,generated_adversarial
fold the cloth from the top left to the bottom right,"Assuming you are prepared to manipulate the flexible material situated before you, kindly ensure that the region occupying the top left is folded entirely across until it rests flush against the bottom right.",adversarial,,0.4206696756547154,5.2016,-3.471,0.1218,False,64,generated_adversarial
fold the cloth from the top left to the bottom right,"Commencing with the uppermost left-hand section of the woven textile, execute a diagonal crease by folding that specific portion over to the diametrically opposed bottom right corner.",adversarial,,0.491264481379267,5.5628,-3.1938,0.1008,False,64,generated_adversarial
fold the cloth from the top left to the bottom right,fold the blue cloth from top left to bottom right,search,,0.5073904716983968,5.6453,-1.858,0.1459,False,64,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth starting from top left to bottom right,search,,0.5693848259372387,5.9625,-1.6762,0.125,False,64,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth from top left to bottom right corner,search,,0.6076630649732799,6.1584,-1.3683,0.1198,False,64,search_boards
fold the cloth from the top left to the bottom right,grab the top left corner of the blue towel and fold it to the bottom right,search,,0.6425693804837835,6.337,-1.6483,0.0931,False,64,search_boards
fold the cloth from the top left to the bottom right,"Pull the top left of the cloth down to meet the bottom right, creating a diagonal fold.",natural,,0.6479266662002999,6.3644,-1.5121,0.096,False,64,generated_natural
fold the cloth from the top left to the bottom right,Bring the top left of the rag down to the bottom right to fold it.,natural,,0.6681536303357992,6.4679,-1.4693,0.0885,False,64,generated_natural
fold the cloth from the top left to the bottom right,fold the towel from top left to bottom right,search,,0.7042501587607826,6.6526,-1.1317,0.0855,False,64,search_boards
fold the cloth from the top left to the bottom right,Take the fabric's upper left corner and fold it over to the lower right.,natural,,0.7045669404046332,6.6542,-1.1382,0.0851,False,64,generated_natural
fold the cloth from the top left to the bottom right,Grab the top left of the material and make a fold across to the bottom right.,natural,,0.7234428187394467,6.7508,-0.9798,0.0827,False,64,generated_natural
fold the cloth from the top left to the bottom right,Fold the upper left part of the textile down to the lower right.,natural,,0.7295633447991714,6.7821,-0.623,0.094,False,64,generated_natural
fold the cloth from the top left to the bottom right,Can you fold the cloth by bringing the top left over to the bottom right?,natural,,0.7404548267368898,6.8379,-0.7749,0.0831,False,64,generated_natural
fold the cloth from the top left to the bottom right,Fold the top left corner of the cloth down to the bottom right.,natural,,0.7559142236135671,6.917,-0.5088,0.0866,False,64,generated_natural
fold the cloth from the top left to the bottom right,"Please fold this piece of cloth, moving the top left side to the bottom right.",natural,,0.782631239939895,7.0537,-0.4014,0.0787,False,64,generated_natural
fold the cloth from the top left to the bottom right,fold the cloth from top left to bottom right,search,,0.7997302569090712,7.1412,-0.494,0.0673,False,64,search_boards
fold the cloth from the top left to the bottom right,fold the cloth from the top left to the bottom right,original,,1.0,8.1659,1.4622,0.0536,False,64,search_boards
fold the cloth from top left to bottom right,"Without disturbing the rest of the workspace, grasp the woven object by its uppermost left extremity and traverse it diagonally until it aligns with the absolute bottom right extremity to achieve a bisecting fold.",adversarial,,0.0,3.904,-5.2852,0.1652,False,64,generated_adversarial
fold the cloth from top left to bottom right,fold the blue cloth diagonally from top left to bottom right,search,,0.1347852484165884,4.4936,-4.1018,0.1596,False,64,search_boards
fold the cloth from top left to bottom right,"Should you possess the required articulation, kindly effectuate a diagonal fold upon the woven fabric by apprehending the vertex in the supreme left quadrant and translating it until it is superimposed directly upon the lowermost right-hand terminus.",adversarial,,0.1977673720071573,4.7691,-4.6362,0.1142,False,64,generated_adversarial
fold the cloth from top left to bottom right,"Regarding the flexible item commonly used for wiping or covering, execute a diagonal crease by translating the corner currently occupying the top left spatial coordinate directly over to the bottom right position.",adversarial,,0.2088404296471706,4.8175,-4.1759,0.128,False,64,generated_adversarial
fold the cloth from top left to bottom right,Pinch the top left corner of the cloth and pull it diagonally to meet the bottom right corner.,natural,,0.2286250258601854,4.9041,-4.1309,0.1222,False,64,generated_natural
fold the cloth from top left to bottom right,Grab the top left of the fabric and bring it over to the bottom right corner.,natural,,0.2737478401559146,5.1014,-3.3988,0.1335,False,64,generated_natural
fold the cloth from top left to bottom right,"The cloth needs to be folded, so pull the top left part across to the bottom right.",natural,,0.362452744543784,5.4894,-3.4187,0.0984,False,64,generated_natural
fold the cloth from top left to bottom right,"Provided all systems are operational, I would be most grateful if you could see to folding the textile by acquiring its uppermost left-hand extremity and relocating it until it comes to rest upon the lower rightmost boundary.",adversarial,,0.3770945916055878,5.5535,-2.7307,0.1198,False,64,generated_adversarial
fold the cloth from top left to bottom right,Fold this piece of cloth by moving the top left corner down to the bottom right one.,natural,,0.4044137342099592,5.673,-2.4633,0.1197,False,64,generated_natural
fold the cloth from top left to bottom right,fold the blue towel diagonally from top left to bottom right,search,,0.4146509668788711,5.7178,-2.5011,0.1143,False,64,search_boards
fold the cloth from top left to bottom right,fold the blue cloth from the top corner to the bottom right,search,,0.4218722551315907,5.7494,-2.24,0.1217,False,64,search_boards
fold the cloth from top left to bottom right,fold the blue towel diagonally towards the bottom right,search,,0.4494262602516324,5.8699,-2.2257,0.1116,False,64,search_boards
fold the cloth from top left to bottom right,fold the blue cloth down diagonally to the bottom right,search,,0.4542193386186863,5.8908,-1.8722,0.1237,False,64,search_boards
fold the cloth from top left to bottom right,fold the blue cloth down diagonally towards the bottom right corner,search,,0.461003020407247,5.9205,-1.8078,0.1236,False,64,search_boards
fold the cloth from top left to bottom right,Please take the upper left edge of the material and fold it down to the bottom right.,natural,,0.4745520120600027,5.9798,-1.9706,0.112,False,64,generated_natural
fold the cloth from top left to bottom right,fold the blue rag diagonally from top left to bottom right,search,,0.5054349392726614,6.1149,-2.2435,0.0893,False,64,search_boards
