task,suite,task_id,canonical,split_20260901,eval_set_20260904,phrase_a,phrase_b,a_is_canonical,edit_type,span_a,span_b,span_pos,edit_class,succ_a,succ_b,delta,p_z,p_fisher,both,a_only,b_only,neither,p_mcnemar,designed,design_note,source_a,source_b,significant_18pp
libero_90/38,libero_90,38,put the right moka pot on the stove,train,,put the right moka pot on the stove,put the right moka pot on the hot plate,True,replace,stove,hot plate,7,noun/other,36,40,4,0.6803080368774632,0.8369464893157669,8,10,12,20,0.8318119049072266,True,round2: A_transfer; stove -> hot plate; r2,round2,round2,False
libero_90/38,libero_90,38,put the right moka pot on the stove,train,,lift the right moka pot and place it on the stove,pick up the right moka pot and place it on the stove,False,replace,lift,pick up,0,verb/frame,34,54,20,0.04395104379938907,0.06926404391768659,13,4,14,19,0.0308837890625,False,,roll50,roll50,True
libero_90/39,libero_90,39,turn off the stove,train,,turn off the stove,power off the stove,True,replace,turn,power,0,verb/frame,2,0,-2,0.31487864133641996,1.0,0,1,0,49,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/39,libero_90,39,turn off the stove,train,,turn off the stove,shut off the stove,True,replace,turn,shut,0,verb/frame,2,0,-2,0.31487864133641996,1.0,0,1,0,49,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/39,libero_90,39,turn off the stove,train,,turn off the stove,switch off the stove,True,replace,turn,switch,0,verb/frame,2,0,-2,0.31487864133641996,1.0,0,1,0,49,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/39,libero_90,39,turn off the stove,train,,power off the stove,shut off the stove,False,replace,power,shut,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/39,libero_90,39,turn off the stove,train,,power off the stove,switch off the stove,False,replace,power,switch,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/39,libero_90,39,turn off the stove,train,,shut off the stove,switch off the stove,False,replace,shut,switch,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/41,libero_90,41,put the frying pan on top of the cabinet,train,,put the frying pan on top of the cabinet,put the frying pan atop the cabinet,True,replace,on top of,atop,4,preposition/particle,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/41,libero_90,41,put the frying pan on top of the cabinet,train,,put the frying pan on top of the cabinet,place the frying pan on top of the cabinet,True,replace,put,place,0,verb/frame,0,2,2,0.31487864133641996,1.0,0,0,1,49,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/44,libero_90,44,turn on the stove,train,,fire up the stove,ignite the stove,False,replace,fire up,ignite,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,roll50,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,fire up the stove,power on the stove,False,replace,fire up,power on,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,roll50,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,fire up the stove,start the stove,False,replace,fire up,start,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,roll50,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,fire up the stove,switch on the stove,False,replace,fire up,switch on,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,roll50,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,ignite the stove,power on the stove,False,replace,ignite,power on,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round3,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,ignite the stove,start the stove,False,replace,ignite,start,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round3,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,ignite the stove,switch on the stove,False,replace,ignite,switch on,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round3,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,power on the stove,start the stove,False,replace,power on,start,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round3,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,power on the stove,switch on the stove,False,replace,power,switch,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round3,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,start the stove,switch on the stove,False,replace,start,switch on,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round3,round3,False
libero_90/44,libero_90,44,turn on the stove,train,,turn on the stove,fire up the stove,True,replace,turn on,fire up,0,verb/frame,6,100,94,4.6431125021264605e-21,4.64380767359492e-25,3,0,47,0,1.4210854715202004e-14,True,roll50: verb; confirm50,roll50,roll50,True
libero_90/44,libero_90,44,turn on the stove,train,,turn on the stove,ignite the stove,True,replace,turn on,ignite,0,verb/frame,6,100,94,4.6431125021264605e-21,4.64380767359492e-25,3,0,47,0,1.4210854715202004e-14,True,"round3: 4 verb ladder (canonical fails); canonical 6%, 'fire up' 100%",roll50,round3,True
libero_90/44,libero_90,44,turn on the stove,train,,turn on the stove,power on the stove,True,replace,turn,power,0,verb/frame,6,100,94,4.6431125021264605e-21,4.64380767359492e-25,3,0,47,0,1.4210854715202004e-14,True,"round3: 4 verb ladder (canonical fails); canonical 6%, 'fire up' 100%",roll50,round3,True
libero_90/44,libero_90,44,turn on the stove,train,,turn on the stove,start the stove,True,replace,turn on,start,0,verb/frame,6,100,94,4.6431125021264605e-21,4.64380767359492e-25,3,0,47,0,1.4210854715202004e-14,True,"round3: 4 verb ladder (canonical fails); canonical 6%, 'fire up' 100%",roll50,round3,True
libero_90/44,libero_90,44,turn on the stove,train,,turn on the stove,switch on the stove,True,replace,turn,switch,0,verb/frame,6,100,94,4.6431125021264605e-21,4.64380767359492e-25,3,0,47,0,1.4210854715202004e-14,True,"round3: 4 verb ladder (canonical fails); canonical 6%, 'fire up' 100%",roll50,round3,True
libero_90/48,libero_90,48,pick up the ketchup and put it in the basket,train,,pick up the ketchup and put it in the basket,pick up the ketchup and place it in the basket,True,replace,put,place,5,verb/frame,2,0,-2,0.31487864133641996,1.0,0,1,0,49,1.0,True,round6: A one-word rescue; object/4 scores 98% with 'place',round6,round6,False
libero_90/48,libero_90,48,pick up the ketchup and put it in the basket,train,,pick up the ketchup and put it in the basket,pick up the ketchup and put it into the basket,True,replace,in,into,7,preposition/particle,2,0,-2,0.31487864133641996,1.0,0,1,0,49,1.0,True,round6: A one-word rescue; in -> into,round6,round6,False
libero_90/48,libero_90,48,pick up the ketchup and put it in the basket,train,,pick up the ketchup and put it in the basket,pick up the ketchup and set it in the basket,True,replace,put,set,5,verb/frame,2,0,-2,0.31487864133641996,1.0,0,1,0,49,1.0,True,round6: A one-word rescue; verb alternative,round6,round6,False
libero_90/48,libero_90,48,pick up the ketchup and put it in the basket,train,,pick up the ketchup and put it in the basket,grab the ketchup and put it in the basket,True,replace,pick up,grab,0,verb/frame,2,2,0,1.0,1.0,0,1,1,48,1.0,True,round6: A one-word rescue; verb alternative,round6,round6,False
libero_90/48,libero_90,48,pick up the ketchup and put it in the basket,train,,pick up the ketchup and place it in the basket,pick up the ketchup and set it in the basket,False,replace,place,set,5,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/51,libero_90,51,pick up the butter and put it in the basket,sealed_test,B_ood_range,pick up the butter and put it in the basket,lift the butter and put it in the basket,True,replace,pick up,lift,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round3: 9 SEALED (held out); held-out pick up->lift,round3,round3,False
libero_90/51,libero_90,51,pick up the butter and put it in the basket,sealed_test,B_ood_range,pick up the butter and put it in the basket,pick up the butter and place it in the basket,True,replace,put,place,5,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round3: 9 SEALED (held out); held-out put->place,round3,round3,False
libero_90/52,libero_90,52,pick up the milk and put it in the basket,train,,pick up the milk and put it in the basket,grab the milk and put it in the basket,True,replace,pick up,grab,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: A one-word rescue; verb alternative,round6,round6,False
libero_90/52,libero_90,52,pick up the milk and put it in the basket,train,,pick up the milk and put it in the basket,pick up the milk and place it in the basket,True,replace,put,place,5,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: A one-word rescue; object/7 scores 100% with 'place',round6,round6,False
libero_90/52,libero_90,52,pick up the milk and put it in the basket,train,,pick up the milk and place it in the basket,pick up the milk and set it in the basket,False,replace,place,set,5,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/52,libero_90,52,pick up the milk and put it in the basket,train,,pick up the milk and put it in the basket,pick up the milk and put it into the basket,True,replace,in,into,7,preposition/particle,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: A one-word rescue; in -> into,round6,round6,False
libero_90/52,libero_90,52,pick up the milk and put it in the basket,train,,pick up the milk and put it in the basket,pick up the milk and set it in the basket,True,replace,put,set,5,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: A one-word rescue; verb alternative,round6,round6,False
libero_90/57,libero_90,57,pick up the cream cheese and put it in the tray,train,,grab the cream cheese and put it in the tray,lift the cream cheese and put it in the tray,False,replace,grab,lift,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,roll50,round3,False
libero_90/57,libero_90,57,pick up the cream cheese and put it in the tray,train,,pick up the cream cheese and put it in the tray,pick up the cream cheese and place it in the tray,True,replace,put,place,6,verb/frame,98,98,0,1.0,1.0,48,1,1,0,1.0,True,round3: 8 replicate put vs place; 90/59 gave +12pp p=0.241,roll50,round3,False
libero_90/57,libero_90,57,pick up the cream cheese and put it in the tray,train,,pick up the cream cheese and put it in the tray,grab the cream cheese and put it in the tray,True,replace,pick up,grab,0,verb/frame,98,100,2,0.31487864133641963,1.0,49,0,1,0,1.0,True,roll50: proposed; probe50,roll50,roll50,False
libero_90/57,libero_90,57,pick up the cream cheese and put it in the tray,train,,pick up the cream cheese and put it in the tray,lift the cream cheese and put it in the tray,True,replace,pick up,lift,0,verb/frame,98,100,2,0.31487864133641963,1.0,49,0,1,0,1.0,True,"round3: 5 replicate pick up->lift; 90/38 gave +20pp, 95% CI +1..+39",roll50,round3,False
libero_90/57,libero_90,57,pick up the cream cheese and put it in the tray,train,,pick up the cream cheese and put it in the tray,pick up the cream cheese box and put it in the tray,True,insert,,box,5,words added,98,100,2,0.31487864133641963,1.0,49,0,1,0,1.0,True,round6: E specificity penalty; add 'box',roll50,round6,False
libero_90/59,libero_90,59,pick up the tomato sauce and put it in the tray,train,,grasp the green and orange can and put it in the wooden tray,grasp the green and orange tin and put it in the wooden tray,False,replace,can,tin,5,noun/other,22,22,0,1.0,0.9999999999999999,4,7,7,32,1.0,False,,roll50,roll50,False
libero_90/59,libero_90,59,pick up the tomato sauce and put it in the tray,train,,grasp the tomato sauce can and put it in the wooden tray,pick up the tomato sauce can and put it in the wooden tray,False,replace,grasp,pick up,0,noun/other,30,30,0,1.0,1.0,8,7,7,28,1.0,False,,roll50,roll50,False
libero_90/59,libero_90,59,pick up the tomato sauce and put it in the tray,train,,pick up the tomato sauce can and put it in the tray,pick up the tomato sauce can and put it in the wooden tray,False,insert,,wooden,11,color,24,30,6,0.4992073997150144,0.652850193875693,8,4,7,31,0.548828125,False,,roll50,roll50,False
libero_90/59,libero_90,59,pick up the tomato sauce and put it in the tray,train,,grasp the green and orange can and put it in the wooden tray,grasp the tomato sauce can and put it in the wooden tray,False,replace,green and orange,tomato sauce,2,noun/other,22,30,8,0.3618100399768198,0.4945011595032017,3,8,12,27,0.5034446716308594,False,,roll50,roll50,False
libero_90/59,libero_90,59,pick up the tomato sauce and put it in the tray,train,,grasp the green and orange tin and put it in the wooden tray,grasp the tomato sauce can and put it in the wooden tray,False,replace,green and orange tin,tomato sauce can,2,noun/other,22,30,8,0.3618100399768198,0.4945011595032017,2,9,13,26,0.5234670639038086,False,,roll50,roll50,False
libero_90/59,libero_90,59,pick up the tomato sauce and put it in the tray,train,,grasp the orange and green can and put it in the wooden tray,grasp the tomato sauce can and put it in the wooden tray,False,replace,orange and green,tomato sauce,2,noun/other,18,30,12,0.16005734623194487,0.24142379746764067,3,6,12,29,0.237884521484375,False,,roll50,roll50,False
libero_90/59,libero_90,59,pick up the tomato sauce and put it in the tray,train,,grasp the tomato sauce can and place it in the wooden tray,grasp the tomato sauce can and put it in the wooden tray,False,replace,place,put,6,verb/frame,18,30,12,0.16005734623194487,0.24142379746764067,5,4,10,31,0.1795654296875,False,,roll50,roll50,False
libero_90/66,libero_90,66,put the red mug on the right plate,train,,put the red mug on the right plate,place the red mug on the right plate,True,replace,put,place,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/66,libero_90,66,put the red mug on the right plate,train,,place the red mug on the right plate,set the red mug on the right plate,False,replace,place,set,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/66,libero_90,66,put the red mug on the right plate,train,,put the red mug on the right plate,put the red cup on the right plate,True,replace,mug,cup,3,noun/other,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/66,libero_90,66,put the red mug on the right plate,train,,put the red mug on the right plate,set the red mug on the right plate,True,replace,put,set,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/68,libero_90,68,put the yellow and white mug on the right plate,train,,can you put the yellow and white mug on the right plate,i want the yellow and white mug on the right plate,False,replace,can you put,i want,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round8,round8,False
libero_90/68,libero_90,68,put the yellow and white mug on the right plate,train,,put the yellow and white mug on the right plate,can you put the yellow and white mug on the right plate,True,insert,,can you,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round8: F sentence structure; question,roll50,round8,False
libero_90/68,libero_90,68,put the yellow and white mug on the right plate,train,,put the yellow and white mug on the right plate,i want the yellow and white mug on the right plate,True,replace,put,i want,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round8: F sentence structure; desire,roll50,round8,False
libero_90/68,libero_90,68,put the yellow and white mug on the right plate,train,,put the yellow and white mug on the right plate,put the yellow and white cup on the right plate,True,replace,mug,cup,5,noun/other,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round2: B_role; TARGET rename; r2,roll50,round2,False
libero_90/68,libero_90,68,put the yellow and white mug on the right plate,train,,put the yellow and white mug on the right plate,put the yellow and white mug on the right dish,True,replace,plate,dish,9,noun/other,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round2: B_role; DEST rename; r2,roll50,round2,False
libero_90/68,libero_90,68,put the yellow and white mug on the right plate,train,,put the yellow and white mug on the right dish,put the yellow and white mug on the right white plate,False,replace,dish,white plate,9,noun/other,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round2,round6,False
libero_90/68,libero_90,68,put the yellow and white mug on the right plate,train,,put the yellow and white mug on the right plate,put the yellow and white mug on the right white plate,True,insert,,white,9,color,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round6: E specificity penalty; add 'white',roll50,round6,False
libero_90/68,libero_90,68,put the yellow and white mug on the right plate,train,,the yellow and white mug goes on the right plate,the yellow and white mug should be put on the right plate,False,replace,goes,should be put,5,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round8,round8,False
libero_90/70,libero_90,70,put the chocolate pudding to the right of the plate,train,,set the brown pudding down to the right of that plate,set the chocolate pudding down to the right of that plate,False,replace,brown,chocolate,2,noun/other,76,70,-6,0.49920739971501393,0.652850193875693,27,11,8,4,0.6476058959960938,False,,roll50,roll50,False
libero_90/70,libero_90,70,put the chocolate pudding to the right of the plate,train,,put the chocolate pudding to the right of the plate,put the chocolate pudding to the right of the dish,True,replace,plate,dish,9,noun/other,64,70,6,0.5234677465852955,0.6709420671138303,26,6,9,9,0.60723876953125,True,minpair: REF; minpair,round2,round2,False
libero_90/70,libero_90,70,put the chocolate pudding to the right of the plate,train,,put the chocolate pudding to the right of the plate,put the chocolate dessert to the right of the plate,True,replace,pudding,dessert,3,noun/other,64,80,16,0.0747913775869442,0.11815940020348115,27,5,13,5,0.09625244140625,True,minpair: TARGET; minpair,round2,round2,False
libero_90/71,libero_90,71,put the red mug on the plate,train,,put the red mug on the plate,place the red mug on the plate,True,replace,put,place,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: D floor place-tasks; paraphrase,round6,round6,False
libero_90/71,libero_90,71,put the red mug on the plate,train,,place the red mug on the plate,set the red mug on the plate,False,replace,place,set,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/71,libero_90,71,put the red mug on the plate,train,,put the red mug on the plate,put the red cup on the plate,True,replace,mug,cup,3,noun/other,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: D floor place-tasks; paraphrase,round6,round6,False
libero_90/71,libero_90,71,put the red mug on the plate,train,,put the red mug on the plate,set the red mug on the plate,True,replace,put,set,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: D floor place-tasks; paraphrase,round6,round6,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the dish,put the white mug on the plate.,False,replace,dish,plate.,6,noun/other,100,94,-6,0.0786401793488283,0.24242424242424243,47,3,0,0,0.25,False,,round2,round8,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the dish,put the white mug on the round plate,False,replace,dish,round plate,6,noun/other,100,96,-4,0.15312745101966943,0.494949494949495,48,2,0,0,0.5,False,,round2,round6,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,Put the white mug on the plate,put that white mug on the plate,False,replace,Put the,put that,0,determiner,98,98,0,1.0,1.0,48,1,1,0,1.0,False,,round8,roll50,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the plate,put the white cup on the plate,True,replace,mug,cup,3,noun/other,94,94,0,1.0,1.0,44,3,3,0,1.0,True,minpair: TARGET; minpair,roll50,round2,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the plate,put the white mug on the plate.,True,replace,plate,plate.,6,punctuation,94,94,0,1.0,1.0,45,2,2,1,1.0,True,round8: A formatting; trailing period (Bridge: -11pp),roll50,round8,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the plate,put the white mug on the round plate,True,insert,,round,6,words added,94,96,2,0.64635519553949,1.0,45,2,3,0,1.0,True,round6: E specificity penalty; add 'round',roll50,round6,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the plate.,put the white mug on the round plate,False,replace,plate.,round plate,6,noun/other,94,96,2,0.64635519553949,1.0,45,2,3,0,1.0,False,,round8,round6,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the plate,Put the white mug on the plate,True,replace,put,Put,0,case,94,98,4,0.3074341659273952,0.6173070915338956,46,1,3,0,0.625,True,round8: A formatting; capitalise (Bridge: -12pp),roll50,round8,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the plate,put that white mug on the plate,True,replace,the,that,1,determiner,94,98,4,0.3074341659273952,0.6173070915338956,46,1,3,0,0.625,True,roll50: proposed; probe50,roll50,roll50,False
libero_90/72,libero_90,72,put the white mug on the plate,train,,put the white mug on the plate,put the white mug on the dish,True,replace,plate,dish,6,noun/other,94,100,6,0.0786401793488283,0.24242424242424243,47,0,3,0,0.25,True,minpair: DEST; minpair,roll50,round2,False
libero_90/78,libero_90,78,pick up the book and place it in the front compartment of the caddy,train,,pick up the book and place it in the front compartment of the caddy,pick up the book and place it in the front slot of the caddy,True,replace,compartment,slot,10,noun/other,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/78,libero_90,78,pick up the book and place it in the front compartment of the caddy,train,,pick up the book and place it in the front compartment of the caddy,pick up the book and put it in the front compartment of the caddy,True,replace,place,put,5,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/78,libero_90,78,pick up the book and place it in the front compartment of the caddy,train,,place the book in the front compartment of the caddy,put the book in the front compartment of the caddy,False,replace,place,put,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/81,libero_90,81,pick up the book and place it in the front compartment of the caddy,train,,pick up the book and place it in the front compartment of the caddy,pick up the book and place it in the front slot of the caddy,True,replace,compartment,slot,10,noun/other,0,0,0,1.0,1.0,0,0,0,50,1.0,True,"round6: B same string, other scenes; compartment -> slot",round6,round6,False
libero_90/81,libero_90,81,pick up the book and place it in the front compartment of the caddy,train,,pick up the book and place it in the front compartment of the caddy,pick up the book and put it in the front compartment of the caddy,True,replace,place,put,5,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,"round6: B same string, other scenes; place -> put",round6,round6,False
libero_90/81,libero_90,81,pick up the book and place it in the front compartment of the caddy,train,,place the book in the front compartment of the caddy,put the book in the front compartment of the caddy,False,replace,place,put,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/82,libero_90,82,pick up the book and place it in the left compartment of the caddy,train,,place the black book inside the left slot of the brown caddy,place the black book into the left slot of the brown caddy,False,replace,inside,into,4,preposition/particle,38,34,-4,0.6769222390213795,0.8351562058369704,11,8,6,25,0.79052734375,False,,roll50,roll50,False
libero_90/82,libero_90,82,pick up the book and place it in the left compartment of the caddy,train,,place the black book into the left compartment of the brown caddy,place the black book into the left slot of the brown caddy,False,replace,compartment,slot,7,noun/other,22,34,12,0.1814492077214203,0.2653288926339733,6,5,11,28,0.210113525390625,False,,roll50,roll50,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,put the black bowl on the plate,can you put the black bowl on the plate,True,insert,,can you,0,verb/frame,98,84,-14,0.014445182089611795,0.030857822974463097,41,8,1,0,0.0390625,True,round8: F sentence structure; question,roll50,round8,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,put the black bowl on the plate,put the dark bowl on the plate,True,replace,black,dark,2,noun/other,98,88,-10,0.05003618617623281,0.11174961771814729,43,6,1,0,0.125,True,minpair: MOD; minpair,roll50,roll50,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,put the black bowl on the plate,put the black bowl on the dish,True,replace,plate,dish,6,noun/other,98,90,-8,0.09212296325765235,0.20440158503099362,44,5,1,0,0.21875,True,minpair: DEST; minpair,roll50,roll50,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,put the black bowl on the plate,put the black bowl onto the plate,True,replace,on,onto,4,preposition/particle,98,90,-8,0.09212296325765235,0.20440158503099362,44,5,1,0,0.21875,True,roll50: proposed; probe50,roll50,roll50,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,put the black bowl on the plate,put the grey bowl on the plate,True,replace,black,grey,2,color,98,90,-8,0.09212296325765235,0.20440158503099362,44,5,1,0,0.21875,True,round7: healthy scene (98%); does grey work generally?,roll50,round7,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,put the black bowl on the plate,i want the black bowl on the plate,True,replace,put,i want,0,verb/frame,98,94,-4,0.3074341659273952,0.6173070915338956,46,3,1,0,0.625,True,round8: F sentence structure; desire,roll50,round8,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,put the dark bowl on the plate,put the grey bowl on the plate,False,replace,dark,grey,2,noun/other,88,90,2,0.749270523528457,0.9999999999999999,39,5,6,0,1.0,False,,roll50,round7,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,the black bowl goes on the plate,the black bowl should be put on the plate,False,replace,goes,should be put,3,verb/frame,92,94,2,0.6951092703010286,1.0,44,2,3,1,1.0,False,,round8,round8,False
libero_90/9,libero_90,9,put the black bowl on the plate,train,,can you put the black bowl on the plate,i want the black bowl on the plate,False,replace,can you put,i want,0,verb/frame,84,94,10,0.11004143475794968,0.19971707940132497,39,3,8,0,0.2265625,False,,round8,round8,False
libero_goal/1,libero_goal,1,put the bowl on the stove,train,,place the grey bowl on the electric burner,place the grey bowl on the electric hot plate,False,replace,burner,hot plate,7,noun/other,92,0,-92,2.7168988386070504e-20,6.269140359353142e-24,0,46,0,4,2.842170943040401e-14,False,,roll50,round3,True
libero_goal/1,libero_goal,1,put the bowl on the stove,train,,place the grey bowl on the electric burner,place the grey bowl on the hot plate,False,replace,electric burner,hot plate,6,noun/other,92,0,-92,2.7168988386070504e-20,6.269140359353142e-24,0,46,0,4,2.842170943040401e-14,False,,roll50,roll50,True
libero_goal/1,libero_goal,1,put the bowl on the stove,train,,place the grey bowl on the electric burner,place the grey bowl on the hotplate,False,replace,electric burner,hotplate,6,noun/other,92,18,-74,1.027796809528446e-13,1.9126508636672872e-14,9,37,0,4,1.4551915228366852e-11,False,,roll50,round3,True
libero_goal/1,libero_goal,1,put the bowl on the stove,train,,place the grey bowl on the electric hot plate,place the grey bowl on the hot plate,False,delete,electric,,6,words removed,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round3,roll50,False
libero_goal/1,libero_goal,1,put the bowl on the stove,train,,place the grey bowl on the electric hot plate,place the grey bowl on the hotplate,False,replace,electric hot plate,hotplate,6,noun/other,0,18,18,0.0016616944579835144,0.002634204400259045,0,0,9,41,0.00390625,False,,round3,round3,True
libero_goal/1,libero_goal,1,put the bowl on the stove,train,,place the grey bowl on the hot plate,place the grey bowl on the hotplate,False,replace,hot plate,hotplate,6,noun/other,0,18,18,0.0016616944579835144,0.002634204400259045,0,0,9,41,0.00390625,False,,roll50,round3,True
libero_goal/2,libero_goal,2,put the wine bottle on top of the cabinet,train,,put the wine bottle on top of the cabinet,put the wine jug on top of the cabinet,True,replace,bottle,jug,3,noun/other,100,96,-4,0.15312745101966943,0.494949494949495,48,2,0,0,0.5,True,round2: B_role; TARGET rename; r2,round2,round2,False
libero_goal/2,libero_goal,2,put the wine bottle on top of the cabinet,train,,put the wine bottle on top of the cabinet,put the wine bottle on top of the cupboard,True,replace,cabinet,cupboard,8,noun/other,100,98,-2,0.31487864133641963,1.0,49,1,0,0,1.0,True,round2: B_role; DEST rename; r2,round2,round2,False
libero_goal/2,libero_goal,2,put the wine bottle on top of the cabinet,train,,put the wine bottle on top of the cabinet,put the wine bottle up onto the cabinet,True,replace,on top of,up onto,4,preposition/particle,100,98,-2,0.31487864133641963,1.0,49,1,0,0,1.0,True,round3: 6 replicate on top of->up onto; 90/10 gave +40pp,round2,round3,False
libero_goal/2,libero_goal,2,put the wine bottle on top of the cabinet,train,,put the wine bottle up onto the cabinet,put the wine jug on top of the cabinet,False,replace,bottle up onto,jug on top of,3,noun/other,98,96,-2,0.5577341459422835,1.0,47,2,1,0,1.0,False,,round3,round2,False
libero_goal/4,libero_goal,4,put the bowl on top of the cabinet,train,,put the bowl on top of the cabinet,put the dish on top of the cabinet,True,replace,bowl,dish,2,noun/other,98,92,-6,0.1686686188878156,0.3621784858898261,45,4,1,0,0.375,True,round2: B_role; TARGET rename; r2,round2,round2,False
libero_goal/4,libero_goal,4,put the bowl on top of the cabinet,train,,put the bowl on top of the cabinet,put the bowl up onto the cabinet,True,replace,on top of,up onto,3,preposition/particle,98,94,-4,0.3074341659273952,0.6173070915338956,46,3,1,0,0.625,True,round3: 6 replicate on top of->up onto; 90/10 gave +40pp,round2,round3,False
