task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
put lid on pot or pan,search,put the silver lid on the silver pot,6.3922,Put the lid on the pot.,6.237,-0.1551,True,64.0
put broccoli in pot,search,put the green broccoli piece inside the metal pot,6.6132,Put the green broccoli piece inside the metal pot.,6.461,-0.1522,True,64.0
put sushi on plate,search,move the sushi onto the blue plate,7.2454,Move the sushi onto the blue plate.,7.1014,-0.144,True,64.0
put lid on pot or pan,search,put the silver lid on the silver pot,6.3922,Put the silver lid on the silver pot.,6.2566,-0.1356,True,64.0
close brown1fbox flap,search,close the brown box lid,6.3575,Close the brown box lid.,6.2314,-0.1261,True,64.0
fold the cloth from bottom left to top right,search,grab the bottom left corner of the orange towel and fold it top right,6.568,Grab the bottom left corner of the orange towel and fold it to the top right.,6.4877,-0.0804,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,Spread the yellow cloth to the left.,5.9775,-0.0687,True,64.0
put banana in pot or pan,search,place banana in the silver pot,6.297,Place the banana in the silver pot.,6.235,-0.0621,True,64.0
put carrot on cutting board,search,set the carrot on the cutting board,7.8363,Put the carrot on the cutting board.,7.7886,-0.0477,True,64.0
put cup from sink to drying rack,search,move pink cup to drying rack,6.4224,Move the pink cup to the drying rack.,6.3872,-0.0352,True,64.0
close white1fbox flap,search,fold down the white box flap,8.0803,Fold down the white box flap.,8.053,-0.0273,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,Put the orange cup on the yellow plate.,5.7545,-0.0204,True,64.0
put beet in pot sink,search,put the purple beet in the red pot,6.8784,Put the purple beet in the red pot.,6.8649,-0.0134,True,64.0
turn faucet front to left,search,push the faucet lever to the left,7.8702,Push the faucet lever to the left.,7.8569,-0.0133,True,64.0
put eggplant on plate,search,place eggplant on the green plate,6.6255,Place the eggplant on the green plate.,6.6163,-0.0092,True,64.0
fold the cloth from bottom left to top right,search,grab the bottom left corner of the orange towel and fold it top right,6.568,Fold the bottom left corner of the orange towel to the top right.,6.5597,-0.0083,True,64.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,Take the yellow rag out of the dryer.,2.3147,-0.0065,True,64.0
put strawberry in pot,search,move the strawberry into the metal pot,5.8064,Put the strawberry in the metal pot.,5.8003,-0.0061,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,Unfold the yellow cloth towards the top left.,6.8305,-0.0005,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,Place the clothes into the open laundry machine.,7.783,0.008,True,64.0
take bowl off plate cardboard fence,search,lift the blue bowl off the green saucer,6.7214,Lift the blue bowl off the green saucer.,6.7315,0.0101,True,64.0
put pan in sink,search,put pan into the sink,7.4665,Put the pan into the sink.,7.4833,0.0168,True,64.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,Take the rag out of the dryer.,2.3427,0.0214,True,64.0
open large4fbox flaps,search,lift the cardboard box flaps open,7.8871,Lift the box flaps to open the box.,7.9303,0.0432,True,64.0
open large4fbox flaps,search,lift the cardboard box flaps open,7.8871,Open the cardboard box flaps.,7.9638,0.0767,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,Put the clothes into the washing machine.,7.8869,0.1119,True,64.0
close fridge,search,shut the fridge door,8.2999,Shut the fridge door.,8.4247,0.1248,True,64.0
flip cup upright,search,put cup upright,6.9479,Stand the cup upright,7.1609,0.213,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,Put the carrot in the pot.,5.4311,0.2472,True,64.0
unfold the cloth from top to bottom,search,flatten the blue cloth from top down,5.9076,Flatten the blue cloth from top to bottom.,6.3285,0.4209,True,64.0
unfold the cloth from top left to bottom right,search,unfold the cloth from top left to bottom right corner,7.1448,Unfold the cloth from top left to bottom right.,7.5786,0.4338,True,64.0
put beet in pot sink,search,put the purple beet in the red pot,6.8784,Put the beet in the pot.,7.591,0.7126,True,64.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,Thinking Process:,3.2434,0.9222,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,Put the orange cup on the plate.,7.0308,1.2559,True,64.0
