task,phrase,proxy,n_ctx,gt_success,source
pick up glue and put into drawer,put the red tube of glue in the small open drawer on the left,,80,,search_boards
pick up glue and put into drawer,pick up the red tube of glue and place it in the top left organizer,,80,,search_boards
pick up green mug,pick up green coffee cup,,80,,search_boards
pick up green mug,pick up the green coffee cup,,80,,search_boards
pick up green mug,pick up green cup,,80,,search_boards
pick up green mug,pick up the green cup,,80,,search_boards
pick up green mug,pick up green mug,,80,,search_boards
pick up green mug,grasp the green cup,,80,,search_boards
pick up green mug,lift the green cup,,80,,search_boards
pick up pan from stove,[dry-run:gemini] e2c13623aaa8,0.9043802745211753,80,,loop_gemini
pick up pan from stove,pick up pan from stove,,80,,search_boards
pick up pan from stove,pick up the silver pot on the left burner,,80,,search_boards
pick up pan from stove,lift the silver pot on the left burner,,80,,search_boards
pick up pan from stove,lift the silver pot that is on the left burner,,80,,search_boards
pick up pan from stove,lift the silver pot off the front left burner,,80,,search_boards
pick up pan from stove,grab the silver pot on the left burner,,80,,search_boards
pick up pan from stove,take the silver pot off the front burner,,80,,search_boards
pick up pan from stove,grab the small pot from the burner,,80,,search_boards
pick up pan from stove,pick up the small silver pot from the stove,,80,,search_boards
pick up pan from stove,grab the small silver pot on the left burner,,80,,search_boards
pick up pot,pick up pot,,80,,search_boards
pick up pot,grab the silver cooking pot from the stove,,80,,search_boards
pick up pot,grab the metal pot from the burner,,80,,search_boards
pick up pot,grab the small silver pot from the burner,,80,,search_boards
pick up pot,grab the small metal pot from the burner,,80,,search_boards
pick up pot,grab the metal pot from the stove,,80,,search_boards
pick up pot,lift the cooking pot,,80,,search_boards
pick up pot,grab the silver cooking pot,,80,,search_boards
pick up pot,pick up the silver pot with handles,,80,,search_boards
pick up pot,grab the small metal pot from the stove,,80,,search_boards
pick up pot from sink,grab the silver cup out of the sink,,80,,search_boards
pick up pot from sink,grab the metal pot from the sink,,80,,search_boards
pick up pot from sink,grab the silver cup from the sink,,80,,search_boards
pick up pot from sink,grab the metal pot out of the sink,,80,,search_boards
pick up pot from sink,pick up pot from sink,,80,,search_boards
pick up pot from sink,lift the metal pot out of the sink,,80,,search_boards
pick up pot from sink,lift the silver cup out of the sink,,80,,search_boards
pick up pot from sink,remove the pot from the sink,,80,,search_boards
pick up pot from sink,remove the silver pot from the sink,,80,,search_boards
pick up scissors and put into drawer,[dry-run:gemini] aec545de50da,0.8818469597394157,80,,loop_gemini
pick up scissors and put into drawer,place the scissors in the top drawer,,80,,search_boards
pick up scissors and put into drawer,place the scissors in the top red drawer,,80,,search_boards
pick up scissors and put into drawer,pick up scissors and put into drawer,,80,,search_boards
pick up scissors and put into drawer,place the scissors into the top red drawer,,80,,search_boards
pick up scissors and put into drawer,pick up the scissors and place them in the drawer,,80,,search_boards
pick up scissors and put into drawer,pick up scissors and place in drawer,,80,,search_boards
pick up sponge and wipe plate,use the yellow sponge to clean the grey plate,,80,,search_boards
pick up sponge and wipe plate,pick up sponge and wipe plate,,80,,search_boards
pick up sponge and wipe plate,use the yellow sponge to clean the plate,,80,,search_boards
pick up sponge and wipe plate,use the sponge to wipe the grey plate,,80,,search_boards
pick up sponge and wipe plate,use the sponge to clean the grey plate,,80,,search_boards
pick up sponge and wipe plate,grab the yellow sponge and wipe the grey plate,,80,,search_boards
pick up sponge and wipe plate,grab the sponge and wipe the grey plate,,80,,search_boards
pick up sponge and wipe plate,pick up the yellow sponge and wipe the grey plate,,80,,search_boards
pick up violet Allen key,pick up violet Allen key,,80,,search_boards
pick up violet Allen key,pick up the violet hex key,,80,,search_boards
pick up violet Allen key,grasp the violet hex key,,80,,search_boards
pick up violet Allen key,grasp the purple hex key,,80,,search_boards
pick up violet Allen key,grab the violet hex key,,80,,search_boards
pick up violet Allen key,pick up the purple hex key,,80,,search_boards
pick up violet Allen key,pick up the purple l-key,,80,,search_boards
pick up violet Allen key,grab the violet allen key,,80,,search_boards
pour almonds in pot,dump the almonds in the pot,,80,,search_boards
pour almonds in pot,dump the almonds into the pot bowl,,80,,search_boards
pour almonds in pot,dump the almonds from the container into the pot,,80,,search_boards
pour almonds in pot,pour almonds in pot,,80,,search_boards
pour almonds in pot,dump the almonds into the pot,,80,,search_boards
pour almonds in pot,pour the almonds into the pot,,80,,search_boards
pour almonds in pot,transfer almonds from container to pot,,80,,search_boards
pour almonds in pot,pour almonds from container into pot,,80,,search_boards
put banana in colander,put banana in colander,,80,,search_boards
put banana in colander,put the banana inside the silver bowl,,80,,search_boards
put banana in colander,place the yellow banana in the silver bowl,,80,,search_boards
put banana in colander,drop the yellow banana in the silver bowl,,80,,search_boards
put banana in colander,put the yellow banana into the silver bowl,,80,,search_boards
put banana in colander,put the yellow banana in the silver bowl,,80,,search_boards
put banana in colander,drop the banana into the colander,,80,,search_boards
put banana in colander,put the banana in the colander bowl,,80,,search_boards
put banana in colander,place the banana in the colander,,80,,search_boards
put banana in pot cardboard fence,put banana in pot cardboard fence,,80,,search_boards
put banana in pot cardboard fence,move the banana in the pot,,80,,search_boards
put banana in pot cardboard fence,move the banana into the pot,,80,,search_boards
put banana in pot cardboard fence,pick up the banana and drop it in the pot,,80,,search_boards
put banana in pot cardboard fence,move the banana inside the orange bowl,,80,,search_boards
put banana in pot cardboard fence,pick up the banana and put it in the pot,,80,,search_boards
put banana in pot cardboard fence,move banana to pot,,80,,search_boards
put banana in pot cardboard fence,put the banana inside the orange bowl,,80,,search_boards
put banana in pot or pan,put banana in pot or pan,,80,,search_boards
put banana in pot or pan,place yellow banana in the silver pot,,80,,search_boards
put banana in pot or pan,place the yellow banana in the silver pot,,80,,search_boards
put banana in pot or pan,place the banana in the silver pot,,80,,search_boards
put banana in pot or pan,put the yellow banana in the silver pot,,80,,search_boards
put banana in pot or pan,place banana in the silver pot,,80,,search_boards
put banana in pot or pan,put the banana in the silver pot,,80,,search_boards
put banana in pot or pan,put the yellow banana into the silver pot,,80,,search_boards
put banana in pot or pan,place banana into the pot,,80,,search_boards
put banana on plate,put banana on plate,,80,,search_boards
put banana on plate,place the yellow banana onto the green plate,,80,,search_boards
put banana on plate,put the yellow banana onto the green plate,,80,,search_boards
put banana on plate,put the yellow banana on the green plate,,80,,search_boards
put banana on plate,put the yellow banana inside the green plate,,80,,search_boards
put banana on plate,put the yellow banana on the plate,,80,,search_boards
put banana on plate,move the yellow banana onto the plate,,80,,search_boards
put banana on plate,put the banana on the plate,,80,,search_boards
put big spoon from basket to tray,place big spoon from basket to tray,,80,,search_boards
put big spoon from basket to tray,transfer big spoon from basket to tray,,80,,search_boards
put big spoon from basket to tray,transfer the big spoon from basket to tray,,80,,search_boards
put big spoon from basket to tray,place the big spoon from basket to tray,,80,,search_boards
put big spoon from basket to tray,put big spoon from basket to tray,,80,,search_boards
put big spoon from basket to tray,take the big spoon out of the basket and place it in the tray,,80,,search_boards
put big spoon from basket to tray,grab the large spoon from the basket and put it in the tray,,80,,search_boards
put big spoon from basket to tray,place the big silver spoon from the basket into the tray slot,,80,,search_boards
put big spoon from basket to tray,put the big spoon from basket to tray,,80,,search_boards
put big spoon from basket to tray,move big spoon from basket to tray,,80,,search_boards
put blueberries on plate sink,[dry-run:gemini] 736870842653,0.3438400991750587,80,,loop_gemini
put blueberries on plate sink,put blueberries on plate sink,,80,,search_boards
put blueberries on plate sink,place blue grapes on yellow plate sink,,80,,search_boards
put blueberries on plate sink,place blue grapes on the yellow plate in the sink,,80,,search_boards
put blueberries on plate sink,place blue grapes on the plate in the sink,,80,,search_boards
put blueberries on plate sink,put blue grapes on the yellow plate in the sink,,80,,search_boards
put blueberries on plate sink,put the blueberries on the plate in the sink,,80,,search_boards
put blueberries on plate sink,put blue grapes on plate sink,,80,,search_boards
put blueberries on plate sink,place blueberries on the plate in the sink,,80,,search_boards
put bowl on plate,[dry-run:gemini] b4c0eb2cf055,0.18591231945586462,80,,loop_gemini
put bowl on plate,put bowl on plate,,80,,search_boards
put bowl on plate,place bowl on the plate,,80,,search_boards
put bowl on plate,place bowl on blue plate,,80,,search_boards
put bowl on plate,place the bowl on the blue plate,,80,,search_boards
put bowl on plate,place bowl onto blue plate,,80,,search_boards
put bowl on plate,place bowl on plate,,80,,search_boards
put bowl on plate,place the bowl onto the plate,,80,,search_boards
put bowl on plate,put the bowl on the plate,,80,,search_boards
put bowl on plate,place bowl onto the plate,,80,,search_boards
put bowl on plate cardboard fence,put bowl on plate cardboard fence,,80,,search_boards
put bowl on plate cardboard fence,put bowl on the green plate cardboard fence,,80,,search_boards
put bowl on plate cardboard fence,put bowl on green plate cardboard fence,,80,,search_boards
put bowl on plate cardboard fence,put bowl on green plate cardboard,,80,,search_boards
put bowl on plate cardboard fence,put bowl onto green plate cardboard fence,,80,,search_boards
put bowl on plate cardboard fence,put blue bowl in green plate,,80,,search_boards
put bowl on plate cardboard fence,put blue bowl onto green plate,,80,,search_boards
put bowl on plate cardboard fence,move blue bowl to green plate,,80,,search_boards
put bowl on plate cardboard fence,put the bowl on plate cardboard fence,,80,,search_boards
put broccoli in bowl,put broccoli in bowl,,80,,search_boards
put broccoli in bowl,put the green broccoli inside the blue bowl,,80,,search_boards
put broccoli in bowl,drop the green broccoli in the blue bowl,,80,,search_boards
put broccoli in bowl,place the green broccoli in the blue bowl,,80,,search_boards
put broccoli in bowl,place the green broccoli into the blue bowl,,80,,search_boards
put broccoli in bowl,put green broccoli in blue bowl,,80,,search_boards
put broccoli in bowl,place the broccoli in the bowl,,80,,search_boards
put broccoli in bowl,pick up broccoli and put it in bowl,,80,,search_boards
put broccoli in pot,put broccoli in pot,,80,,search_boards
put broccoli in pot,drop the green broccoli into the metal pot,,80,,search_boards
put broccoli in pot,drop the green broccoli piece into the metal pot,,80,,search_boards
put broccoli in pot,put the green broccoli piece inside the metal pot,,80,,search_boards
put broccoli in pot,put the green broccoli piece inside the silver pot,,80,,search_boards
put broccoli in pot,put the green broccoli inside the silver pot,,80,,search_boards
put broccoli in pot,put the broccoli piece into the metal pot,,80,,search_boards
put broccoli in pot,put the green broccoli in the pot,,80,,search_boards
put broccoli in pot or pan,put the broccoli into the pot,,80,,search_boards
put broccoli in pot or pan,put broccoli in pot or pan,,80,,search_boards
put broccoli in pot or pan,put the broccoli in the pot,,80,,search_boards
put broccoli in pot or pan,put broccoli in the pot,,80,,search_boards
put broccoli in pot or pan,drop broccoli in pot,,80,,search_boards
put broccoli in pot or pan,put the broccoli inside the pot,,80,,search_boards
put broccoli in pot or pan,drop broccoli in the pot,,80,,search_boards
put broccoli in pot or pan,place broccoli in pot,,80,,search_boards
put broccoli in pot or pan,drop the broccoli inside the pot,,80,,search_boards
put brush into pot or pan,[dry-run:gemini] effaf077e38b,0.9081939606115713,80,,loop_gemini
put brush into pot or pan,drop the brush inside the silver pot,,80,,search_boards
put brush into pot or pan,drop the brush in the pot,,80,,search_boards
put brush into pot or pan,drop the brush into the silver pot,,80,,search_boards
put brush into pot or pan,put the brush in the silver pot,,80,,search_boards
put brush into pot or pan,put brush into pot or pan,,80,,search_boards
put brush into pot or pan,put the scrub brush in the pot,,80,,search_boards
put brush into pot or pan,place the brush inside the pot,,80,,search_boards
put cap on container,put cap on container,,80,,search_boards
put cap on container,put the red lid on the jar,,80,,search_boards
put cap on container,put the red lid on the glass jar,,80,,search_boards
put cap on container,put the red lid on the glass container,,80,,search_boards
put cap on container,place the red lid on the glass container,,80,,search_boards
put cap on container,put red cap on the container in the sink,,80,,search_boards
put carrot in bowl,put carrot in bowl,,80,,search_boards
put carrot in bowl,move carrot to blue bowl,,80,,search_boards
put carrot in bowl,move carrot into blue bowl,,80,,search_boards
put carrot in bowl,move carrot into the blue bowl,,80,,search_boards
put carrot in bowl,put the orange carrot in the light blue bowl,,80,,search_boards
put carrot in bowl,move the orange carrot into the blue bowl,,80,,search_boards
put carrot in bowl,put orange carrot in blue bowl,,80,,search_boards
put carrot in pot or pan,[dry-run:gemini] 09694e0708cf,0.7212717333666832,80,,loop_gemini
put carrot in pot or pan,put carrot inside pot,,80,,search_boards
put carrot in pot or pan,put carrot in pot or pan,,80,,search_boards
put carrot in pot or pan,put carrot into pot,,80,,search_boards
put carrot in pot or pan,put carrot in pot,,80,,search_boards
put carrot in pot or pan,put the carrot in pot,,80,,search_boards
put carrot in pot or pan,place carrot in pot,,80,,search_boards
put carrot in pot or pan,put the carrot inside the pot,,80,,search_boards
put carrot in pot or pan,put the carrot in the pot,,80,,search_boards
put carrot on cutting board,grab the carrot and put it on the cutting board,,80,,search_boards
put carrot on cutting board,put carrot on cutting board,,80,,search_boards
put carrot on cutting board,pick up the orange carrot and put it on the cutting board,,80,,search_boards
put carrot on cutting board,pick up the orange carrot and set it on the cutting board,,80,,search_boards
put carrot on cutting board,grab the orange carrot and place it on the green cutting board,,80,,search_boards
put carrot on cutting board,grab the carrot and place it on the cutting board,,80,,search_boards
put carrot on cutting board,pick up the carrot and put it on the cutting board,,80,,search_boards
put carrot on cutting board,set the carrot on the cutting board,,80,,search_boards
put carrot on cutting board,place the carrot on the green cutting board,,80,,search_boards
put carrot on plate,[dry-run:gemini] e1de4728a972,0.17588258217503064,80,,loop_gemini
put carrot on plate,move carrot onto the green plate,,80,,search_boards
put carrot on plate,move the carrot onto the green plate,,80,,search_boards
put carrot on plate,move carrot to green plate,,80,,search_boards
put carrot on plate,place carrot onto the green plate,,80,,search_boards
put carrot on plate,put carrot on plate,,80,,search_boards
put carrot on plate,move carrot onto green plate,,80,,search_boards
put clothes in laundry machine,[dry-run:gemini] 209ae9dfcb3c,0.7405640878094117,80,,loop_gemini
put clothes in laundry machine,load the laundry machine with clothes,,80,,search_boards
put clothes in laundry machine,place clothes in laundry machine,,80,,search_boards
put clothes in laundry machine,put clothes in laundry machine,,80,,search_boards
put clothes in laundry machine,put clothes in the laundry machine,,80,,search_boards
put clothes in laundry machine,place the clothes into the open laundry machine,,80,,search_boards
put clothes in laundry machine,load the laundry basket items into the washing machine,,80,,search_boards
put clothes in laundry machine,load the clothes from the basket into the machine,,80,,search_boards
put corn in bowl sink,move the corn into the bowl,,80,,search_boards
put corn in bowl sink,put corn in bowl sink,,80,,search_boards
put corn in bowl sink,place the corn in the bowl in the sink,,80,,search_boards
put corn in bowl sink,move the corn into the blue bowl,,80,,search_boards
put corn in bowl sink,move the corn to the bowl,,80,,search_boards
put corn in bowl sink,transfer the corn to the blue bowl,,80,,search_boards
put corn in pan which is on stove,put corn in pan which is on stove,,80,,search_boards
put corn in pan which is on stove,put the orange carrot in the empty pot,,80,,search_boards
put corn in pan which is on stove,place the orange carrot inside the empty pot,,80,,search_boards
put corn in pan which is on stove,drop the orange carrot inside the empty silver pot,,80,,search_boards
put corn in pan which is on stove,place the orange carrot inside the empty silver pot,,80,,search_boards
put corn in pan which is on stove,put the orange carrot into the empty silver pot,,80,,search_boards
put corn in pan which is on stove,put the orange carrot toy inside the silver pot,,80,,search_boards
put corn in pan which is on stove,drop the orange carrot into the metal pot on the stove,,80,,search_boards
put corn in pan which is on stove,put the carrot in the empty pot on the stove,,80,,search_boards
put corn in pan which is on stove,drop the orange carrot into the empty silver pot,,80,,search_boards
put corn in pan which is on stove,put the orange carrot into the empty pot,,80,,search_boards
put corn in pot which is in sink,put corn in pot which is in sink,,80,,search_boards
put corn in pot which is in sink,put the corn inside the pot,,80,,search_boards
put corn in pot which is in sink,place the corn inside the silver pot,,80,,search_boards
put corn in pot which is in sink,put the corn inside of the pot,,80,,search_boards
put corn in pot which is in sink,put the yellow corn inside of the pot,,80,,search_boards
put corn in pot which is in sink,put corn in pot,,80,,search_boards
put corn in pot which is in sink,put corn in sink pot,,80,,search_boards
put corn in pot which is in sink,put corn in the pot in the sink,,80,,search_boards
put corn in pot which is in sink,put corn in pot in sink,,80,,search_boards
put corn in pot which is in sink,put the corn in the pot,,80,,search_boards
put corn in pot which is in sink,put corn in the pot,,80,,search_boards
put corn in pot which is in sink,place corn in sink pot,,80,,search_boards
put corn in pot which is in sink,put the corn into the pot,,80,,search_boards
put corn in pot which is in sink,put the yellow corn in the pot,,80,,search_boards
put corn into bowl,put corn into bowl,,80,,search_boards
put corn into bowl,put yellow corn into blue bowl,,80,,search_boards
put corn into bowl,place yellow corn in the blue bowl,,80,,search_boards
put corn into bowl,move the corn into blue bowl,,80,,search_boards
put corn into bowl,move the corn to the blue bowl,,80,,search_boards
put corn into bowl,put the corn in the bowl,,80,,search_boards
put corn into bowl,place the corn in the blue bowl,,80,,search_boards
put corn on plate,put corn on plate,,80,,search_boards
put corn on plate,place corn on red plate,,80,,search_boards
put corn on plate,place the corn on the red plate,,80,,search_boards
put corn on plate,put corn on the pink plate,,80,,search_boards
put corn on plate,put the corn on the pink plate,,80,,search_boards
put corn on plate,put corn on the pink dish,,80,,search_boards
put cucumber in cup,put cucumber in cup,,80,,search_boards
put cucumber in cup,move cucumber into orange cup,,80,,search_boards
put cucumber in cup,move the cucumber into the orange cup,,80,,search_boards
put cucumber in cup,move cucumber to the orange cup,,80,,search_boards
put cucumber in cup,move the cucumber to the orange cup,,80,,search_boards
put cucumber in cup,pick up cucumber and put in orange cup,,80,,search_boards
put cucumber in cup,place cucumber in the orange cup,,80,,search_boards
put cucumber in cup,put cucumber in orange cup,,80,,search_boards
put cup from anywhere into sink,[dry-run:gemini] bae27d9c6ce5,0.7899955876929565,80,,loop_gemini
put cup from anywhere into sink,put cup from anywhere into sink,,80,,search_boards
put cup from anywhere into sink,place the blue plastic cup in the sink,,80,,search_boards
put cup from anywhere into sink,place the cup in the sink,,80,,search_boards
put cup from anywhere into sink,put the blue plastic cup in the sink,,80,,search_boards
put cup from anywhere into sink,move the blue plastic cup to the sink,,80,,search_boards
put cup from anywhere into sink,put blue cup in sink,,80,,search_boards
put cup from anywhere into sink,put blue cup inside the sink,,80,,search_boards
put cup from counter or drying rack into sink,put cup from counter or drying rack into sink,,80,,search_boards
put cup from counter or drying rack into sink,put the small yellow cup from the drying rack into the sink,,80,,search_boards
put cup from counter or drying rack into sink,place the small yellow cup from the drying rack into the sink,,80,,search_boards
put cup from counter or drying rack into sink,move the small yellow cup from the dish drying rack to the blue sink,,80,,search_boards
put cup from counter or drying rack into sink,move the yellow cup from the drying rack to the blue sink,,80,,search_boards
put cup from counter or drying rack into sink,put the yellow cup that is in the rack into the sink,,80,,search_boards
put cup from counter or drying rack into sink,place the yellow cup from the rack into the blue sink,,80,,search_boards
put cup from counter to sink,put cup from counter to sink,,80,,search_boards
put cup from counter to sink,move the light blue cup next to the vegetables in the sink,,80,,search_boards
put cup from counter to sink,move the blue cup next to the toy vegetables in the sink,,80,,search_boards
put cup from counter to sink,move the blue cup next to the vegetables in the sink,,80,,search_boards
put cup from counter to sink,move the light blue cup into the sink next to the vegetables,,80,,search_boards
put cup from counter to sink,put the blue cup next to the vegetables in the sink,,80,,search_boards
put cup from counter to sink,place the light blue cup into the sink,,80,,search_boards
put cup from counter to sink,move the blue cup into the sink basin,,80,,search_boards
put cup from counter to sink,drop the blue cup into the sink,,80,,search_boards
put cup from counter to sink,set the blue cup next to the vegetables in the sink,,80,,search_boards
put cup from counter to sink,place the light blue cup next to the toy vegetables in the sink,,80,,search_boards
put cup into pot or pan,put cup into pot or pan,,80,,search_boards
put cup into pot or pan,move the blue cup inside the steel pot,,80,,search_boards
put cup into pot or pan,place blue cup inside the metal pot,,80,,search_boards
put cup into pot or pan,place the blue cup inside the metal pot,,80,,search_boards
put cup into pot or pan,place the blue cup inside the steel pot,,80,,search_boards
put cup into pot or pan,put the blue cup into the silver pot,,80,,search_boards
put cup into pot or pan,place the blue cup in the silver pot,,80,,search_boards
put cup into pot or pan,move the blue cup into the silver pot,,80,,search_boards
put cup into pot or pan,put the blue cup inside the metal pot,,80,,search_boards
put cup into pot or pan,move the blue cup inside the silver pot,,80,,search_boards
put cup into pot or pan,put blue cup into silver pot,,80,,search_boards
put detergent from sink into drying rack,put detergent from sink into drying rack,,80,,search_boards
put detergent from sink into drying rack,put the white dish soap bottle in the yellow rack,,80,,search_boards
put detergent from sink into drying rack,move the white dish soap bottle from the basin to the yellow rack,,80,,search_boards
put detergent from sink into drying rack,put the white soap bottle in the yellow dish rack,,80,,search_boards
put detergent from sink into drying rack,put the white soap bottle in the yellow rack,,80,,search_boards
put detergent from sink into drying rack,move the white soap bottle from the basin to the rack,,80,,search_boards
put detergent from sink into drying rack,put the white soap bottle in the dish rack,,80,,search_boards
put detergent from sink into drying rack,place the white soap bottle in the yellow drying rack,,80,,search_boards
put detergent in sink,[dry-run:gemini] b6cc9e15bebb,0.7981373692998984,80,,loop_gemini
put detergent in sink,move the soap bottle into the sink,,80,,search_boards
put detergent in sink,put detergent in sink,,80,,search_boards
put detergent in sink,put the white bottle into the sink,,80,,search_boards
put detergent in sink,place the white bottle in the sink,,80,,search_boards
put detergent in sink,put the dish soap bottle into the sink,,80,,search_boards
put eggplant in pot or pan,put eggplant in pot or pan,,80,,search_boards
put eggplant in pot or pan,drop the eggplant into the metal pot,,80,,search_boards
put eggplant in pot or pan,put the eggplant in the cooking pot,,80,,search_boards
put eggplant in pot or pan,drop the purple eggplant into the metal pot,,80,,search_boards
put eggplant in pot or pan,place the purple eggplant into the pot,,80,,search_boards
put eggplant into pan,place eggplant in the metal pot,,80,,search_boards
put eggplant into pan,place the eggplant in the metal pot,,80,,search_boards
put eggplant into pan,move the eggplant into the silver pot,,80,,search_boards
put eggplant into pan,move the eggplant to the metal pot,,80,,search_boards
put eggplant into pan,put eggplant into pan,,80,,search_boards
put eggplant into pan,pick up the eggplant and put it in the metal pot,,80,,search_boards
put eggplant into pan,move the eggplant into the metal pot,,80,,search_boards
put eggplant into pan,place the eggplant inside the silver pot,,80,,search_boards
put eggplant into pot or pan,put eggplant into pot,,80,,search_boards
put eggplant into pot or pan,put eggplant into pot or pan,,80,,search_boards
put eggplant into pot or pan,move eggplant to pot,,80,,search_boards
put eggplant into pot or pan,drop eggplant into metal pot,,80,,search_boards
put eggplant into pot or pan,drop eggplant into pot,,80,,search_boards
put eggplant into pot or pan,place the eggplant into the pot,,80,,search_boards
put eggplant on plate,transfer the purple eggplant to the green plate,,80,,search_boards
put eggplant on plate,place eggplant on the green plate,,80,,search_boards
put eggplant on plate,put the eggplant on the green plate,,80,,search_boards
put eggplant on plate,put eggplant on plate,,80,,search_boards
put eggplant on plate,transfer the eggplant to the green plate,,80,,search_boards
put eggplant on plate,place the eggplant onto the green plate,,80,,search_boards
put fork from basket to tray,move the fork from the basket to the tray,,80,,search_boards
put fork from basket to tray,put fork from the basket to the tray,,80,,search_boards
put fork from basket to tray,put fork from basket to tray,,80,,search_boards
put fork from basket to tray,put fork from basket into tray,,80,,search_boards
put fork from basket to tray,move the silver fork out of the basket and into the tray,,80,,search_boards
put fork from basket to tray,pick up the fork from the basket and place it in the tray,,80,,search_boards
put fork from basket to tray,move the silver fork from the basket to the black tray,,80,,search_boards
put green squash in pot or pan,put green squash in pot or pan,,80,,search_boards
put green squash in pot or pan,put green bitter melon in the small metal pot,,80,,search_boards
put green squash in pot or pan,put the green bitter melon into the small metal pot,,80,,search_boards
put green squash in pot or pan,place the green bitter melon into the small metal pot,,80,,search_boards
put green squash in pot or pan,put the green bitter melon in the metal pot,,80,,search_boards
put green squash in pot or pan,put the green bitter melon in the small metal pot,,80,,search_boards
put green squash in pot or pan,place the green bitter melon toy in the metal pot,,80,,search_boards
put green squash in pot or pan,put the green bitter melon in the silver pot,,80,,search_boards
put green squash into pot or pan,put green squash into pot or pan,,80,,search_boards
put green squash into pot or pan,place green squash into pot,,80,,search_boards
put green squash into pot or pan,put the green squash in pot,,80,,search_boards
put green squash into pot or pan,place green squash in pot,,80,,search_boards
put green squash into pot or pan,place green squash inside pot,,80,,search_boards
put green squash into pot or pan,put green squash in pot,,80,,search_boards
put green squash into pot or pan,put green squash in the pot,,80,,search_boards
put green squash into pot or pan,place the green squash inside the metal pot,,80,,search_boards
put green squash into pot or pan,pick up the green squash and put it in the pot,,80,,search_boards
put green squash into pot or pan,put green squash into metal pot,,80,,search_boards
put knife in pot cardboard fence,put knife in pot cardboard fence,,80,,search_boards
put knife in pot cardboard fence,place the plastic knife in the orange cup,,80,,search_boards
put knife in pot cardboard fence,move the plastic knife into the orange cup,,80,,search_boards
put knife in pot cardboard fence,place the plastic knife inside the orange cup,,80,,search_boards
put knife in pot cardboard fence,place the plastic knife in the orange bowl,,80,,search_boards
put knife in pot cardboard fence,place the yellow knife into the orange cup,,80,,search_boards
put knife in pot cardboard fence,place the knife into the orange cup,,80,,search_boards
put knife in pot cardboard fence,put the plastic knife in the orange cup,,80,,search_boards
put knife in pot or pan,place the white toy knife into the pot,,80,,search_boards
put knife in pot or pan,put the white toy knife into the metal pot,,80,,search_boards
put knife in pot or pan,put knife in pot or pan,,80,,search_boards
put knife in pot or pan,put the white toy knife inside the metal pot,,80,,search_boards
put knife in pot or pan,put the white knife into the metal pot,,80,,search_boards
put knife in pot or pan,put the white toy knife in the silver pot,,80,,search_boards
put knife in pot or pan,put the white knife in the silver pot,,80,,search_boards
put knife on cutting board,move yellow knife onto the green cutting board,,80,,search_boards
put knife on cutting board,move yellow knife to the green cutting board,,80,,search_boards
put knife on cutting board,place yellow knife on green board,,80,,search_boards
put knife on cutting board,move the yellow knife to the green cutting board,,80,,search_boards
put knife on cutting board,put knife on cutting board,,80,,search_boards
put knife on cutting board,place the yellow knife on the green board,,80,,search_boards
put knife on cutting board cardboard fence,put knife on cutting board cardboard fence,,80,,search_boards
put knife on cutting board cardboard fence,move the knife onto the cutting board,,80,,search_boards
put knife on cutting board cardboard fence,put knife on cutting board,,80,,search_boards
put knife on cutting board cardboard fence,place the knife on the cutting board,,80,,search_boards
put knife on cutting board cardboard fence,place the knife on the green board,,80,,search_boards
put knife on cutting board cardboard fence,move the yellow knife onto the green cutting board,,80,,search_boards
put knife on cutting board cardboard fence,place yellow knife on cutting board,,80,,search_boards
put lemon on plate,put lemon on plate,,80,,search_boards
put lemon on plate,grab the yellow lemon from the sink and put it on the red plate,,80,,search_boards
put lemon on plate,grab the yellow lemon from the sink and place it on the red plate,,80,,search_boards
put lemon on plate,pick up the yellow lemon and place it on the red plate,,80,,search_boards
put lemon on plate,place the lemon on the red plate next to the sink,,80,,search_boards
put lemon on plate,grab the yellow lemon and put it on the red plate,,80,,search_boards
put lemon on plate,grab the lemon and place it on the red plate,,80,,search_boards
put lid on pot,put the orange lid on top of the orange cup,,80,,search_boards
put lid on pot,put lid on pot,,80,,search_boards
put lid on pot,put the orange plastic lid on top of the orange cup,,80,,search_boards
put lid on pot,put the orange lid on the orange cup,,80,,search_boards
put lid on pot,put the orange lid on top of the cup,,80,,search_boards
put lid on pot,put the orange lid on the orange container,,80,,search_boards
put lid on pot,cover the orange container with the lid,,80,,search_boards
put lid on pot,place the lid on top of the cup,,80,,search_boards
put lid on pot or pan,put the lid onto the silver pot,,80,,search_boards
put lid on pot or pan,place the silver lid onto the silver pot,,80,,search_boards
put lid on pot or pan,place the lid on the pot,,80,,search_boards
put lid on pot or pan,put lid on pot or pan,,80,,search_boards
put lid on pot or pan,put the silver lid on the silver pot,,80,,search_boards
put lid on pot or pan,place the lid on top of the pot,,80,,search_boards
put lid on pot or pan,put the silver lid on top of the pot,,80,,search_boards
put lid on pot or pan,place the metal lid on the silver pot,,80,,search_boards
put pan from drying rack into sink,put pan from drying rack into sink,,80,,search_boards
put pan from drying rack into sink,move the stainless steel pot from the rack into the sink,,80,,search_boards
put pan from drying rack into sink,put the metal pan in the orange rack into the sink,,80,,search_boards
put pan from drying rack into sink,put the metal pan in the orange basket into the sink basin,,80,,search_boards
put pan from drying rack into sink,put the metal pan in the orange basket into the sink,,80,,search_boards
put pan from drying rack into sink,transfer the silver pot from the orange dish rack to the sink,,80,,search_boards
